,date,game_key,문성현,양현,박정준,윤영삼,김동준,한현희,신재영,조상우,조덕길,손동욱,해커,이상민,이영준,하영민,최원태,김해수,김정인,로저스,김선기,서의태,안현석,이찬석,김성택,브리검,오윤성,이승호,김성민,안우진,오주원,이보근,김상수
41,2018-05-13,20180513WOOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.90625, 1.5, 2.6666666666666665, 1.3333333333333333]","[0, 0, 5.651162790697675, 1.441860465116279, 2.1666666666666665, 6.142857142857143]","[0, 0, 9.391304347826086, 1.7608695652173911, 3.5, 4.380952380952381]","[0, 1, 4.909090909090909, 1.3636363636363638, 3.1666666666666665, 1.0476190476190477]","[0, 0, 6.75, 1.5, 1.5, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[1, 0, 3.8571428571428568, 1.3333333333333333, 3.0833333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.98159509202454, 1.1595092024539877, 6.25, 6.791666666666667]","[0, 0, 5.60377358490566, 1.981132075471698, 1.3076923076923077, 1.1777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.916030534351145, 1.4427480916030535, 2.2941176470588234, 6.238095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 2.0, 1.4545454545454546, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.973684210526316, 1.3421052631578947, 1.5, 0.8444444444444444]","[0, 0, 2.872340425531915, 1.3404255319148937, 3.0, 0.9791666666666666]","[0, 1, 0.0, 0.9130434782608695, 3.6, 0.9583333333333334]"
42,2018-05-15,20180515HTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.90625, 1.5, 2.6666666666666665, 1.3333333333333333]","[0, 0, 5.651162790697675, 1.441860465116279, 2.1666666666666665, 6.142857142857143]","[0, 0, 9.391304347826086, 1.7608695652173911, 3.5, 4.380952380952381]","[0, 0, 4.909090909090909, 1.3636363636363638, 3.1666666666666665, 1.0476190476190477]","[0, 0, 6.75, 1.5, 1.5, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.8571428571428568, 1.3333333333333333, 3.0833333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.98159509202454, 1.1595092024539877, 6.25, 6.791666666666667]","[0, 0, 5.60377358490566, 1.981132075471698, 1.3076923076923077, 1.1777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.438356164383562, 1.5, 2.411764705882353, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2, 2.0, 1.4545454545454546, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.973684210526316, 1.3421052631578947, 1.5, 0.8444444444444444]","[0, 1, 2.7, 1.26, 3.5, 0.9803921568627452]","[0, 0, 0.0, 0.9130434782608695, 3.6, 0.9583333333333334]"
43,2018-05-16,20180516HTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.90625, 1.5, 2.6666666666666665, 1.3333333333333333]","[0, 0, 5.651162790697675, 1.441860465116279, 2.1666666666666665, 6.142857142857143]","[1, 0, 8.345454545454546, 1.6363636363636365, 3.142857142857143, 4.583333333333333]","[0, 1, 4.595744680851063, 1.3404255319148937, 3.5, 1.0444444444444445]","[0, 0, 6.75, 1.5, 1.5, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.8571428571428568, 1.3333333333333333, 3.0833333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.98159509202454, 1.1595092024539877, 6.25, 6.791666666666667]","[0, 1, 5.303571428571429, 1.9285714285714284, 1.3846153846153846, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.438356164383562, 1.5, 2.411764705882353, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.8936170212765955, 2.042553191489362, 1.6363636363636365, 0.9215686274509803]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.609756097560976, 1.2439024390243902, 1.75, 0.8541666666666666]","[0, 0, 2.7, 1.26, 3.5, 0.9803921568627452]","[0, 1, 0.0, 0.9183673469387755, 4.0, 0.9607843137254901]"
44,2018-05-17,20180517HTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.542857142857143, 2.25, 1.2962962962962963]","[0, 0, 5.651162790697675, 1.441860465116279, 2.1666666666666665, 6.142857142857143]","[0, 0, 8.345454545454546, 1.6363636363636365, 3.142857142857143, 4.583333333333333]","[0, 0, 4.595744680851063, 1.3404255319148937, 3.5, 1.0444444444444445]","[0, 1, 6.27906976744186, 1.3953488372093024, 1.75, 1.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.8571428571428568, 1.3333333333333333, 3.0833333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.983425414364641, 1.2265193370165746, 5.5, 6.703703703703704]","[0, 0, 5.303571428571429, 1.9285714285714284, 1.3846153846153846, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.438356164383562, 1.5, 2.411764705882353, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.8936170212765955, 2.042553191489362, 1.6363636363636365, 0.9215686274509803]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.609756097560976, 1.2439024390243902, 1.75, 0.8541666666666666]","[0, 0, 2.7, 1.26, 3.5, 0.9803921568627452]","[0, 0, 0.0, 0.9183673469387755, 4.0, 0.9607843137254901]"
45,2018-05-18,20180518SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.542857142857143, 2.25, 1.2962962962962963]","[1, 0, 5.625, 1.4791666666666667, 2.142857142857143, 6.0]","[0, 0, 8.345454545454546, 1.6363636363636365, 3.142857142857143, 4.583333333333333]","[0, 0, 4.595744680851063, 1.3404255319148937, 3.5, 1.0444444444444445]","[0, 0, 6.27906976744186, 1.3953488372093024, 1.75, 1.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.8571428571428568, 1.3333333333333333, 3.0833333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.2265193370165746, 5.5, 6.703703703703704]","[0, 1, 5.2105263157894735, 1.9473684210526316, 1.4615384615384615, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.438356164383562, 1.5, 2.411764705882353, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.26530612244898, 2.2040816326530615, 1.3846153846153846, 0.9074074074074073]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.428571428571428, 1.4285714285714286, 1.75, 0.8235294117647058]","[0, 0, 2.7, 1.26, 3.5, 0.9803921568627452]","[0, 0, 0.0, 0.9183673469387755, 4.0, 0.9607843137254901]"
46,2018-05-19,20180519SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.542857142857143, 2.25, 1.2962962962962963]","[0, 0, 5.625, 1.4791666666666667, 2.142857142857143, 6.0]","[0, 0, 8.345454545454546, 1.6363636363636365, 3.142857142857143, 4.583333333333333]","[0, 1, 4.32, 1.26, 3.6666666666666665, 1.0416666666666667]","[0, 0, 6.27906976744186, 1.3953488372093024, 1.75, 1.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[1, 0, 3.489795918367347, 1.2244897959183674, 3.0, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.2265193370165746, 5.5, 6.703703703703704]","[0, 0, 5.2105263157894735, 1.9473684210526316, 1.4615384615384615, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.438356164383562, 1.5, 2.411764705882353, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.26530612244898, 2.2040816326530615, 1.3846153846153846, 0.9074074074074073]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.428571428571428, 1.4285714285714286, 1.75, 0.8235294117647058]","[0, 1, 3.056603773584906, 1.3584905660377358, 3.2, 0.9814814814814815]","[0, 1, 0.0, 1.0, 3.6666666666666665, 1.0]"
47,2018-05-20,20180520SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.542857142857143, 2.25, 1.2962962962962963]","[0, 0, 5.625, 1.4791666666666667, 2.142857142857143, 6.0]","[0, 0, 8.345454545454546, 1.6363636363636365, 3.142857142857143, 4.583333333333333]","[0, 1, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 6.27906976744186, 1.3953488372093024, 1.75, 1.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.489795918367347, 1.2244897959183674, 3.0, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.2265193370165746, 5.5, 6.703703703703704]","[0, 0, 5.2105263157894735, 1.9473684210526316, 1.4615384615384615, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9705882352941178, 1.3411764705882354, 2.6666666666666665, 6.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.26530612244898, 2.2040816326530615, 1.3846153846153846, 0.9074074074074073]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.428571428571428, 1.4285714285714286, 1.75, 0.8235294117647058]","[0, 1, 2.892857142857143, 1.3392857142857142, 3.6, 0.9824561403508772]","[0, 1, 0.0, 1.0, 3.6666666666666665, 1.0]"
48,2018-05-22,20180522WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.973684210526316, 1.5, 2.5, 1.2666666666666666]","[0, 0, 5.625, 1.4791666666666667, 2.142857142857143, 6.0]","[1, 0, 7.5600000000000005, 1.56, 3.7142857142857144, 4.62962962962963]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 6.27906976744186, 1.3953488372093024, 1.75, 1.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.489795918367347, 1.2244897959183674, 3.0, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.2265193370165746, 5.5, 6.703703703703704]","[0, 0, 5.2105263157894735, 1.9473684210526316, 1.4615384615384615, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.3411764705882354, 2.6666666666666665, 6.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.26530612244898, 2.2040816326530615, 1.3846153846153846, 0.9074074074074073]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.428571428571428, 1.4285714285714286, 1.75, 0.8235294117647058]","[0, 0, 2.892857142857143, 1.3392857142857142, 3.6, 0.9824561403508772]","[0, 0, 0.0, 1.0, 3.6666666666666665, 1.0]"
49,2018-05-23,20180523WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.973684210526316, 1.5, 2.5, 1.2666666666666666]","[0, 0, 5.625, 1.4791666666666667, 2.142857142857143, 6.0]","[0, 0, 7.5600000000000005, 1.56, 3.7142857142857144, 4.62962962962963]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 1, 5.869565217391304, 1.3695652173913042, 1.75, 1.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.489795918367347, 1.2244897959183674, 3.0, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.9405940594059405, 1.1881188118811883, 5.166666666666667, 6.7333333333333325]","[0, 1, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.3411764705882354, 2.6666666666666665, 6.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.307692307692308, 2.1923076923076925, 1.4615384615384615, 0.9122807017543859]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.428571428571428, 1.4285714285714286, 1.75, 0.8235294117647058]","[0, 0, 2.892857142857143, 1.3392857142857142, 3.6, 0.9824561403508772]","[0, 0, 0.0, 1.0, 3.6666666666666665, 1.0]"
50,2018-05-24,20180524WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.973684210526316, 1.5, 2.5, 1.2666666666666666]","[1, 0, 5.072727272727272, 1.4545454545454546, 2.125, 6.111111111111111]","[0, 0, 7.5600000000000005, 1.56, 3.7142857142857144, 4.62962962962963]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 5.869565217391304, 1.3695652173913042, 1.75, 1.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.489795918367347, 1.2244897959183674, 3.0, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9405940594059405, 1.1881188118811883, 5.166666666666667, 6.7333333333333325]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.3411764705882354, 2.6666666666666665, 6.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.660377358490566, 2.2075471698113205, 1.4615384615384615, 0.8833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.534883720930233, 1.6046511627906976, 1.75, 0.7962962962962963]","[0, 1, 2.745762711864407, 1.271186440677966, 3.6, 0.9833333333333334]","[0, 0, 0.0, 1.0, 3.6666666666666665, 1.0]"
51,2018-05-25,20180525LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.595744680851063, 1.4042553191489362, 2.0, 1.424242424242424]","[0, 0, 5.072727272727272, 1.4545454545454546, 2.125, 6.111111111111111]","[0, 0, 7.5600000000000005, 1.56, 3.7142857142857144, 4.62962962962963]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 5.869565217391304, 1.3695652173913042, 1.75, 1.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[1, 0, 3.6, 1.3272727272727274, 2.2777777777777777, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9405940594059405, 1.1881188118811883, 5.166666666666667, 6.7333333333333325]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.3411764705882354, 2.6666666666666665, 6.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.660377358490566, 2.2075471698113205, 1.4615384615384615, 0.8833333333333334]","[0, 1, 0, 0, 0, 0]","[0, 0, 7.534883720930233, 1.6046511627906976, 1.75, 0.7962962962962963]","[0, 0, 2.745762711864407, 1.271186440677966, 3.6, 0.9833333333333334]","[0, 0, 0.0, 1.0, 3.6666666666666665, 1.0]"
52,2018-05-26,20180526LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.595744680851063, 1.4042553191489362, 2.0, 1.424242424242424]","[0, 0, 5.072727272727272, 1.4545454545454546, 2.125, 6.111111111111111]","[0, 0, 7.5600000000000005, 1.56, 3.7142857142857144, 4.62962962962963]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 5.869565217391304, 1.3695652173913042, 1.75, 1.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.6, 1.3272727272727274, 2.2777777777777777, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9405940594059405, 1.1881188118811883, 5.166666666666667, 6.7333333333333325]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7340425531914896, 1.3404255319148937, 2.85, 6.266666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.660377358490566, 2.2075471698113205, 1.4615384615384615, 0.8833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.043478260869565, 1.5, 2.25, 0.8070175438596492]","[0, 1, 2.6129032258064515, 1.2096774193548387, 3.8, 0.9841269841269842]","[0, 1, 1.3728813559322035, 1.11864406779661, 3.8333333333333335, 0.9833333333333334]"
53,2018-05-27,20180527LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.595744680851063, 1.4042553191489362, 2.0, 1.424242424242424]","[0, 0, 5.072727272727272, 1.4545454545454546, 2.125, 6.111111111111111]","[1, 0, 7.174825174825175, 1.4895104895104896, 3.5, 4.766666666666667]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 5.869565217391304, 1.3695652173913042, 1.75, 1.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.6, 1.3272727272727274, 2.2777777777777777, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9405940594059405, 1.1881188118811883, 5.166666666666667, 6.7333333333333325]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7340425531914896, 1.3404255319148937, 2.85, 6.266666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.660377358490566, 2.2075471698113205, 1.4615384615384615, 0.8833333333333334]","[0, 1, 0.0, 2.0, 1.0, 1.0]","[0, 0, 7.043478260869565, 1.5, 2.25, 0.8070175438596492]","[0, 0, 2.6129032258064515, 1.2096774193548387, 3.8, 0.9841269841269842]","[0, 0, 1.3728813559322035, 1.11864406779661, 3.8333333333333335, 0.9833333333333334]"
54,2018-05-29,20180529WOHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 1.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.595744680851063, 1.4042553191489362, 2.0, 1.424242424242424]","[0, 0, 5.072727272727272, 1.4545454545454546, 2.125, 6.111111111111111]","[0, 0, 7.174825174825175, 1.4895104895104896, 3.5, 4.766666666666667]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 1, 7.875000000000001, 1.625, 1.5555555555555556, 1.2307692307692308]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.6, 1.3272727272727274, 2.2777777777777777, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.3136363636363635, 1.240909090909091, 4.571428571428571, 6.666666666666666]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7340425531914896, 1.3404255319148937, 2.85, 6.266666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.5, 2.1666666666666665, 1.4615384615384615, 0.8571428571428571]","[0, 0, 0.0, 2.0, 1.0, 1.0]","[0, 0, 7.043478260869565, 1.5, 2.25, 0.8070175438596492]","[0, 0, 2.6129032258064515, 1.2096774193548387, 3.8, 0.9841269841269842]","[0, 0, 1.3728813559322035, 1.11864406779661, 3.8333333333333335, 0.9833333333333334]"
55,2018-05-30,20180530WOHT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 1.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.32, 1.38, 2.0, 1.388888888888889]","[1, 0, 5.1, 1.5333333333333334, 1.7894736842105263, 6.0]","[0, 0, 7.174825174825175, 1.4895104895104896, 3.5, 4.766666666666667]","[0, 0, 4.0754716981132075, 1.1886792452830188, 3.8333333333333335, 1.0392156862745099]","[0, 0, 7.875000000000001, 1.625, 1.5555555555555556, 1.2307692307692308]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.4, 1.0, 1.6666666666666667]","[0, 0, 4.05, 1.5, 3.0, 2.2222222222222223]","[0, 0, 3.6, 1.3272727272727274, 2.2777777777777777, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3136363636363635, 1.240909090909091, 4.571428571428571, 6.666666666666666]","[0, 0, 5.033898305084746, 1.9322033898305084, 1.4615384615384615, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7340425531914896, 1.3404255319148937, 2.85, 6.266666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.5, 2.1666666666666665, 1.4615384615384615, 0.8571428571428571]","[0, 0, 0.0, 2.0, 1.0, 1.0]","[0, 1, 6.612244897959184, 1.4081632653061225, 2.25, 0.8166666666666667]","[0, 1, 2.4923076923076923, 1.2, 3.8, 0.9848484848484849]","[0, 0, 1.3728813559322035, 1.11864406779661, 3.8333333333333335, 0.9833333333333334]"
