,date,game_key,이승현,김대우,심창민,임현준,황수범,안성무,안규현,이수민,박세웅,이케빈,최충연,김승현,최지광,장지훈,김시현,보니야,양창섭,최채흥,아델만,김용하,김태우,우규민,윤성환,박근홍,장원삼,김기태,한기주,백정현,장필준,정인욱,김동호,권오준
43,2018-05-17,20180517LGSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.328767123287671, 0.9452054794520548, 4.166666666666667, 1.1587301587301586]","[0, 0, 4.5, 0.75, 3.6666666666666665, 0.631578947368421]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0759493670886076, 1.1012658227848102, 6.833333333333333, 1.196969696969697]","[0, 1, 3.6610169491525424, 1.830508474576271, 1.5, 1.2291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 6.051724137931035, 1.6034482758620692, 2.357142857142857, 5.523809523809524]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.74468085106383, 1.5319148936170213, 2.4375, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 2.307692307692308, 1.3333333333333333, 0.8666666666666666]","[0, 0, 6.75, 1.6590909090909092, 2.1333333333333333, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.294117647058823, 1.4705882352941178, 3.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.764705882352941, 1.4705882352941178, 3.0, 0.9444444444444444]","[1, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 0, 4.5, 1.6428571428571428, 2.625, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.517241379310345, 1.5517241379310345, 4.0, 0.8787878787878788]"
44,2018-05-18,20180518SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 1, 3.1973684210526314, 0.9078947368421053, 4.333333333333333, 1.1515151515151514]","[0, 0, 4.5, 0.75, 3.6666666666666665, 0.631578947368421]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.1111111111111112, 6.833333333333333, 1.173913043478261]","[0, 0, 3.6610169491525424, 1.830508474576271, 1.5, 1.2291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[1, 0, 5.673913043478261, 1.5, 2.6666666666666665, 5.75]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.74468085106383, 1.5319148936170213, 2.4375, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.153846153846154, 2.307692307692308, 1.3333333333333333, 0.8666666666666666]","[0, 0, 6.75, 1.6590909090909092, 2.1333333333333333, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.294117647058823, 1.4705882352941178, 3.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.764705882352941, 1.4705882352941178, 3.0, 0.9444444444444444]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 0, 4.5, 1.6428571428571428, 2.625, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.517241379310345, 1.5517241379310345, 4.0, 0.8787878787878788]"
45,2018-05-19,20180519SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.1973684210526314, 0.9078947368421053, 4.333333333333333, 1.1515151515151514]","[0, 1, 4.263157894736842, 0.7894736842105263, 3.6666666666666665, 0.6333333333333333]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.1111111111111112, 6.833333333333333, 1.173913043478261]","[0, 0, 3.6610169491525424, 1.830508474576271, 1.5, 1.2291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 5.673913043478261, 1.5, 2.6666666666666665, 5.75]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[1, 0, 0, 0, 0, 0]","[0, 0, 5.74468085106383, 1.5319148936170213, 2.4375, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.764705882352941, 1.9411764705882353, 1.3333333333333333, 0.9444444444444445]","[0, 0, 6.75, 1.6590909090909092, 2.1333333333333333, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.294117647058823, 1.4705882352941178, 3.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 0, 4.5, 1.6428571428571428, 2.625, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.517241379310345, 1.5517241379310345, 4.0, 0.8787878787878788]"
46,2018-05-20,20180520SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 1, 3.0759493670886076, 0.8734177215189873, 4.333333333333333, 1.144927536231884]","[0, 0, 4.263157894736842, 0.7894736842105263, 3.6666666666666665, 0.6333333333333333]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8255813953488373, 1.0465116279069766, 7.166666666666667, 1.1944444444444444]","[0, 0, 3.6610169491525424, 1.830508474576271, 1.5, 1.2291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 5.673913043478261, 1.5, 2.6666666666666665, 5.75]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.1923076923076925, 1.5384615384615385, 2.263157894736842, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.764705882352941, 1.9411764705882353, 1.3333333333333333, 0.9444444444444445]","[0, 0, 6.75, 1.6590909090909092, 2.1333333333333333, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.294117647058823, 1.4705882352941178, 3.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 1, 4.8, 1.7333333333333334, 2.3333333333333335, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.59375, 1.59375, 4.5, 0.8888888888888888]"
47,2018-05-22,20180522LTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0759493670886076, 0.8734177215189873, 4.333333333333333, 1.144927536231884]","[0, 0, 4.263157894736842, 0.7894736842105263, 3.6666666666666665, 0.6333333333333333]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.730337078651685, 1.044943820224719, 7.166666666666667, 1.1866666666666668]","[0, 1, 5.311475409836065, 1.9672131147540985, 1.3636363636363635, 1.196078431372549]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 5.673913043478261, 1.5, 2.6666666666666665, 5.75]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.1923076923076925, 1.5384615384615385, 2.263157894736842, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.95, 1.3333333333333333, 0.9523809523809524]","[1, 0, 6.75, 1.7083333333333333, 2.3333333333333335, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.294117647058823, 1.4705882352941178, 3.5, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 1, 4.695652173913043, 1.826086956521739, 2.1, 0.9583333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.59375, 4.5, 0.8888888888888888]"
48,2018-05-23,20180523LTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 1, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 0, 4.263157894736842, 0.7894736842105263, 3.6666666666666665, 0.6333333333333333]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 1, 5.0625, 1.921875, 1.4545454545454546, 1.1851851851851851]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 5.673913043478261, 1.5, 2.6666666666666665, 5.75]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.1923076923076925, 1.5384615384615385, 2.263157894736842, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.95, 1.3333333333333333, 0.9523809523809524]","[0, 0, 6.75, 1.7083333333333333, 2.3333333333333335, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.183098591549295, 1.352112676056338, 3.3333333333333335, 5.916666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 0, 4.695652173913043, 1.826086956521739, 2.1, 0.9583333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.59375, 4.5, 0.8888888888888888]"
49,2018-05-24,20180524LTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 1, 4.609756097560976, 0.8780487804878049, 4.0, 0.6507936507936508]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 0, 5.0625, 1.921875, 1.4545454545454546, 1.1851851851851851]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[1, 0, 4.987261146496815, 1.4331210191082802, 2.611111111111111, 5.814814814814815]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.1923076923076925, 1.5384615384615385, 2.263157894736842, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.95, 1.3333333333333333, 0.9523809523809524]","[0, 0, 6.75, 1.7083333333333333, 2.3333333333333335, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.183098591549295, 1.352112676056338, 3.3333333333333335, 5.916666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[0, 0, 4.879518072289157, 1.5180722891566265, 5.2, 4.611111111111112]","[0, 1, 4.408163265306122, 1.836734693877551, 1.9090909090909092, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.59375, 4.5, 0.8888888888888888]"
50,2018-05-25,20180525SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 0, 4.609756097560976, 0.8780487804878049, 4.0, 0.6507936507936508]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 0, 5.0625, 1.921875, 1.4545454545454546, 1.1851851851851851]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.987261146496815, 1.4331210191082802, 2.611111111111111, 5.814814814814815]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.1923076923076925, 1.5384615384615385, 2.263157894736842, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.142857142857142, 2.0, 1.6666666666666667, 0.875]","[0, 0, 6.75, 1.7083333333333333, 2.3333333333333335, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.183098591549295, 1.352112676056338, 3.3333333333333335, 5.916666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5272727272727273, 2.4, 0.9649122807017543]","[1, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 0, 4.408163265306122, 1.836734693877551, 1.9090909090909092, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.59375, 4.5, 0.8888888888888888]"
51,2018-05-26,20180526SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 1, 5.023255813953488, 0.9767441860465116, 4.333333333333333, 0.6515151515151515]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 1, 4.764705882352941, 1.8970588235294117, 1.7272727272727273, 1.192982456140351]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.987261146496815, 1.4331210191082802, 2.611111111111111, 5.814814814814815]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.120689655172414, 1.5689655172413792, 2.227272727272727, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.142857142857142, 2.0, 1.6666666666666667, 0.875]","[0, 0, 6.75, 1.7083333333333333, 2.3333333333333335, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.183098591549295, 1.352112676056338, 3.3333333333333335, 5.916666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.225806451612903, 1.5, 3.0, 1.0333333333333334]","[0, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 0, 4.408163265306122, 1.836734693877551, 1.9090909090909092, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.942857142857142, 1.6285714285714286, 4.5, 0.8974358974358974]"
52,2018-05-27,20180527SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 0, 5.023255813953488, 0.9767441860465116, 4.333333333333333, 0.6515151515151515]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 0, 4.764705882352941, 1.8970588235294117, 1.7272727272727273, 1.192982456140351]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.987261146496815, 1.4331210191082802, 2.611111111111111, 5.814814814814815]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.120689655172414, 1.5689655172413792, 2.227272727272727, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.142857142857142, 2.0, 1.6666666666666667, 0.875]","[1, 0, 6.666666666666666, 1.6851851851851851, 2.4375, 5.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.183098591549295, 1.352112676056338, 3.3333333333333335, 5.916666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.225806451612903, 1.5, 3.0, 1.0333333333333334]","[0, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 1, 4.153846153846154, 1.8461538461538463, 2.0, 0.9629629629629629]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.394736842105263, 1.5789473684210527, 3.3333333333333335, 0.9047619047619048]"
53,2018-05-29,20180529KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 3.0, 0.8888888888888888, 3.7142857142857144, 1.125]","[0, 1, 4.695652173913043, 0.9782608695652174, 3.5, 0.6666666666666667]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.67032967032967, 1.0219780219780221, 7.166666666666667, 1.1666666666666665]","[0, 1, 4.5, 1.8333333333333333, 1.75, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.987261146496815, 1.4331210191082802, 2.611111111111111, 5.814814814814815]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.120689655172414, 1.5689655172413792, 2.227272727272727, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.625, 2.0, 1.25, 0.8888888888888888]","[0, 0, 6.666666666666666, 1.6851851851851851, 2.4375, 5.4]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.709302325581396, 1.4302325581395348, 2.3333333333333335, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.161764705882352, 1.5, 3.2, 1.0793650793650795]","[0, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 0, 4.153846153846154, 1.8461538461538463, 2.0, 0.9629629629629629]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.5789473684210527, 3.3333333333333335, 0.9047619047619048]"
54,2018-05-30,20180530KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 1, 2.8255813953488373, 0.872093023255814, 3.25, 1.1466666666666667]","[0, 0, 4.695652173913043, 0.9782608695652174, 3.5, 0.6666666666666667]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.5851063829787235, 1.0531914893617023, 5.5, 1.1604938271604939]","[0, 0, 4.5, 1.8333333333333333, 1.75, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[1, 0, 4.525139664804469, 1.3743016759776536, 2.8947368421052633, 5.966666666666667]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.120689655172414, 1.5689655172413792, 2.227272727272727, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.625, 2.0, 1.25, 0.8888888888888888]","[0, 0, 6.666666666666666, 1.6851851851851851, 2.4375, 5.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.709302325581396, 1.4302325581395348, 2.3333333333333335, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.161764705882352, 1.5, 3.2, 1.0793650793650795]","[0, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 0, 4.153846153846154, 1.8461538461538463, 2.0, 0.9629629629629629]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.5789473684210527, 3.3333333333333335, 0.9047619047619048]"
55,2018-05-31,20180531KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 0, 2.8255813953488373, 0.872093023255814, 3.25, 1.1466666666666667]","[0, 0, 4.695652173913043, 0.9782608695652174, 3.5, 0.6666666666666667]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.5851063829787235, 1.0531914893617023, 5.5, 1.1604938271604939]","[0, 0, 4.5, 1.8333333333333333, 1.75, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.525139664804469, 1.3743016759776536, 2.8947368421052633, 5.966666666666667]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.1923076923076925, 1.6318681318681318, 2.130434782608696, 5.515151515151515]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.625, 2.0, 1.25, 0.8888888888888888]","[0, 0, 6.666666666666666, 1.6851851851851851, 2.4375, 5.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.709302325581396, 1.4302325581395348, 2.3333333333333335, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.161764705882352, 1.5, 3.2, 1.0793650793650795]","[0, 0, 4.764705882352941, 1.588235294117647, 5.333333333333333, 4.857142857142857]","[0, 1, 4.0, 1.8333333333333333, 2.0, 0.9473684210526315]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.5789473684210527, 3.3333333333333335, 0.9047619047619048]"
56,2018-06-01,20180601SSNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.7386363636363638, 1.0, 4.888888888888888]","[0, 1, 2.641304347826087, 0.8804347826086956, 3.4444444444444446, 1.1794871794871795]","[0, 0, 4.695652173913043, 0.9782608695652174, 3.5, 0.6666666666666667]","[0, 0, 13.5, 3.5, 0.4, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4299999999999997, 1.0499999999999998, 5.75, 1.1904761904761905]","[0, 0, 4.5, 1.8333333333333333, 1.75, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 3.0, 1.3333333333333333]","[0, 0, 4.525139664804469, 1.3743016759776536, 2.8947368421052633, 5.966666666666667]","[0, 0, 1.6363636363636365, 1.0909090909090908, 1.6666666666666667, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.1923076923076925, 1.6318681318681318, 2.130434782608696, 5.515151515151515]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.625, 2.0, 1.25, 0.8888888888888888]","[0, 0, 6.666666666666666, 1.6851851851851851, 2.4375, 5.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.709302325581396, 1.4302325581395348, 2.3333333333333335, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.161764705882352, 1.5, 3.2, 1.0793650793650795]","[1, 0, 3.8571428571428568, 1.4047619047619047, 5.285714285714286, 5.25]","[0, 0, 4.0, 1.8333333333333333, 2.0, 0.9473684210526315]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.5789473684210527, 3.3333333333333335, 0.9047619047619048]"
