,date,game_key,배민관,신정락,김지용,문광은,임찬규,이우찬,윤지웅,임정우,최성훈,소사,김태형,류제국,배재준,임지섭,김대현,고우석,손주영,김영준,윌슨,이강욱,성동현,이동현,차우찬,진해수,봉중근,정찬헌,최동환,전인환,여건욱
46,2018-05-19,20180519HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 2.5, 2.0]","[0, 1, 6.0, 1.380952380952381, 5.0, 0.9545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.916030534351145, 1.5572519083969467, 1.3333333333333333, 5.458333333333333]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.131578947368421, 1.4210526315789473, 1.7142857142857142, 0.7037037037037037]","[1, 0, 1.7142857142857142, 1.0634920634920635, 4.333333333333333, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.4651162790697674, 1.368421052631579, 4.777777777777778]","[0, 0, 5.023255813953488, 1.3953488372093024, 2.25, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0212765957446805, 1.446808510638298, 6.5, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.4210526315789473, 2.0, 0.8444444444444444]","[0, 0, 8.422018348623853, 1.81651376146789, 1.5333333333333334, 5.190476190476191]","[0, 0, 8.307692307692308, 2.0, 1.6, 0.6190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3636363636363635, 1.7777777777777777, 1.0476190476190477]","[0, 0, 4.32, 1.14, 3.0, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
47,2018-05-20,20180520HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 2.5, 2.0]","[0, 1, 5.478260869565218, 1.3043478260869565, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.916030534351145, 1.5572519083969467, 1.3333333333333333, 5.458333333333333]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.131578947368421, 1.4210526315789473, 1.7142857142857142, 0.7037037037037037]","[0, 0, 1.7142857142857142, 1.0634920634920635, 4.333333333333333, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.4651162790697674, 1.368421052631579, 4.777777777777778]","[0, 0, 5.023255813953488, 1.3953488372093024, 2.25, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0212765957446805, 1.446808510638298, 6.5, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.785714285714286, 1.3571428571428572, 2.3333333333333335, 0.875]","[1, 0, 7.476923076923077, 1.7076923076923076, 1.75, 5.416666666666667]","[0, 0, 8.307692307692308, 2.0, 1.6, 0.6190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.5217391304347827, 1.4782608695652173, 1.7777777777777777, 1.0454545454545454]","[0, 0, 4.32, 1.14, 3.0, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
48,2018-05-22,20180522NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 2.5, 2.0]","[0, 1, 5.625, 1.2916666666666667, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8571428571428568, 1.530612244897959, 1.391304347826087, 5.444444444444445]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 1, 2.025, 1.425, 1.5, 0.7017543859649124]","[0, 0, 1.7142857142857142, 1.0634920634920635, 4.333333333333333, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.4651162790697674, 1.368421052631579, 4.777777777777778]","[0, 0, 5.023255813953488, 1.3953488372093024, 2.25, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0212765957446805, 1.446808510638298, 6.5, 5.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 1.3571428571428572, 2.3333333333333335, 0.875]","[0, 0, 7.476923076923077, 1.7076923076923076, 1.75, 5.416666666666667]","[0, 0, 8.307692307692308, 2.0, 1.6, 0.6190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5217391304347827, 1.4782608695652173, 1.7777777777777777, 1.0454545454545454]","[0, 1, 5.4, 1.26, 2.4, 1.2820512820512822]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
49,2018-05-23,20180523NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 8.64, 1.92, 2.5, 1.6666666666666667]","[0, 0, 5.625, 1.2916666666666667, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.530612244897959, 1.391304347826087, 5.444444444444445]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.025, 1.425, 1.5, 0.7017543859649124]","[0, 0, 1.7142857142857142, 1.0634920634920635, 4.333333333333333, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.4651162790697674, 1.368421052631579, 4.777777777777778]","[0, 1, 5.869565217391304, 1.5, 1.8, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7636363636363637, 1.3454545454545455, 5.454545454545454, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 1.3571428571428572, 2.3333333333333335, 0.875]","[0, 0, 7.476923076923077, 1.7076923076923076, 1.75, 5.416666666666667]","[0, 1, 9.642857142857142, 2.0714285714285716, 1.3333333333333333, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5217391304347827, 1.4782608695652173, 1.7777777777777777, 1.0454545454545454]","[0, 0, 5.4, 1.26, 2.4, 1.2820512820512822]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
50,2018-05-24,20180524NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 1.92, 2.5, 1.6666666666666667]","[0, 0, 5.625, 1.2916666666666667, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.530612244897959, 1.391304347826087, 5.444444444444445]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.025, 1.425, 1.5, 0.7017543859649124]","[1, 0, 1.8, 1.042857142857143, 4.384615384615385, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.4651162790697674, 1.368421052631579, 4.777777777777778]","[0, 0, 5.869565217391304, 1.5, 1.8, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7636363636363637, 1.3454545454545455, 5.454545454545454, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 1.3571428571428572, 2.3333333333333335, 0.875]","[0, 0, 7.476923076923077, 1.7076923076923076, 1.75, 5.416666666666667]","[0, 0, 9.642857142857142, 2.0714285714285716, 1.3333333333333333, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5217391304347827, 1.4782608695652173, 1.7777777777777777, 1.0454545454545454]","[0, 0, 5.4, 1.26, 2.4, 1.2820512820512822]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
51,2018-05-25,20180525LGKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 1.92, 2.5, 1.6666666666666667]","[0, 0, 5.625, 1.2916666666666667, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.530612244897959, 1.391304347826087, 5.444444444444445]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 1, 1.8837209302325582, 1.3953488372093024, 1.5, 0.7166666666666667]","[0, 0, 1.8, 1.042857142857143, 4.384615384615385, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.224489795918368, 1.4081632653061225, 1.45, 4.9]","[0, 1, 5.510204081632653, 1.4081632653061225, 2.0, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7636363636363637, 1.3454545454545455, 5.454545454545454, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.4, 1.75, 0.8823529411764706]","[0, 0, 7.476923076923077, 1.7076923076923076, 1.75, 5.416666666666667]","[0, 0, 9.642857142857142, 2.0714285714285716, 1.3333333333333333, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5217391304347827, 1.4782608695652173, 1.7777777777777777, 1.0454545454545454]","[0, 1, 5.09433962264151, 1.1886792452830188, 2.6, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
52,2018-05-26,20180526LGKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 1.92, 2.5, 1.6666666666666667]","[0, 0, 5.625, 1.2916666666666667, 5.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.530612244897959, 1.391304347826087, 5.444444444444445]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 1.8837209302325582, 1.3953488372093024, 1.5, 0.7166666666666667]","[0, 0, 1.8, 1.042857142857143, 4.384615384615385, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.224489795918368, 1.4081632653061225, 1.45, 4.9]","[0, 0, 5.510204081632653, 1.4081632653061225, 2.0, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7636363636363637, 1.3454545454545455, 5.454545454545454, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.75, 0.8823529411764706]","[1, 0, 6.75, 1.6824324324324325, 1.65, 5.481481481481482]","[0, 0, 9.642857142857142, 2.0714285714285716, 1.3333333333333333, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.4166666666666667, 2.0, 1.0434782608695652]","[0, 0, 5.09433962264151, 1.1886792452830188, 2.6, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
53,2018-05-27,20180527LGKT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.8214285714285714, 3.0, 1.5555555555555556]","[0, 1, 5.4, 1.28, 5.75, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6, 1.5272727272727273, 1.3703703703703705, 5.5]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 1.8837209302325582, 1.3953488372093024, 1.5, 0.7166666666666667]","[0, 0, 1.8, 1.042857142857143, 4.384615384615385, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.224489795918368, 1.4081632653061225, 1.45, 4.9]","[0, 0, 5.510204081632653, 1.4081632653061225, 2.0, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7636363636363637, 1.3454545454545455, 5.454545454545454, 6.111111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.75, 0.8823529411764706]","[0, 0, 6.75, 1.6824324324324325, 1.65, 5.481481481481482]","[0, 1, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.4166666666666667, 2.0, 1.0434782608695652]","[0, 0, 5.09433962264151, 1.1886792452830188, 2.6, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
54,2018-05-29,20180529LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 8.1, 1.8, 3.5, 1.4285714285714286]","[0, 1, 5.0625, 1.2, 6.0, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.5272727272727273, 1.3703703703703705, 5.5]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 1, 2.4, 1.4, 1.625, 0.7142857142857143]","[0, 0, 1.8, 1.042857142857143, 4.384615384615385, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.224489795918368, 1.4081632653061225, 1.45, 4.9]","[0, 0, 5.510204081632653, 1.4081632653061225, 2.0, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6885245901639347, 1.3114754098360655, 4.846153846153846, 6.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.75, 0.8823529411764706]","[0, 0, 6.75, 1.6824324324324325, 1.65, 5.481481481481482]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.2399999999999998, 1.44, 1.8, 1.0416666666666667]","[0, 0, 5.09433962264151, 1.1886792452830188, 2.6, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
55,2018-05-30,20180530LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.8, 3.5, 1.4285714285714286]","[0, 0, 5.0625, 1.2, 6.0, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.5272727272727273, 1.3703703703703705, 5.5]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.4, 1.4, 1.625, 0.7142857142857143]","[1, 0, 1.5949367088607596, 0.9873417721518988, 5.071428571428571, 7.181818181818182]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.224489795918368, 1.4081632653061225, 1.45, 4.9]","[0, 0, 5.510204081632653, 1.4081632653061225, 2.0, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 3.6885245901639347, 1.3114754098360655, 4.846153846153846, 6.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4, 1.75, 0.8823529411764706]","[0, 0, 6.75, 1.6824324324324325, 1.65, 5.481481481481482]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2399999999999998, 1.44, 1.8, 1.0416666666666667]","[0, 1, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
56,2018-05-31,20180531LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 1, 7.59375, 1.78125, 4.5, 1.3333333333333333]","[0, 0, 5.0625, 1.2, 6.0, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.5272727272727273, 1.3703703703703705, 5.5]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 1, 2.2978723404255317, 1.3404255319148937, 1.625, 0.712121212121212]","[0, 0, 1.5949367088607596, 0.9873417721518988, 5.071428571428571, 7.181818181818182]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.0625, 1.4625, 1.65, 4.848484848484849]","[0, 1, 5.890909090909091, 1.4727272727272729, 1.5714285714285714, 1.1458333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 1, 1.0]","[0, 0, 3.6885245901639347, 1.3114754098360655, 4.846153846153846, 6.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.456521739130435, 1.434782608695652, 1.75, 0.8518518518518519]","[0, 0, 6.75, 1.6824324324324325, 1.65, 5.481481481481482]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.1153846153846154, 1.4230769230769231, 1.8, 1.04]","[0, 0, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
57,2018-06-01,20180601WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.78125, 4.5, 1.3333333333333333]","[0, 1, 4.939024390243902, 1.1707317073170733, 6.0, 1.0123456790123457]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.5272727272727273, 1.3703703703703705, 5.5]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.2978723404255317, 1.3404255319148937, 1.625, 0.712121212121212]","[0, 0, 1.5949367088607596, 0.9873417721518988, 5.071428571428571, 7.181818181818182]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.4625, 1.65, 4.848484848484849]","[0, 0, 5.890909090909091, 1.4727272727272729, 1.5714285714285714, 1.1458333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[0, 0, 3.6885245901639347, 1.3114754098360655, 4.846153846153846, 6.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.456521739130435, 1.434782608695652, 1.75, 0.8518518518518519]","[1, 0, 5.808139534883721, 1.5, 1.8095238095238095, 5.733333333333333]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.3703703703703705, 1.9, 1.0384615384615385]","[0, 0, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
58,2018-06-02,20180602WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.78125, 4.5, 1.3333333333333333]","[0, 1, 4.821428571428571, 1.1428571428571428, 6.25, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.027624309392265, 1.4917127071823204, 1.4814814814814814, 5.484848484848485]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.2978723404255317, 1.3404255319148937, 1.625, 0.712121212121212]","[0, 0, 1.5949367088607596, 0.9873417721518988, 5.071428571428571, 7.181818181818182]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.4625, 1.65, 4.848484848484849]","[0, 1, 5.661290322580645, 1.4032258064516128, 1.8571428571428572, 1.215686274509804]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[0, 0, 3.6885245901639347, 1.3114754098360655, 4.846153846153846, 6.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.612244897959184, 1.4081632653061225, 2.0, 0.8596491228070174]","[0, 0, 5.808139534883721, 1.5, 1.8095238095238095, 5.733333333333333]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3703703703703705, 1.9, 1.0384615384615385]","[0, 0, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
59,2018-06-03,20180603WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.78125, 4.5, 1.3333333333333333]","[0, 0, 4.821428571428571, 1.1428571428571428, 6.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.027624309392265, 1.4917127071823204, 1.4814814814814814, 5.484848484848485]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.2978723404255317, 1.3404255319148937, 1.625, 0.712121212121212]","[0, 0, 1.5949367088607596, 0.9873417721518988, 5.071428571428571, 7.181818181818182]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.4625, 1.65, 4.848484848484849]","[0, 0, 5.661290322580645, 1.4032258064516128, 1.8571428571428572, 1.215686274509804]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[1, 0, 3.7611940298507465, 1.2985074626865671, 5.230769230769231, 6.090909090909091]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.612244897959184, 1.4081632653061225, 2.0, 0.8596491228070174]","[0, 0, 5.808139534883721, 1.5, 1.8095238095238095, 5.733333333333333]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3703703703703705, 1.9, 1.0384615384615385]","[0, 0, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
60,2018-06-05,20180605HHLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 7.5, 1.75, 2.75, 1.3333333333333333]","[0, 0, 4.821428571428571, 1.1428571428571428, 6.25, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.027624309392265, 1.4917127071823204, 1.4814814814814814, 5.484848484848485]","[0, 0, 40.5, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 3.0, 0.0, 0.3333333333333333]","[0, 0, 2.2978723404255317, 1.3404255319148937, 1.625, 0.712121212121212]","[1, 0, 1.8837209302325582, 1.0, 5.714285714285714, 7.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.4625, 1.65, 4.848484848484849]","[0, 0, 5.661290322580645, 1.4032258064516128, 1.8571428571428572, 1.215686274509804]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 2, 1.0]","[0, 0, 3.7611940298507465, 1.2985074626865671, 5.230769230769231, 6.090909090909091]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.612244897959184, 1.4081632653061225, 2.0, 0.8596491228070174]","[0, 0, 5.808139534883721, 1.5, 1.8095238095238095, 5.733333333333333]","[0, 0, 9.0, 2.0, 1.4285714285714286, 0.6521739130434783]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.892857142857143, 1.3928571428571428, 2.1, 1.037037037037037]","[0, 0, 5.4, 1.2000000000000002, 2.6, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 1.2857142857142856, 1.0, 1.0370370370370372]"
