,date,game_key,장민익,임진우,이현호,강동연,김정후,변진수,함덕주,박종기,한주성,윤수호,린드블럼,유재유,고봉재,이영하,김명신,최원준,박치국,김민규,박성모,배창현,신현수,정우석,곽빈,후랭코프,정철원,박신지,현도훈,김승회,장원준,최대성,이현승,이용찬,김강률,홍상삼,성영훈,유희관,허준혁
41,2018-05-16,20180516SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8837209302325582, 1.3255813953488371, 1.1111111111111112, 1.4333333333333333]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.2666666666666666]","[0, 1, 1.8493150684931505, 1.356164383561644, 2.0, 1.1587301587301586]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.218543046357616, 1.0529801324503312, 4.909090909090909, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.510204081632653, 1.5918367346938778, 2.25, 2.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8208955223880596, 1.4328358208955225, 2.625, 0.9710144927536232]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.983606557377049, 1.5737704918032789, 1.9, 0.9682539682539681]","[0, 0, 2.6, 1.1111111111111112, 1.875, 5.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.0, 5, 0.875]","[0, 0, 7.009615384615385, 1.5865384615384617, 1.8666666666666667, 4.952380952380952]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 2.307692307692308, 2.0, 0.5416666666666666]","[0, 0, 2.3684210526315788, 0.8947368421052632, 4.0, 6.333333333333333]","[0, 1, 7.0, 1.6666666666666667, 2.6666666666666665, 1.0]","[0, 0, 0.0, 1.7999999999999998, 0.75, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.389473684210527, 1.8631578947368421, 3.142857142857143, 5.277777777777778]","[0, 0, 0, 0, 0, 0]"
42,2018-05-18,20180518OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8837209302325582, 1.3255813953488371, 1.1111111111111112, 1.4333333333333333]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.2666666666666666]","[0, 0, 1.8493150684931505, 1.356164383561644, 2.0, 1.1587301587301586]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.218543046357616, 1.0529801324503312, 4.909090909090909, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.510204081632653, 1.5918367346938778, 2.25, 2.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.3714285714285714, 2.75, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.354838709677419, 1.7419354838709677, 1.7272727272727273, 0.9393939393939394]","[0, 0, 2.6, 1.1111111111111112, 1.875, 5.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.0, 5, 0.875]","[0, 0, 7.009615384615385, 1.5865384615384617, 1.8666666666666667, 4.952380952380952]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 2.307692307692308, 2.0, 0.5416666666666666]","[1, 0, 2.142857142857143, 0.9047619047619048, 3.75, 5.25]","[0, 1, 6.63157894736842, 1.631578947368421, 2.8333333333333335, 1.0]","[0, 0, 0.0, 1.7999999999999998, 0.75, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.389473684210527, 1.8631578947368421, 3.142857142857143, 5.277777777777778]","[0, 0, 0, 0, 0, 0]"
43,2018-05-19,20180519OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.653061224489796, 1.1632653061224492, 1.2222222222222223, 1.4848484848484846]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.2666666666666666]","[0, 0, 1.8493150684931505, 1.356164383561644, 2.0, 1.1587301587301586]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.218543046357616, 1.0529801324503312, 4.909090909090909, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.510204081632653, 1.5918367346938778, 2.25, 2.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.3714285714285714, 2.75, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.6, 1.1111111111111112, 1.875, 5.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.0, 5, 0.875]","[1, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.642857142857142, 2.571428571428571, 1.5, 0.5185185185185186]","[0, 0, 2.142857142857143, 0.9047619047619048, 3.75, 5.25]","[0, 0, 6.63157894736842, 1.631578947368421, 2.8333333333333335, 1.0]","[0, 0, 0.0, 1.7999999999999998, 0.75, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.64, 2.01, 3.2857142857142856, 4.761904761904762]","[0, 0, 0, 0, 0, 0]"
44,2018-05-20,20180520OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.653061224489796, 1.1632653061224492, 1.2222222222222223, 1.4848484848484846]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.2666666666666666]","[0, 1, 1.776315789473684, 1.381578947368421, 2.0, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.13953488372093, 1.0465116279069766, 4.6923076923076925, 6.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.510204081632653, 1.5918367346938778, 2.25, 2.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.5890410958904106, 1.315068493150685, 2.875, 0.9733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.6, 1.1111111111111112, 1.875, 5.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.0, 5, 0.875]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.642857142857142, 2.571428571428571, 1.5, 0.5185185185185186]","[0, 0, 2.142857142857143, 0.9047619047619048, 3.75, 5.25]","[0, 1, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 0, 0.0, 1.7999999999999998, 0.75, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 2.01, 3.2857142857142856, 4.761904761904762]","[0, 0, 0, 0, 0, 0]"
45,2018-05-22,20180522OBHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.2666666666666666]","[0, 0, 1.776315789473684, 1.381578947368421, 2.0, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.13953488372093, 1.0465116279069766, 4.6923076923076925, 6.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.510204081632653, 1.5918367346938778, 2.25, 2.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8421052631578947, 1.381578947368421, 2.7777777777777777, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[1, 0, 2.823529411764706, 1.0980392156862746, 1.8148148148148149, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 14.538461538461538, 2.5384615384615388, 0.0, 4.333333333333333]","[0, 1, 3.5217391304347827, 1.1739130434782608, 5.0, 0.8518518518518519]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.9411764705882355, 2.1176470588235294, 1.75, 0.5666666666666667]","[0, 0, 2.142857142857143, 0.9047619047619048, 3.75, 5.25]","[0, 0, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 0, 0.0, 1.7999999999999998, 0.75, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 2.01, 3.2857142857142856, 4.761904761904762]","[0, 0, 0, 0, 0, 0]"
46,2018-05-23,20180523OBHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 1, 9.947368421052632, 1.4210526315789473, 5.0, 1.0555555555555556]","[0, 0, 1.776315789473684, 1.381578947368421, 2.0, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.13953488372093, 1.0465116279069766, 4.6923076923076925, 6.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.353448275862069, 1.5258620689655173, 2.2, 2.5777777777777775]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8421052631578947, 1.381578947368421, 2.7777777777777777, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.823529411764706, 1.0980392156862746, 1.8148148148148149, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.538461538461538, 2.5384615384615388, 0.0, 4.333333333333333]","[0, 1, 3.2399999999999998, 1.0799999999999998, 6.0, 0.8333333333333334]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.5, 2.0, 1.75, 0.5454545454545454]","[0, 0, 2.142857142857143, 0.9047619047619048, 3.75, 5.25]","[0, 0, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 1, 0.0, 1.3846153846153848, 1.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 2.01, 3.2857142857142856, 4.761904761904762]","[0, 0, 0, 0, 0, 0]"
47,2018-05-24,20180524OBHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.0555555555555556]","[0, 1, 2.769230769230769, 1.5384615384615385, 1.6111111111111112, 1.1304347826086956]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.13953488372093, 1.0465116279069766, 4.6923076923076925, 6.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.353448275862069, 1.5258620689655173, 2.2, 2.5777777777777775]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8421052631578947, 1.381578947368421, 2.7777777777777777, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.823529411764706, 1.0980392156862746, 1.8148148148148149, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.538461538461538, 2.5384615384615388, 0.0, 4.333333333333333]","[0, 0, 3.2399999999999998, 1.0799999999999998, 6.0, 0.8333333333333334]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[1, 0, 1.6666666666666665, 0.8518518518518519, 3.6, 5.4]","[0, 0, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 0, 0.0, 1.3846153846153848, 1.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.64, 2.01, 3.2857142857142856, 4.761904761904762]","[0, 0, 0, 0, 0, 0]"
48,2018-05-25,20180525SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.0555555555555556]","[0, 0, 2.769230769230769, 1.5384615384615385, 1.6111111111111112, 1.1304347826086956]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.13953488372093, 1.0465116279069766, 4.6923076923076925, 6.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8421052631578947, 1.381578947368421, 2.7777777777777777, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.823529411764706, 1.0980392156862746, 1.8148148148148149, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 0, 3.2399999999999998, 1.0799999999999998, 6.0, 0.8333333333333334]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[0, 0, 1.6666666666666665, 0.8518518518518519, 3.6, 5.4]","[0, 0, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 1, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[1, 0, 8.174311926605505, 1.9541284403669723, 3.857142857142857, 4.541666666666667]","[0, 0, 0, 0, 0, 0]"
49,2018-05-26,20180526SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 9.947368421052632, 1.4210526315789473, 5.0, 1.0555555555555556]","[0, 0, 2.769230769230769, 1.5384615384615385, 1.6111111111111112, 1.1304347826086956]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.0777202072538863, 1.0259067357512954, 5.0, 6.433333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.9634146341463414, 1.353658536585366, 3.0, 1.0123456790123457]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 2.823529411764706, 1.0980392156862746, 1.8148148148148149, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 1, 3.375, 1.21875, 4.5, 0.9696969696969696]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[0, 0, 1.6666666666666665, 0.8518518518518519, 3.6, 5.4]","[0, 0, 6.3, 1.55, 3.1666666666666665, 1.0]","[0, 0, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.174311926605505, 1.9541284403669723, 3.857142857142857, 4.541666666666667]","[0, 0, 0, 0, 0, 0]"
50,2018-05-27,20180527SSOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 1, 8.307692307692308, 1.5, 3.0, 1.238095238095238]","[0, 0, 2.769230769230769, 1.5384615384615385, 1.6111111111111112, 1.1304347826086956]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0777202072538863, 1.0259067357512954, 5.0, 6.433333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9634146341463414, 1.353658536585366, 3.0, 1.0123456790123457]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[1, 0, 3.6219512195121952, 1.2073170731707317, 1.7586206896551724, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 1, 3.0857142857142854, 1.2, 4.5, 0.9722222222222222]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[0, 0, 1.6666666666666665, 0.8518518518518519, 3.6, 5.4]","[0, 1, 5.90625, 1.546875, 3.1666666666666665, 1.0158730158730158]","[0, 0, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.174311926605505, 1.9541284403669723, 3.857142857142857, 4.541666666666667]","[0, 0, 0, 0, 0, 0]"
51,2018-05-30,20180530SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 8.307692307692308, 1.5, 3.0, 1.238095238095238]","[0, 1, 2.7, 1.575, 1.5263157894736843, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0777202072538863, 1.0259067357512954, 5.0, 6.433333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9634146341463414, 1.353658536585366, 3.0, 1.0123456790123457]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.56923076923077, 1.7538461538461538, 1.8181818181818181, 0.9420289855072465]","[0, 0, 3.6219512195121952, 1.2073170731707317, 1.7586206896551724, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 0, 3.0857142857142854, 1.2, 4.5, 0.9722222222222222]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[1, 0, 1.3235294117647058, 0.9117647058823529, 3.5, 5.666666666666667]","[0, 1, 5.4, 1.5, 3.3333333333333335, 1.0606060606060606]","[0, 0, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.174311926605505, 1.9541284403669723, 3.857142857142857, 4.541666666666667]","[0, 0, 0, 0, 0, 0]"
52,2018-05-31,20180531SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 1, 6.967741935483871, 1.3548387096774193, 4.0, 1.2916666666666667]","[0, 0, 2.7, 1.575, 1.5263157894736843, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0777202072538863, 1.0259067357512954, 5.0, 6.433333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8588235294117648, 1.3058823529411765, 3.111111111111111, 1.0119047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.086956521739131, 1.8695652173913044, 1.6153846153846154, 0.9583333333333334]","[0, 0, 3.6219512195121952, 1.2073170731707317, 1.7586206896551724, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 0, 3.0857142857142854, 1.2, 4.5, 0.9722222222222222]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[0, 0, 1.3235294117647058, 0.9117647058823529, 3.5, 5.666666666666667]","[0, 1, 5.178082191780821, 1.4383561643835616, 3.5, 1.0579710144927537]","[0, 0, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.59375, 1.828125, 4.285714285714286, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]"
53,2018-06-01,20180601OBHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.2692307692307694, 1.0909090909090908, 1.4444444444444444]","[0, 0, 6.967741935483871, 1.3548387096774193, 4.0, 1.2916666666666667]","[0, 1, 2.602409638554217, 1.5542168674698795, 1.631578947368421, 1.1066666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.9018691588785046, 1.0093457943925235, 5.142857142857143, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.132231404958678, 1.56198347107438, 1.9411764705882353, 2.5208333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8588235294117648, 1.3058823529411765, 3.111111111111111, 1.0119047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.875, 1.8333333333333333, 1.6923076923076923, 0.96]","[0, 0, 3.6219512195121952, 1.2073170731707317, 1.7586206896551724, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.217391304347826, 1.826086956521739, 1.0, 3.8333333333333335]","[0, 1, 3.75, 1.4166666666666667, 5.0, 0.9230769230769231]","[0, 0, 7.7142857142857135, 1.6386554621848741, 1.9375, 4.958333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.8571428571428572, 1.75, 0.5833333333333334]","[0, 0, 1.3235294117647058, 0.9117647058823529, 3.5, 5.666666666666667]","[0, 0, 5.178082191780821, 1.4383561643835616, 3.5, 1.0579710144927537]","[0, 0, 0.0, 1.4, 0.8, 0.7142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.59375, 1.828125, 4.285714285714286, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]"
