,date,game_key,이재학,김건태,노성호,이민호,이형범,최금강,윤강민,장현식,박진우,심규범,배재환,류재인,구창모,이우석,최성영,정수민,김영규,김재균,김시훈,왕웨이중,베렛,공수빈,김진성,원종현,유원상,임창민,민태호,강윤구
40,2018-05-11,20180511NCHH0,"[0, 0, 3.672, 1.1520000000000001, 4.714285714285714, 5.952380952380952]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 5.5588235294117645, 1.1470588235294117, 4.25, 1.619047619047619]","[0, 1, 2.1891891891891895, 0.8108108108108107, 11.0, 1.1212121212121213]","[0, 0, 12.0, 2.6666666666666665, 0.0, 3.0]","[0, 0, 5.033898305084746, 1.7796610169491525, 1.0, 2.4583333333333335]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.32, 1.7999999999999998, 1.7272727272727273, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.0813953488372094, 1.813953488372093, 1.8125, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 7.056818181818182, 1.6363636363636365, 1.4, 3.259259259259259]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.582608695652174, 1.408695652173913, 2.1818181818181817, 6.388888888888889]","[0, 0, 5.017699115044248, 1.4601769911504425, 2.1875, 5.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 1, 8.379310344827587, 2.1724137931034484, 1.5, 0.8055555555555555]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 0.8, 5.0, 0.5]"
41,2018-05-13,20180513NCHH0,"[0, 0, 3.672, 1.1520000000000001, 4.714285714285714, 5.952380952380952]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 1, 7.147058823529412, 1.3235294117647058, 3.4, 1.4166666666666667]","[0, 0, 2.1891891891891895, 0.8108108108108107, 11.0, 1.1212121212121213]","[0, 1, 9.0, 2.4, 0.0, 2.5]","[0, 0, 5.033898305084746, 1.7796610169491525, 1.0, 2.4583333333333335]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.0, 1.7222222222222223, 1.8181818181818181, 1.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0813953488372094, 1.813953488372093, 1.8125, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1739130434782608, 0.7826086956521738, 8, 1.9166666666666667]","[0, 0, 7.056818181818182, 1.6363636363636365, 1.4, 3.259259259259259]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.582608695652174, 1.408695652173913, 2.1818181818181817, 6.388888888888889]","[1, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 0, 8.379310344827587, 2.1724137931034484, 1.5, 0.8055555555555555]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 0.8, 5.0, 0.5]"
42,2018-05-15,20180515LTNC0,"[1, 0, 3.883561643835616, 1.1506849315068495, 4.75, 6.083333333333333]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 1, 6.75, 1.25, 3.6, 1.3333333333333333]","[0, 1, 3.214285714285714, 1.0714285714285714, 6.5, 1.1666666666666667]","[0, 1, 8.4375, 2.25, 0.0, 1.7777777777777777]","[0, 1, 6.75, 1.96875, 0.9230769230769231, 2.3703703703703702]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.789473684210526, 1.631578947368421, 1.8181818181818181, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0813953488372094, 1.813953488372093, 1.8125, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 1.9166666666666667]","[0, 0, 7.056818181818182, 1.6363636363636365, 1.4, 3.259259259259259]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.582608695652174, 1.408695652173913, 2.1818181818181817, 6.388888888888889]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 1, 7.147058823529412, 1.9411764705882353, 1.4285714285714286, 0.8717948717948718]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.4838709677419355, 0.8709677419354839, 5.5, 0.4920634920634921]"
43,2018-05-17,20180517LTNC0,"[0, 0, 3.883561643835616, 1.1506849315068495, 4.75, 6.083333333333333]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 6.75, 1.25, 3.6, 1.3333333333333333]","[0, 0, 3.214285714285714, 1.0714285714285714, 6.5, 1.1666666666666667]","[0, 1, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 6.75, 1.96875, 0.9230769230769231, 2.3703703703703702]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.789473684210526, 1.631578947368421, 1.8181818181818181, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.375, 1.6153846153846154, 1.9411764705882353, 3.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 1.9166666666666667]","[0, 1, 7.290000000000001, 1.7399999999999998, 1.2, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.582608695652174, 1.408695652173913, 2.1818181818181817, 6.388888888888889]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 0, 7.147058823529412, 1.9411764705882353, 1.4285714285714286, 0.8717948717948718]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4838709677419355, 0.8709677419354839, 5.5, 0.4920634920634921]"
44,2018-05-18,20180518NCKT0,"[0, 0, 3.883561643835616, 1.1506849315068495, 4.75, 6.083333333333333]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 6.75, 1.25, 3.6, 1.3333333333333333]","[0, 1, 3.6, 1.2, 4.666666666666667, 1.1538461538461537]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 1, 7.171875, 2.0625, 0.8571428571428571, 2.1333333333333333]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 1.55, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.6153846153846154, 1.9411764705882353, 3.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 1.9166666666666667]","[0, 0, 7.290000000000001, 1.7399999999999998, 1.2, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.4, 1.3555555555555556, 2.5454545454545454, 6.428571428571429]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 1, 6.075, 1.7999999999999998, 1.4285714285714286, 0.9523809523809524]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4838709677419355, 0.8709677419354839, 5.5, 0.4920634920634921]"
45,2018-05-19,20180519NCKT0,"[0, 0, 3.883561643835616, 1.1506849315068495, 4.75, 6.083333333333333]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 6.75, 1.25, 3.6, 1.3333333333333333]","[0, 0, 3.6, 1.2, 4.666666666666667, 1.1538461538461537]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 7.171875, 2.0625, 0.8571428571428571, 2.1333333333333333]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7384615384615385, 1.5692307692307692, 1.6923076923076923, 1.1403508771929824]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.6153846153846154, 1.9411764705882353, 3.1515151515151514]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.4594594594594597, 0.9729729729729729, 14, 2.466666666666667]","[0, 0, 7.290000000000001, 1.7399999999999998, 1.2, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4, 1.3555555555555556, 2.5454545454545454, 6.428571428571429]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.4, 2.0, 0.8333333333333334]","[0, 1, 6.075, 1.95, 1.1111111111111112, 0.888888888888889]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4838709677419355, 0.8709677419354839, 5.5, 0.4920634920634921]"
46,2018-05-20,20180520NCKT0,"[1, 0, 3.68944099378882, 1.1366459627329193, 5.25, 5.962962962962963]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 1, 6.394736842105263, 1.2631578947368423, 3.3333333333333335, 1.2666666666666666]","[0, 0, 3.6, 1.2, 4.666666666666667, 1.1538461538461537]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 1, 6.75, 2.0294117647058822, 0.875, 2.0606060606060606]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7384615384615385, 1.5692307692307692, 1.6923076923076923, 1.1403508771929824]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.6153846153846154, 1.9411764705882353, 3.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4594594594594597, 0.9729729729729729, 14, 2.466666666666667]","[0, 0, 7.290000000000001, 1.7399999999999998, 1.2, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4, 1.3555555555555556, 2.5454545454545454, 6.428571428571429]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 6.075, 1.95, 1.1111111111111112, 0.888888888888889]","[0, 0, 8.307692307692308, 1.7999999999999998, 1.5, 1.0317460317460319]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.354838709677419, 0.9677419354838709, 3.6666666666666665, 0.4696969696969697]"
47,2018-05-22,20180522NCLG0,"[0, 0, 3.68944099378882, 1.1366459627329193, 5.25, 5.962962962962963]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 1, 6.585365853658536, 1.3902439024390245, 3.3333333333333335, 1.2424242424242424]","[0, 0, 3.6, 1.2, 4.666666666666667, 1.1538461538461537]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 6.75, 2.0294117647058822, 0.875, 2.0606060606060606]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7384615384615385, 1.5692307692307692, 1.6923076923076923, 1.1403508771929824]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.026315789473684, 1.605263157894737, 1.9444444444444444, 3.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4594594594594597, 0.9729729729729729, 14, 2.466666666666667]","[0, 0, 7.290000000000001, 1.7399999999999998, 1.2, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4, 1.3555555555555556, 2.5454545454545454, 6.428571428571429]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 1, 4.959183673469388, 1.653061224489796, 1.3333333333333333, 1.0208333333333333]","[0, 1, 7.605633802816902, 1.732394366197183, 1.875, 1.075757575757576]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.354838709677419, 0.9677419354838709, 3.6666666666666665, 0.4696969696969697]"
48,2018-05-23,20180523NCLG0,"[0, 0, 3.68944099378882, 1.1366459627329193, 5.25, 5.962962962962963]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 1, 7.2439024390243905, 1.6097560975609757, 3.3333333333333335, 1.1388888888888888]","[0, 1, 3.375, 1.1875, 3.5, 1.1428571428571428]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 1, 6.151898734177215, 1.8607594936708862, 0.875, 2.194444444444444]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7384615384615385, 1.5692307692307692, 1.6923076923076923, 1.1403508771929824]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.026315789473684, 1.605263157894737, 1.9444444444444444, 3.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4594594594594597, 0.9729729729729729, 14, 2.466666666666667]","[1, 0, 7.054054054054054, 1.7567567567567568, 1.3181818181818181, 3.3636363636363638]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4, 1.3555555555555556, 2.5454545454545454, 6.428571428571429]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 4.959183673469388, 1.653061224489796, 1.3333333333333333, 1.0208333333333333]","[0, 0, 7.605633802816902, 1.732394366197183, 1.875, 1.075757575757576]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.354838709677419, 0.9677419354838709, 3.6666666666666665, 0.4696969696969697]"
49,2018-05-24,20180524NCLG0,"[0, 0, 3.68944099378882, 1.1366459627329193, 5.25, 5.962962962962963]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 7.2439024390243905, 1.6097560975609757, 3.3333333333333335, 1.1388888888888888]","[0, 0, 3.375, 1.1875, 3.5, 1.1428571428571428]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 6.151898734177215, 1.8607594936708862, 0.875, 2.194444444444444]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.029850746268656, 1.6567164179104479, 1.5714285714285714, 1.1166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.026315789473684, 1.605263157894737, 1.9444444444444444, 3.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4594594594594597, 0.9729729729729729, 14, 2.466666666666667]","[0, 0, 7.054054054054054, 1.7567567567567568, 1.3181818181818181, 3.3636363636363638]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.16, 1.3, 2.6666666666666665, 6.25]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 4.959183673469388, 1.653061224489796, 1.3333333333333333, 1.0208333333333333]","[0, 1, 7.2, 1.68, 2.25, 1.0869565217391304]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.0625, 1.03125, 3.6666666666666665, 0.46376811594202894]"
50,2018-05-25,20180525HTNC0,"[0, 0, 3.68944099378882, 1.1366459627329193, 5.25, 5.962962962962963]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 7.2439024390243905, 1.6097560975609757, 3.3333333333333335, 1.1388888888888888]","[0, 1, 3.306122448979592, 1.1632653061224492, 3.5, 1.0888888888888888]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 6.151898734177215, 1.8607594936708862, 0.875, 2.194444444444444]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.029850746268656, 1.6567164179104479, 1.5714285714285714, 1.1166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.026315789473684, 1.605263157894737, 1.9444444444444444, 3.1666666666666665]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.076923076923077, 1.0384615384615385, 15.0, 2.888888888888889]","[0, 0, 7.054054054054054, 1.7567567567567568, 1.3181818181818181, 3.3636363636363638]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.3, 2.6666666666666665, 6.25]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 1, 5.8235294117647065, 1.7058823529411764, 1.4444444444444444, 1.0]","[0, 1, 6.9230769230769225, 1.6538461538461537, 2.25, 1.0833333333333333]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.0, 4.0, 0.4583333333333333]"
51,2018-05-26,20180526HTNC0,"[1, 0, 4.280487804878049, 1.225609756097561, 4.777777777777778, 5.466666666666667]","[0, 0, 6.230769230769231, 1.6730769230769231, 2.8, 2.888888888888889]","[0, 0, 7.2439024390243905, 1.6097560975609757, 3.3333333333333335, 1.1388888888888888]","[0, 0, 3.306122448979592, 1.1632653061224492, 3.5, 1.0888888888888888]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 0, 6.151898734177215, 1.8607594936708862, 0.875, 2.194444444444444]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.9130434782608696, 1.6956521739130435, 1.4666666666666666, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.026315789473684, 1.605263157894737, 1.9444444444444444, 3.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0384615384615385, 15.0, 2.888888888888889]","[0, 0, 7.054054054054054, 1.7567567567567568, 1.3181818181818181, 3.3636363636363638]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.3, 2.6666666666666665, 6.25]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 1, 5.5, 1.6666666666666667, 1.4444444444444444, 1.0]","[0, 0, 6.9230769230769225, 1.6538461538461537, 2.25, 1.0833333333333333]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.0, 4.0, 0.4583333333333333]"
52,2018-05-27,20180527HTNC0,"[0, 0, 4.280487804878049, 1.225609756097561, 4.777777777777778, 5.466666666666667]","[0, 1, 5.890909090909091, 1.581818181818182, 2.8, 2.619047619047619]","[0, 0, 7.2439024390243905, 1.6097560975609757, 3.3333333333333335, 1.1388888888888888]","[0, 0, 3.306122448979592, 1.1632653061224492, 3.5, 1.0888888888888888]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 1, 7.623529411764705, 2.011764705882353, 0.7777777777777778, 2.1794871794871793]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9130434782608696, 1.6956521739130435, 1.4666666666666666, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.090909090909091, 1.5909090909090908, 2.1666666666666665, 3.3846153846153846]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0384615384615385, 15.0, 2.888888888888889]","[0, 1, 7.153846153846154, 1.8461538461538463, 1.3181818181818181, 3.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.3, 2.6666666666666665, 6.25]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 5.5, 1.6666666666666667, 1.4444444444444444, 1.0]","[0, 0, 6.9230769230769225, 1.6538461538461537, 2.25, 1.0833333333333333]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.0, 4.0, 0.4583333333333333]"
53,2018-05-29,20180529NCHH0,"[0, 0, 4.280487804878049, 1.225609756097561, 4.777777777777778, 5.466666666666667]","[0, 0, 5.890909090909091, 1.581818181818182, 2.8, 2.619047619047619]","[1, 0, 6.230769230769231, 1.5576923076923077, 2.6666666666666665, 1.3333333333333333]","[0, 1, 4.959183673469388, 1.3469387755102042, 3.5, 1.0208333333333333]","[0, 0, 7.9411764705882355, 2.1176470588235294, 0.0, 1.4166666666666667]","[0, 1, 7.9772727272727275, 2.0454545454545454, 0.8333333333333334, 2.0952380952380953]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9130434782608696, 1.6956521739130435, 1.4666666666666666, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.090909090909091, 1.5909090909090908, 2.1666666666666665, 3.3846153846153846]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0384615384615385, 15.0, 2.888888888888889]","[0, 0, 7.153846153846154, 1.8461538461538463, 1.3181818181818181, 3.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.3, 2.6666666666666665, 6.25]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 5.5, 1.6666666666666667, 1.4444444444444444, 1.0]","[0, 1, 7.534883720930233, 1.744186046511628, 1.8, 1.1466666666666667]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.25, 1.0, 4.333333333333333, 0.48]"
54,2018-05-30,20180530NCHH0,"[0, 0, 4.280487804878049, 1.225609756097561, 4.777777777777778, 5.466666666666667]","[0, 0, 5.890909090909091, 1.581818181818182, 2.8, 2.619047619047619]","[0, 0, 6.230769230769231, 1.5576923076923077, 2.6666666666666665, 1.3333333333333333]","[0, 0, 4.959183673469388, 1.3469387755102042, 3.5, 1.0208333333333333]","[0, 1, 8.1, 2.25, 0.3333333333333333, 1.3333333333333335]","[0, 0, 7.9772727272727275, 2.0454545454545454, 0.8333333333333334, 2.0952380952380953]","[0, 0, 16.875, 4.125, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9130434782608696, 1.6956521739130435, 1.4666666666666666, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.090909090909091, 1.5909090909090908, 2.1666666666666665, 3.3846153846153846]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0384615384615385, 15.0, 2.888888888888889]","[0, 0, 7.153846153846154, 1.8461538461538463, 1.3181818181818181, 3.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.571428571428571, 1.3035714285714286, 2.642857142857143, 6.222222222222222]","[0, 0, 6.048, 1.6800000000000002, 1.8421052631578947, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.7, 1.2, 0.7692307692307693]","[0, 0, 5.5, 1.6666666666666667, 1.4444444444444444, 1.0]","[0, 0, 7.534883720930233, 1.744186046511628, 1.8, 1.1466666666666667]","[0, 0, 4.5, 1.3333333333333333, 4.0, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.25, 1.0, 4.333333333333333, 0.48]"
