,date,game_key,김대유,박종훈,문광은,이정담,서진용,정영일,임치영,문승원,허건엽,김정빈,이건욱,김택형,박세웅,켈리,허웅,김찬호,정동윤,김주한,다이아몬드,남윤성,이원준,채병용,임준혁,윤희상,신재웅,박정배,전유수,박희수,김광현,백인식,김태훈
46,2017-05-26,20170526LGSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.846153846153846, 1.6923076923076923, 1.2727272727272727, 4.875]","[0, 0, 2.7, 1.125, 2.3333333333333335, 1.2121212121212122]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.3469387755102042, 3.3333333333333335, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.642857142857142, 1.8333333333333333, 1.3157894736842106, 5.25]","[0, 0, 2.4545454545454546, 2.181818181818182, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.011428571428572, 1.3714285714285714, 3.8823529411764706, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.855421686746988, 1.4819277108433735, 1.9, 1.7291666666666667]","[0, 0, 1.0, 1.0, 0.6666666666666666, 4.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.943661971830986, 1.3098591549295775, 1.8888888888888888, 1.3921568627450982]","[0, 0, 4.05, 1.8, 1.0, 1.1764705882352942]","[0, 0, 2.979310344827586, 1.0344827586206895, 3.8181818181818183, 6.041666666666667]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 3.3230769230769233, 1.2923076923076922, 1.5, 1.2745098039215688]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 1, 4.673076923076923, 1.6730769230769231, 1.5714285714285714, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.1891891891891895, 1.8648648648648647, 1.1111111111111112, 4.111111111111112]"
47,2017-05-27,20170527LGSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.846153846153846, 1.6923076923076923, 1.2727272727272727, 4.875]","[0, 1, 3.7674418604651163, 1.1860465116279069, 2.5, 1.1944444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.3469387755102042, 3.3333333333333335, 1.0888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.8125, 1.6875, 1.631578947368421, 5.333333333333333]","[0, 0, 2.4545454545454546, 2.181818181818182, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.011428571428572, 1.3714285714285714, 3.8823529411764706, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.829545454545455, 1.465909090909091, 1.7272727272727273, 1.7254901960784312]","[0, 0, 1.0, 1.0, 0.6666666666666666, 4.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.943661971830986, 1.3098591549295775, 1.8888888888888888, 1.3921568627450982]","[0, 0, 4.05, 1.8, 1.0, 1.1764705882352942]","[0, 0, 2.979310344827586, 1.0344827586206895, 3.8181818181818183, 6.041666666666667]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 3.176470588235294, 1.2352941176470587, 1.625, 1.2592592592592593]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 1, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1891891891891895, 1.8648648648648647, 1.1111111111111112, 4.111111111111112]"
48,2017-05-28,20170528LGSK0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.695652173913043, 1.5217391304347827, 1.3181818181818181, 5.111111111111111]","[0, 1, 5.023255813953488, 1.3255813953488371, 2.142857142857143, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.1923076923076925, 1.4423076923076925, 3.3333333333333335, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.8125, 1.6875, 1.631578947368421, 5.333333333333333]","[0, 0, 2.4545454545454546, 2.181818181818182, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.011428571428572, 1.3714285714285714, 3.8823529411764706, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.637362637362638, 1.4175824175824177, 1.7272727272727273, 1.6851851851851851]","[0, 0, 1.0, 1.0, 0.6666666666666666, 4.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.943661971830986, 1.3098591549295775, 1.8888888888888888, 1.3921568627450982]","[0, 0, 4.05, 1.8, 1.0, 1.1764705882352942]","[0, 0, 2.979310344827586, 1.0344827586206895, 3.8181818181818183, 6.041666666666667]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.176470588235294, 1.2352941176470587, 1.625, 1.2592592592592593]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1891891891891895, 1.8648648648648647, 1.1111111111111112, 4.111111111111112]"
49,2017-05-30,20170530SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.5217391304347827, 1.3181818181818181, 5.111111111111111]","[0, 0, 5.023255813953488, 1.3255813953488371, 2.142857142857143, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.821428571428571, 1.5535714285714284, 3.142857142857143, 1.0980392156862746]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.8125, 1.6875, 1.631578947368421, 5.333333333333333]","[0, 1, 1.588235294117647, 1.588235294117647, 2.0, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.270408163265307, 1.392857142857143, 4.0, 6.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.637362637362638, 1.4175824175824177, 1.7272727272727273, 1.6851851851851851]","[0, 0, 1.0, 1.0, 0.6666666666666666, 4.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.943661971830986, 1.3098591549295775, 1.8888888888888888, 1.3921568627450982]","[0, 0, 4.05, 1.8, 1.0, 1.1764705882352942]","[0, 0, 2.979310344827586, 1.0344827586206895, 3.8181818181818183, 6.041666666666667]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.176470588235294, 1.2352941176470587, 1.625, 1.2592592592592593]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1891891891891895, 1.8648648648648647, 1.1111111111111112, 4.111111111111112]"
50,2017-05-31,20170531SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.5217391304347827, 1.3181818181818181, 5.111111111111111]","[0, 0, 5.023255813953488, 1.3255813953488371, 2.142857142857143, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5535714285714284, 3.142857142857143, 1.0980392156862746]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.8125, 1.6875, 1.631578947368421, 5.333333333333333]","[0, 0, 1.588235294117647, 1.588235294117647, 2.0, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.270408163265307, 1.392857142857143, 4.0, 6.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.637362637362638, 1.4175824175824177, 1.7272727272727273, 1.6851851851851851]","[0, 0, 1.0, 1.0, 0.6666666666666666, 4.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.943661971830986, 1.3098591549295775, 1.8888888888888888, 1.3921568627450982]","[0, 1, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[1, 0, 4.471337579617834, 1.1847133757961783, 3.6666666666666665, 5.814814814814815]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.176470588235294, 1.2352941176470587, 1.625, 1.2592592592592593]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.528301886792453, 1.641509433962264, 1.5, 4.416666666666667]"
51,2017-06-01,20170601SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.5217391304347827, 1.3181818181818181, 5.111111111111111]","[0, 1, 4.909090909090909, 1.2954545454545454, 2.142857142857143, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5535714285714284, 3.142857142857143, 1.0980392156862746]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.8125, 1.6875, 1.631578947368421, 5.333333333333333]","[0, 1, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.270408163265307, 1.392857142857143, 4.0, 6.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.684210526315789, 1.4526315789473683, 1.7272727272727273, 1.6666666666666667]","[1, 0, 1.3846153846153846, 1.2307692307692308, 1.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 1.5, 1.7, 1.3333333333333333]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.471337579617834, 1.1847133757961783, 3.6666666666666665, 5.814814814814815]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.176470588235294, 1.2352941176470587, 1.625, 1.2592592592592593]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.528301886792453, 1.641509433962264, 1.5, 4.416666666666667]"
52,2017-06-02,20170602SKHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.5217391304347827, 1.3181818181818181, 5.111111111111111]","[0, 0, 4.909090909090909, 1.2954545454545454, 2.142857142857143, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.576271186440678, 1.4745762711864405, 3.5714285714285716, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.166666666666666, 1.5740740740740742, 1.85, 5.4]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.270408163265307, 1.392857142857143, 4.0, 6.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.845360824742269, 1.4536082474226804, 1.7272727272727273, 1.6166666666666667]","[0, 0, 1.3846153846153846, 1.2307692307692308, 1.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.917808219178082, 1.4794520547945207, 1.7, 1.280701754385965]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.471337579617834, 1.1847133757961783, 3.6666666666666665, 5.814814814814815]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 3.0422535211267605, 1.1830985915492958, 1.625, 1.2456140350877194]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.418181818181818, 1.581818181818182, 1.8571428571428572, 0.8730158730158729]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.528301886792453, 1.641509433962264, 1.5, 4.416666666666667]"
53,2017-06-03,20170603SKHH0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.3269230769230775, 1.4230769230769231, 1.6363636363636365, 5.2]","[0, 0, 4.909090909090909, 1.2954545454545454, 2.142857142857143, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.576271186440678, 1.4745762711864405, 3.5714285714285716, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.166666666666666, 1.5740740740740742, 1.85, 5.4]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.270408163265307, 1.392857142857143, 4.0, 6.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.845360824742269, 1.4536082474226804, 1.7272727272727273, 1.6166666666666667]","[0, 0, 1.3846153846153846, 1.2307692307692308, 1.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.917808219178082, 1.4794520547945207, 1.7, 1.280701754385965]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.471337579617834, 1.1847133757961783, 3.6666666666666665, 5.814814814814815]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 2.8421052631578947, 1.1447368421052633, 1.75, 1.2666666666666666]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 1, 4.655172413793104, 1.5517241379310345, 1.8571428571428572, 0.8787878787878788]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.3728813559322035, 1.5254237288135593, 1.7, 3.9333333333333336]"
54,2017-06-04,20170604SKHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.3269230769230775, 1.4230769230769231, 1.6363636363636365, 5.2]","[0, 0, 4.909090909090909, 1.2954545454545454, 2.142857142857143, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.576271186440678, 1.4745762711864405, 3.5714285714285716, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.166666666666666, 1.5740740740740742, 1.85, 5.4]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9112149532710276, 1.3598130841121496, 4.05, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.67, 1.44, 1.9090909090909092, 1.5873015873015874]","[0, 0, 1.3846153846153846, 1.2307692307692308, 1.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.917808219178082, 1.4794520547945207, 1.7, 1.280701754385965]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.471337579617834, 1.1847133757961783, 3.6666666666666665, 5.814814814814815]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 2.8421052631578947, 1.1447368421052633, 1.75, 1.2666666666666666]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 1, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.3728813559322035, 1.5254237288135593, 1.7, 3.9333333333333336]"
55,2017-06-06,20170606WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.3269230769230775, 1.4230769230769231, 1.6363636363636365, 5.2]","[0, 0, 4.909090909090909, 1.2954545454545454, 2.142857142857143, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.576271186440678, 1.4745762711864405, 3.5714285714285716, 1.0925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.166666666666666, 1.5740740740740742, 1.85, 5.4]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9112149532710276, 1.3598130841121496, 4.05, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.504854368932039, 1.3980582524271843, 1.9090909090909092, 1.5606060606060608]","[0, 0, 1.3846153846153846, 1.2307692307692308, 1.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.917808219178082, 1.4794520547945207, 1.7, 1.280701754385965]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[1, 0, 4.395348837209303, 1.2209302325581395, 3.357142857142857, 5.733333333333333]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 3.0759493670886076, 1.139240506329114, 1.875, 1.253968253968254]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2461538461538462, 1.5692307692307692, 1.6363636363636365, 3.611111111111111]"
56,2017-06-07,20170607WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.3269230769230775, 1.4230769230769231, 1.6363636363636365, 5.2]","[0, 1, 5.170212765957447, 1.4042553191489362, 2.0, 1.0444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.868852459016393, 1.6229508196721312, 2.888888888888889, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.166666666666666, 1.5740740740740742, 1.85, 5.4]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9112149532710276, 1.3598130841121496, 4.05, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.504854368932039, 1.3980582524271843, 1.9090909090909092, 1.5606060606060608]","[1, 0, 1.4210526315789473, 1.105263157894737, 1.6, 4.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.684210526315789, 1.5, 1.4166666666666667, 1.2666666666666666]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.395348837209303, 1.2209302325581395, 3.357142857142857, 5.733333333333333]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.0759493670886076, 1.139240506329114, 1.875, 1.253968253968254]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2461538461538462, 1.5692307692307692, 1.6363636363636365, 3.611111111111111]"
57,2017-06-08,20170608WOSK0,"[0, 1, 0, 0, 0, 0]","[0, 0, 4.3269230769230775, 1.4230769230769231, 1.6363636363636365, 5.2]","[0, 0, 5.170212765957447, 1.4042553191489362, 2.0, 1.0444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.868852459016393, 1.6229508196721312, 2.888888888888889, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.2457142857142856, 1.6285714285714286, 1.7619047619047619, 5.303030303030304]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9112149532710276, 1.3598130841121496, 4.05, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.349056603773585, 1.4150943396226414, 1.8333333333333333, 1.5362318840579712]","[0, 0, 1.4210526315789473, 1.105263157894737, 1.6, 4.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.684210526315789, 1.5, 1.4166666666666667, 1.2666666666666666]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.395348837209303, 1.2209302325581395, 3.357142857142857, 5.733333333333333]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 3.0759493670886076, 1.139240506329114, 1.875, 1.253968253968254]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.588235294117647, 1.5441176470588234, 1.6363636363636365, 3.238095238095238]"
58,2017-06-09,20170609SKLG0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.105263157894736, 1.4385964912280702, 1.5833333333333333, 5.181818181818182]","[0, 0, 5.170212765957447, 1.4042553191489362, 2.0, 1.0444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.868852459016393, 1.6229508196721312, 2.888888888888889, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2457142857142856, 1.6285714285714286, 1.7619047619047619, 5.303030303030304]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9112149532710276, 1.3598130841121496, 4.05, 6.484848484848484]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.349056603773585, 1.4150943396226414, 1.8333333333333333, 1.5362318840579712]","[0, 0, 1.4210526315789473, 1.105263157894737, 1.6, 4.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.5769230769230769, 1.5, 1.2380952380952381]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.395348837209303, 1.2209302325581395, 3.357142857142857, 5.733333333333333]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 1, 2.9634146341463414, 1.1341463414634148, 1.7777777777777777, 1.2424242424242424]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.588235294117647, 1.5441176470588234, 1.6363636363636365, 3.238095238095238]"
59,2017-06-10,20170610SKLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.105263157894736, 1.4385964912280702, 1.5833333333333333, 5.181818181818182]","[0, 0, 5.170212765957447, 1.4042553191489362, 2.0, 1.0444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.868852459016393, 1.6229508196721312, 2.888888888888889, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2457142857142856, 1.6285714285714286, 1.7619047619047619, 5.303030303030304]","[0, 0, 4.05, 1.65, 2.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7914893617021277, 1.3276595744680852, 4.0, 6.527777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.25, 1.4444444444444444, 1.6923076923076923, 1.5]","[0, 0, 1.4210526315789473, 1.105263157894737, 1.6, 4.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.5769230769230769, 1.5, 1.2380952380952381]","[0, 0, 5.8500000000000005, 1.95, 0.9230769230769231, 1.1111111111111112]","[0, 0, 4.395348837209303, 1.2209302325581395, 3.357142857142857, 5.733333333333333]","[0, 0, 0.0, 0.5, 6.0, 1.0]","[0, 0, 2.9634146341463414, 1.1341463414634148, 1.7777777777777777, 1.2424242424242424]","[0, 0, 4.5, 1.625, 2.0, 1.0]","[0, 0, 4.426229508196721, 1.5737704918032789, 1.5555555555555556, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.588235294117647, 1.5441176470588234, 1.6363636363636365, 3.238095238095238]"
