,date,game_key,최원재,채선관,조근종,고영표,심재민,류희운,안상빈,강장산,홍성무,엄상백,이창재,정성곤,주권,김재윤,조무근,피어밴드,배제성,박세진,김도영,로치,조병욱,이정현,이종혁,최대성,홍성용,윤근영,이상화,배우열,김사율
10,2017-04-13,20170413KTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 3.8333333333333335]","[0, 1, 0.0, 1.9090909090909092, 4.0, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.153846153846154, 0.5, 1.4444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 4.5, 2.75, 0.5, 4.0]","[0, 1, 0.0, 0.6, 4, 0.8333333333333334]","[0, 1, 0.0, 0.0, 2, 0.5]","[0, 0, 1.2857142857142856, 0.42857142857142855, 3, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.769230769230769, 1.0769230769230769, 10.0, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.27272727272727276, 1, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
11,2017-04-14,20170414KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 3.8333333333333335]","[0, 0, 0.0, 1.9090909090909092, 4.0, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 0.4, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.75, 4, 2.0]","[0, 0, 4.5, 2.75, 0.5, 4.0]","[0, 0, 0.0, 0.6, 4, 0.8333333333333334]","[0, 0, 0.0, 0.0, 2, 0.5]","[0, 0, 1.2857142857142856, 0.42857142857142855, 3, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.769230769230769, 1.0769230769230769, 10.0, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.27272727272727276, 1, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,2017-04-15,20170415KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 3.8333333333333335]","[0, 0, 0.0, 1.9090909090909092, 4.0, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0.4, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.75, 4, 2.0]","[0, 0, 4.5, 2.75, 0.5, 4.0]","[0, 1, 0.0, 0.46153846153846156, 5, 0.8666666666666666]","[0, 0, 0.0, 0.0, 2, 0.5]","[1, 0, 0.5625, 0.4375, 14, 8.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.769230769230769, 1.0769230769230769, 10.0, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.27272727272727276, 1, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,2017-04-16,20170416KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.7826086956521738, 8, 3.8333333333333335]","[0, 1, 0.0, 1.5, 4.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.4210526315789473, 0.5, 1.2666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.8, 4.0, 1.6666666666666667]","[1, 0, 11.88, 2.76, 0.6666666666666666, 4.166666666666667]","[0, 0, 0.0, 0.46153846153846156, 5, 0.8666666666666666]","[0, 0, 0.0, 0.0, 2, 0.5]","[0, 0, 0.5625, 0.4375, 14, 8.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.769230769230769, 1.0769230769230769, 10.0, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.21428571428571427, 3, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,2017-04-18,20170418HTKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.7, 0.975, 7.0, 4.444444444444445]","[0, 1, 3.176470588235294, 1.9411764705882353, 2.5, 0.8095238095238095]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.571428571428571, 1.7142857142857142, 0.375, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.8, 4.0, 1.6666666666666667]","[0, 0, 11.88, 2.76, 0.6666666666666666, 4.166666666666667]","[0, 0, 0.0, 0.46153846153846156, 5, 0.8666666666666666]","[0, 0, 0.0, 0.0, 2, 0.5]","[0, 0, 0.5625, 0.4375, 14, 8.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.769230769230769, 1.0769230769230769, 10.0, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,2017-04-19,20170419HTKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.975, 7.0, 4.444444444444445]","[0, 1, 2.4545454545454546, 1.6363636363636365, 2.5, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.7142857142857142, 0.375, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.8, 4.0, 1.6666666666666667]","[0, 0, 11.88, 2.76, 0.6666666666666666, 4.166666666666667]","[0, 1, 0.0, 0.5625, 6.0, 0.8888888888888888]","[0, 1, 0.0, 0.0, 2, 0.5333333333333333]","[0, 0, 0.5625, 0.4375, 14, 8.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.0, 1.3888888888888888, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,2017-04-20,20170420HTKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.975, 7.0, 4.444444444444445]","[0, 0, 2.4545454545454546, 1.6363636363636365, 2.5, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.7142857142857142, 0.375, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.8, 4.0, 1.6666666666666667]","[0, 1, 15.428571428571427, 3.1071428571428568, 0.6666666666666666, 3.111111111111111]","[0, 0, 0.0, 0.5625, 6.0, 0.8888888888888888]","[0, 0, 0.0, 0.0, 2, 0.5333333333333333]","[0, 0, 0.5625, 0.4375, 14, 8.0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3888888888888888, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,2017-04-21,20170421HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.975, 7.0, 4.444444444444445]","[0, 1, 2.16, 1.44, 4.0, 0.925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.7142857142857142, 0.375, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.8, 4.0, 1.6666666666666667]","[0, 0, 15.428571428571427, 3.1071428571428568, 0.6666666666666666, 3.111111111111111]","[0, 0, 0.0, 0.5625, 6.0, 0.8888888888888888]","[0, 1, 0.0, 0.6666666666666666, 2.0, 0.5]","[1, 0, 0.36000000000000004, 0.56, 19, 8.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3888888888888888, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,2017-04-22,20170422HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.975, 7.0, 4.444444444444445]","[0, 1, 2.793103448275862, 1.4482758620689655, 4.5, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.5, 0.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.909090909090909, 1.5, 3.0, 1.8333333333333333]","[0, 0, 15.428571428571427, 3.1071428571428568, 0.6666666666666666, 3.111111111111111]","[0, 1, 0.0, 0.5, 6.0, 0.8571428571428571]","[0, 0, 0.0, 0.6666666666666666, 2.0, 0.5]","[0, 0, 0.36000000000000004, 0.56, 19, 8.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3888888888888888, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1739130434782608, 1.0434782608695652, 1.5, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,2017-04-23,20170423HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8571428571428568, 1.125, 10.0, 4.666666666666667]","[0, 0, 2.793103448275862, 1.4482758620689655, 4.5, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 0.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.5, 3.0, 1.8333333333333333]","[0, 1, 12.405405405405405, 2.5945945945945943, 1.0, 3.0833333333333335]","[0, 0, 0.0, 0.5, 6.0, 0.8571428571428571]","[0, 1, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 0.36000000000000004, 0.56, 19, 8.333333333333334]","[0, 1, 0.0, 0.0, 2, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3888888888888888, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 1.0434782608695652, 1.5, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
