,date,game_key,이재학,이민호,이형범,최금강,해커,장현식,임정호,윤호솔,배재환,윤수호,류재인,구창모,최성영,박준영,정수민,김호민,강병무,맨쉽,김진호,김태현,소이현,김선규,김진성,원종현,박민석,임창민,민태호,강윤구,박상혁
43,2017-05-23,20170523NCWO0,"[0, 0, 12.10344827586207, 2.1724137931034484, 3.0, 3.222222222222222]","[0, 1, 6.75, 1.7678571428571428, 2.2222222222222223, 1.696969696969697]","[0, 0, 0.0, 1.1785714285714286, 1.5, 1.3333333333333335]","[0, 0, 4.235294117647059, 1.411764705882353, 1.0666666666666667, 3.4]","[1, 0, 2.8051948051948052, 1.0714285714285714, 6.75, 6.416666666666667]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 0, 2.7, 0.9, 6.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 1, 6.287671232876712, 1.4794520547945207, 2.1818181818181817, 1.106060606060606]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4020618556701026, 1.824742268041237, 2.3125, 3.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.825, 4.428571428571429, 1.4035087719298247]","[0, 0, 1.975609756097561, 1.0975609756097562, 3.25, 1.2424242424242424]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2272727272727273, 0.7727272727272727, 5.2, 1.1]","[0, 1, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.0, 2.2222222222222223, 1.3333333333333333, 1.5]","[0, 0, 0, 0, 0, 0]"
44,2017-05-24,20170524NCWO0,"[0, 0, 12.10344827586207, 2.1724137931034484, 3.0, 3.222222222222222]","[0, 0, 6.75, 1.7678571428571428, 2.2222222222222223, 1.696969696969697]","[0, 0, 0.0, 1.1785714285714286, 1.5, 1.3333333333333335]","[1, 0, 5.60377358490566, 1.5283018867924527, 1.0588235294117647, 3.2121212121212124]","[0, 0, 2.8051948051948052, 1.0714285714285714, 6.75, 6.416666666666667]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 3.4838709677419355, 0.9677419354838709, 6.0, 0.543859649122807]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 6.287671232876712, 1.4794520547945207, 2.1818181818181817, 1.106060606060606]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4020618556701026, 1.824742268041237, 2.3125, 3.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.569767441860465, 0.8023255813953488, 4.375, 1.4333333333333333]","[0, 1, 1.8409090909090908, 1.0227272727272727, 3.25, 1.2753623188405796]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1739130434782608, 0.8260869565217391, 4.333333333333333, 1.0952380952380953]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.0, 2.2222222222222223, 1.3333333333333333, 1.5]","[0, 0, 0, 0, 0, 0]"
45,2017-05-25,20170525NCWO0,"[0, 0, 12.10344827586207, 2.1724137931034484, 3.0, 3.222222222222222]","[0, 1, 6.3, 1.75, 2.2, 1.6666666666666667]","[0, 0, 0.0, 1.1785714285714286, 1.5, 1.3333333333333335]","[0, 0, 5.60377358490566, 1.5283018867924527, 1.0588235294117647, 3.2121212121212124]","[0, 0, 2.8051948051948052, 1.0714285714285714, 6.75, 6.416666666666667]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 3.375, 1.03125, 4.333333333333333, 0.5333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 1, 6.0394736842105265, 1.4210526315789473, 2.272727272727273, 1.1014492753623188]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4020618556701026, 1.824742268041237, 2.3125, 3.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.569767441860465, 0.8023255813953488, 4.375, 1.4333333333333333]","[0, 0, 1.8409090909090908, 1.0227272727272727, 3.25, 1.2753623188405796]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1739130434782608, 0.8260869565217391, 4.333333333333333, 1.0952380952380953]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[1, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
46,2017-05-26,20170526HHNC0,"[1, 0, 7.468085106382979, 1.6595744680851063, 3.0, 3.9166666666666665]","[0, 0, 6.3, 1.75, 2.2, 1.6666666666666667]","[0, 0, 0.0, 1.1785714285714286, 1.5, 1.3333333333333335]","[0, 0, 5.60377358490566, 1.5283018867924527, 1.0588235294117647, 3.2121212121212124]","[0, 0, 2.8051948051948052, 1.0714285714285714, 6.75, 6.416666666666667]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 3.272727272727273, 1.0, 4.666666666666667, 0.5238095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 6.0394736842105265, 1.4210526315789473, 2.272727272727273, 1.1014492753623188]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4020618556701026, 1.824742268041237, 2.3125, 3.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.7802197802197803, 0.7912087912087913, 4.75, 1.4444444444444444]","[0, 0, 1.8409090909090908, 1.0227272727272727, 3.25, 1.2753623188405796]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.125, 0.7916666666666666, 4.333333333333333, 1.0909090909090908]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
47,2017-05-27,20170527HHNC0,"[0, 0, 7.468085106382979, 1.6595744680851063, 3.0, 3.9166666666666665]","[0, 1, 5.815384615384616, 1.6153846153846152, 2.4, 1.6666666666666667]","[0, 1, 0.0, 1.0588235294117647, 1.75, 1.4166666666666667]","[0, 0, 5.60377358490566, 1.5283018867924527, 1.0588235294117647, 3.2121212121212124]","[0, 0, 2.8051948051948052, 1.0714285714285714, 6.75, 6.416666666666667]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 0, 3.272727272727273, 1.0, 4.666666666666667, 0.5238095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 6.0394736842105265, 1.4210526315789473, 2.272727272727273, 1.1014492753623188]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.440366972477064, 1.8440366972477062, 2.4444444444444446, 3.6333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.7234042553191489, 0.7659574468085106, 4.875, 1.424242424242424]","[0, 1, 1.7802197802197803, 1.087912087912088, 2.8, 1.2638888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 0.7916666666666666, 4.333333333333333, 1.0909090909090908]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
48,2017-05-28,20170528HHNC0,"[0, 0, 7.468085106382979, 1.6595744680851063, 3.0, 3.9166666666666665]","[0, 0, 5.815384615384616, 1.6153846153846152, 2.4, 1.6666666666666667]","[0, 0, 0.0, 1.0588235294117647, 1.75, 1.4166666666666667]","[0, 0, 5.60377358490566, 1.5283018867924527, 1.0588235294117647, 3.2121212121212124]","[1, 0, 2.511627906976744, 1.0465116279069766, 5.0, 6.37037037037037]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 3.176470588235294, 1.0588235294117647, 5.0, 0.5151515151515151]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 1, 5.215909090909091, 1.3977272727272727, 1.7857142857142858, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.440366972477064, 1.8440366972477062, 2.4444444444444446, 3.6333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 1.5, 1.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.7234042553191489, 0.7659574468085106, 4.875, 1.424242424242424]","[0, 0, 1.7802197802197803, 1.087912087912088, 2.8, 1.2638888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 0.7916666666666666, 4.333333333333333, 1.0909090909090908]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
49,2017-05-30,20170530HTNC0,"[0, 0, 7.468085106382979, 1.6595744680851063, 3.0, 3.9166666666666665]","[0, 1, 5.5588235294117645, 1.588235294117647, 2.272727272727273, 1.619047619047619]","[0, 0, 0.0, 1.0588235294117647, 1.75, 1.4166666666666667]","[1, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.511627906976744, 1.0465116279069766, 5.0, 6.37037037037037]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 3.0857142857142854, 1.1142857142857143, 5.0, 0.5072463768115941]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.215909090909091, 1.3977272727272727, 1.7857142857142858, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.440366972477064, 1.8440366972477062, 2.4444444444444446, 3.6333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 1.5, 1.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.909090909090909, 0.8181818181818182, 4.444444444444445, 1.434782608695652]","[0, 1, 2.67032967032967, 1.2197802197802199, 2.8, 1.2133333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4400000000000002, 0.88, 4.666666666666667, 1.0869565217391304]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
50,2017-05-31,20170531HTNC0,"[0, 0, 7.468085106382979, 1.6595744680851063, 3.0, 3.9166666666666665]","[0, 0, 5.5588235294117645, 1.588235294117647, 2.272727272727273, 1.619047619047619]","[0, 1, 0.0, 1.054054054054054, 1.4, 1.3703703703703705]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.511627906976744, 1.0465116279069766, 5.0, 6.37037037037037]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 0, 3.0857142857142854, 1.1142857142857143, 5.0, 0.5072463768115941]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 1, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.440366972477064, 1.8440366972477062, 2.4444444444444446, 3.6333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.909090909090909, 0.8181818181818182, 4.444444444444445, 1.434782608695652]","[0, 0, 2.67032967032967, 1.2197802197802199, 2.8, 1.2133333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4400000000000002, 0.88, 4.666666666666667, 1.0869565217391304]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
51,2017-06-01,20170601HTNC0,"[1, 0, 6.044776119402985, 1.7014925373134329, 3.5, 4.466666666666667]","[0, 1, 5.178082191780821, 1.5616438356164384, 2.5454545454545454, 1.6222222222222222]","[0, 0, 0.0, 1.054054054054054, 1.4, 1.3703703703703705]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.511627906976744, 1.0465116279069766, 5.0, 6.37037037037037]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 2.769230769230769, 1.0769230769230769, 6.0, 0.5416666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.440366972477064, 1.8440366972477062, 2.4444444444444446, 3.6333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3365384615384617, 0.8365384615384616, 4.777777777777778, 1.4444444444444444]","[0, 1, 2.872340425531915, 1.2765957446808511, 2.5454545454545454, 1.205128205128205]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.131578947368421, 0.986842105263158, 4.666666666666667, 1.0555555555555556]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
52,2017-06-02,20170602NCLG0,"[0, 0, 6.044776119402985, 1.7014925373134329, 3.5, 4.466666666666667]","[0, 0, 5.178082191780821, 1.5616438356164384, 2.5454545454545454, 1.6222222222222222]","[0, 0, 0.0, 1.054054054054054, 1.4, 1.3703703703703705]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.511627906976744, 1.0465116279069766, 5.0, 6.37037037037037]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 0, 2.769230769230769, 1.0769230769230769, 6.0, 0.5416666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.661290322580645, 1.7661290322580645, 2.5, 3.757575757575758]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.5233644859813085, 0.869158878504673, 4.5, 1.4266666666666665]","[0, 1, 2.7551020408163267, 1.2551020408163267, 2.5454545454545454, 1.2098765432098764]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.0506329113924053, 0.9873417721518988, 4.666666666666667, 1.0533333333333332]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
53,2017-06-03,20170603NCLG0,"[0, 0, 6.044776119402985, 1.7014925373134329, 3.5, 4.466666666666667]","[0, 1, 4.554216867469879, 1.4819277108433735, 2.5833333333333335, 1.7291666666666667]","[0, 0, 0.0, 1.054054054054054, 1.4, 1.3703703703703705]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[1, 0, 2.8421052631578947, 1.0894736842105264, 4.375, 6.333333333333334]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 2.7, 1.125, 6.0, 0.5333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.661290322580645, 1.7661290322580645, 2.5, 3.757575757575758]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.5233644859813085, 0.869158878504673, 4.5, 1.4266666666666665]","[0, 0, 2.7551020408163267, 1.2551020408163267, 2.5454545454545454, 1.2098765432098764]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0506329113924053, 0.9873417721518988, 4.666666666666667, 1.0533333333333332]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
54,2017-06-04,20170604NCLG0,"[1, 0, 6.657534246575342, 1.808219178082192, 3.2857142857142856, 4.055555555555555]","[0, 0, 4.554216867469879, 1.4819277108433735, 2.5833333333333335, 1.7291666666666667]","[0, 0, 0.0, 1.054054054054054, 1.4, 1.3703703703703705]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.8421052631578947, 1.0894736842105264, 4.375, 6.333333333333334]","[0, 0, 6.557142857142857, 1.885714285714286, 1.3043478260869565, 2.9166666666666665]","[0, 1, 2.6341463414634148, 1.0975609756097562, 6.333333333333333, 0.5256410256410257]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.661290322580645, 1.7661290322580645, 2.5, 3.757575757575758]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 0.8727272727272728, 4.7, 1.4102564102564101]","[0, 1, 2.6470588235294117, 1.2352941176470589, 2.727272727272727, 1.2142857142857142]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.975609756097561, 0.9878048780487805, 4.285714285714286, 1.0512820512820513]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
55,2017-06-06,20170606LTNC0,"[0, 0, 6.657534246575342, 1.808219178082192, 3.2857142857142856, 4.055555555555555]","[0, 1, 4.295454545454545, 1.465909090909091, 2.5384615384615383, 1.7254901960784312]","[1, 0, 0.0, 0.8999999999999999, 1.3333333333333333, 1.6666666666666667]","[0, 0, 5.578512396694215, 1.487603305785124, 1.105263157894737, 3.361111111111111]","[0, 0, 2.8421052631578947, 1.0894736842105264, 4.375, 6.333333333333334]","[0, 1, 6.75, 2.013157894736842, 1.0344827586206897, 2.814814814814815]","[0, 0, 2.6341463414634148, 1.0975609756097562, 6.333333333333333, 0.5256410256410257]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.661290322580645, 1.7661290322580645, 2.5, 3.757575757575758]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3684210526315788, 0.868421052631579, 4.454545454545454, 1.4074074074074074]","[0, 0, 2.6470588235294117, 1.2352941176470589, 2.727272727272727, 1.2142857142857142]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.975609756097561, 0.9878048780487805, 4.285714285714286, 1.0512820512820513]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
56,2017-06-07,20170607LTNC0,"[0, 0, 6.657534246575342, 1.808219178082192, 3.2857142857142856, 4.055555555555555]","[0, 0, 4.295454545454545, 1.465909090909091, 2.5384615384615383, 1.7254901960784312]","[0, 0, 0.0, 0.8999999999999999, 1.3333333333333333, 1.6666666666666667]","[1, 0, 5.815384615384616, 1.546153846153846, 1.1578947368421053, 3.3333333333333335]","[0, 0, 2.8421052631578947, 1.0894736842105264, 4.375, 6.333333333333334]","[0, 0, 6.75, 2.013157894736842, 1.0344827586206897, 2.814814814814815]","[0, 1, 2.6341463414634148, 1.1707317073170733, 6.333333333333333, 0.5061728395061729]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 2, 2.6666666666666665]","[0, 0, 5.4, 1.5, 1.7333333333333334, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.661290322580645, 1.7661290322580645, 2.5, 3.757575757575758]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 0.8999999999999999, 3.0, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9642857142857142, 3.090909090909091, 6.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0258620689655173, 0.9310344827586208, 4.166666666666667, 1.380952380952381]","[0, 1, 2.724770642201835, 1.2110091743119265, 2.727272727272727, 1.252873563218391]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.975609756097561, 0.9878048780487805, 4.285714285714286, 1.0512820512820513]","[0, 0, 0.0, 3.0, 1, 0.3333333333333333]","[0, 0, 5.2682926829268295, 2.1219512195121952, 1.2222222222222223, 1.9523809523809523]","[0, 0, 0, 0, 0, 0]"
