,date,game_key,이승현,김현우,김대우,심창민,임현준,황수범,안성무,윤대경,안규현,이수민,구준범,이케빈,최충연,김승현,임대한,최지광,레나도,페트릭,장지훈,김시현,신용운,우규민,윤성환,박근홍,장원삼,김기태,백정현,장필준,정인욱,박민규,김동호,권오준
46,2017-05-26,20170526SSWO0,"[0, 0, 3.1153846153846154, 1.6153846153846154, 1.4615384615384615, 1.1555555555555554]","[0, 0, 6.75, 1.5, 6, 1.3333333333333333]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.468354430379747, 1.2531645569620253, 3.5454545454545454, 1.196969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.5, 2.0, 1.6666666666666667, 4.5]","[0, 0, 5.6103896103896105, 1.7142857142857142, 1.0952380952380953, 1.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.3604651162790697, 1.8333333333333333, 6.37037037037037]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 1, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.029411764705882, 1.3823529411764706, 5.4, 4.857142857142857]","[0, 0, 3.8076923076923075, 1.2115384615384615, 2.6, 6.5]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 7.269230769230769, 2.019230769230769, 2.8, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 0, 6.3, 1.9, 2.3333333333333335, 1.3333333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.142857142857143, 1.0, 1.1666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
47,2017-05-27,20170527SSWO0,"[0, 0, 3.1153846153846154, 1.6153846153846154, 1.4615384615384615, 1.1555555555555554]","[0, 1, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 1, 5.333333333333333, 1.2222222222222223, 3.6363636363636362, 1.173913043478261]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 12.15, 2.1, 1.7272727272727273, 4.0]","[0, 1, 5.7375, 1.7249999999999999, 1.1428571428571428, 1.2121212121212122]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.3604651162790697, 1.8333333333333333, 6.37037037037037]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.029411764705882, 1.3823529411764706, 5.4, 4.857142857142857]","[0, 0, 3.8076923076923075, 1.2115384615384615, 2.6, 6.5]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 7.269230769230769, 2.019230769230769, 2.8, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 0, 6.3, 1.9, 2.3333333333333335, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.142857142857143, 1.0, 1.1666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
48,2017-05-28,20170528SSWO0,"[0, 0, 3.1153846153846154, 1.6153846153846154, 1.4615384615384615, 1.1555555555555554]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.333333333333333, 1.2222222222222223, 3.6363636363636362, 1.173913043478261]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.15, 2.1, 1.7272727272727273, 4.0]","[0, 0, 5.7375, 1.7249999999999999, 1.1428571428571428, 1.2121212121212122]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.029411764705882, 1.3823529411764706, 5.4, 4.857142857142857]","[0, 0, 3.8076923076923075, 1.2115384615384615, 2.6, 6.5]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 8.844827586206897, 2.1724137931034484, 2.2857142857142856, 3.8666666666666663]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 1, 6.328125, 1.875, 2.3333333333333335, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.142857142857143, 1.0, 1.1666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
49,2017-05-30,20170530LTSS0,"[0, 0, 3.1153846153846154, 1.6153846153846154, 1.4615384615384615, 1.1555555555555554]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.333333333333333, 1.2222222222222223, 3.6363636363636362, 1.173913043478261]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.15, 2.1, 1.7272727272727273, 4.0]","[0, 1, 6.180722891566265, 1.8433734939759034, 1.0434782608695652, 1.2028985507246377]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.029411764705882, 1.3823529411764706, 5.4, 4.857142857142857]","[1, 0, 3.786585365853659, 1.2621951219512195, 2.625, 6.0740740740740735]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 8.274193548387096, 2.225806451612903, 2.5, 3.4444444444444446]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 0, 6.328125, 1.875, 2.3333333333333335, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.142857142857143, 1.0, 1.1666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
50,2017-05-31,20170531LTSS0,"[0, 1, 4.673076923076923, 1.7884615384615385, 1.3571428571428572, 1.0833333333333333]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 1, 5.785714285714286, 1.2857142857142858, 3.8181818181818183, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.15, 2.1, 1.7272727272727273, 4.0]","[0, 0, 6.180722891566265, 1.8433734939759034, 1.0434782608695652, 1.2028985507246377]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[1, 0, 5.4, 1.2, 1.0, 5.0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.029411764705882, 1.3823529411764706, 5.4, 4.857142857142857]","[0, 0, 3.786585365853659, 1.2621951219512195, 2.625, 6.0740740740740735]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 7.772727272727273, 2.090909090909091, 2.625, 3.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 0, 6.328125, 1.875, 2.3333333333333335, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.142857142857143, 1.0, 1.1666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
51,2017-06-01,20170601LTSS0,"[0, 0, 4.673076923076923, 1.7884615384615385, 1.3571428571428572, 1.0833333333333333]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.785714285714286, 1.2857142857142858, 3.8181818181818183, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.44, 2.04, 1.6428571428571428, 4.166666666666667]","[0, 0, 6.180722891566265, 1.8433734939759034, 1.0434782608695652, 1.2028985507246377]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 5.4, 1.2, 1.0, 5.0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.251968503937007, 1.2283464566929134, 5.428571428571429, 5.291666666666667]","[0, 0, 3.786585365853659, 1.2621951219512195, 2.625, 6.0740740740740735]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 7.772727272727273, 2.090909090909091, 2.625, 3.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.304878048780488, 1.2439024390243902, 2.5454545454545454, 1.6078431372549018]","[0, 0, 6.328125, 1.875, 2.3333333333333335, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.9411764705882355, 2.6470588235294117, 0.2, 1.888888888888889]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
52,2017-06-02,20170602HTSS0,"[0, 0, 4.673076923076923, 1.7884615384615385, 1.3571428571428572, 1.0833333333333333]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.785714285714286, 1.2857142857142858, 3.8181818181818183, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.038461538461538, 1.9615384615384615, 1.6428571428571428, 3.7142857142857144]","[0, 0, 6.180722891566265, 1.8433734939759034, 1.0434782608695652, 1.2028985507246377]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 2.0, 2.2]","[0, 0, 5.4, 1.2, 1.0, 5.0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.2283464566929134, 5.428571428571429, 5.291666666666667]","[0, 0, 3.786585365853659, 1.2621951219512195, 2.625, 6.0740740740740735]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 7.772727272727273, 2.090909090909091, 2.625, 3.142857142857143]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 1, 5.869565217391304, 1.826086956521739, 2.5555555555555554, 1.3529411764705883]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9411764705882355, 2.6470588235294117, 0.2, 1.888888888888889]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
53,2017-06-03,20170603HTSS0,"[0, 1, 4.821428571428571, 1.7678571428571428, 1.3333333333333333, 1.0980392156862746]","[0, 0, 6.75, 1.5, 8, 1.3333333333333335]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.785714285714286, 1.2857142857142858, 3.8181818181818183, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.038461538461538, 1.9615384615384615, 1.6428571428571428, 3.7142857142857144]","[0, 1, 6.035294117647059, 1.8705882352941177, 1.0, 1.1805555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[0, 0, 5.4, 1.2, 1.0, 5.0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.2283464566929134, 5.428571428571429, 5.291666666666667]","[0, 0, 3.786585365853659, 1.2621951219512195, 2.625, 6.0740740740740735]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 8.217391304347826, 2.130434782608696, 2.4444444444444446, 2.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 0, 5.869565217391304, 1.826086956521739, 2.5555555555555554, 1.3529411764705883]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9411764705882355, 2.6470588235294117, 0.2, 1.888888888888889]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
54,2017-06-04,20170604HTSS0,"[0, 1, 4.576271186440678, 1.7796610169491525, 1.1764705882352942, 1.0925925925925926]","[0, 1, 7.043478260869565, 1.5652173913043477, 8.0, 1.277777777777778]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.785714285714286, 1.2857142857142858, 3.8181818181818183, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.038461538461538, 1.9615384615384615, 1.6428571428571428, 3.7142857142857144]","[0, 0, 6.035294117647059, 1.8705882352941177, 1.0, 1.1805555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[0, 0, 5.4, 1.2, 1.0, 5.0]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.2283464566929134, 5.428571428571429, 5.291666666666667]","[1, 0, 3.502702702702703, 1.2162162162162162, 2.875, 6.166666666666666]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 8.217391304347826, 2.130434782608696, 2.4444444444444446, 2.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 0, 5.869565217391304, 1.826086956521739, 2.5555555555555554, 1.3529411764705883]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 2.55, 0.16666666666666666, 1.6666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
55,2017-06-06,20170606SSOB0,"[0, 0, 4.576271186440678, 1.7796610169491525, 1.1764705882352942, 1.0925925925925926]","[0, 0, 7.043478260869565, 1.5652173913043477, 8.0, 1.277777777777778]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 1, 5.522727272727273, 1.2613636363636365, 3.909090909090909, 1.1733333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.038461538461538, 1.9615384615384615, 1.6428571428571428, 3.7142857142857144]","[0, 1, 6.3, 1.9666666666666666, 0.96, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[1, 0, 3.4838709677419355, 1.5483870967741935, 0.5555555555555556, 5.166666666666667]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.2283464566929134, 5.428571428571429, 5.291666666666667]","[0, 0, 3.502702702702703, 1.2162162162162162, 2.875, 6.166666666666666]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 7.0875, 1.9124999999999999, 2.5, 2.9629629629629632]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 1, 5.625, 1.75, 2.6666666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 2.55, 0.16666666666666666, 1.6666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
56,2017-06-07,20170607SSOB0,"[0, 0, 4.576271186440678, 1.7796610169491525, 1.1764705882352942, 1.0925925925925926]","[0, 0, 7.043478260869565, 1.5652173913043477, 8.0, 1.277777777777778]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 5.522727272727273, 1.2613636363636365, 3.909090909090909, 1.1733333333333333]","[0, 1, 0.0, 4.5, 0.3333333333333333, 0.6666666666666666]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.797752808988765, 1.7865168539325842, 1.6666666666666667, 3.7083333333333335]","[0, 1, 6.031914893617021, 1.9148936170212767, 1.0, 1.205128205128205]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[0, 0, 3.4838709677419355, 1.5483870967741935, 0.5555555555555556, 5.166666666666667]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.013513513513514, 1.1756756756756757, 5.0, 5.481481481481482]","[0, 0, 3.502702702702703, 1.2162162162162162, 2.875, 6.166666666666666]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 7.333333333333333, 1.9259259259259258, 2.5, 2.7]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 0, 5.625, 1.75, 2.6666666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 2.55, 0.16666666666666666, 1.6666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
57,2017-06-08,20170608SSOB0,"[0, 0, 4.576271186440678, 1.7796610169491525, 1.1764705882352942, 1.0925925925925926]","[0, 0, 7.043478260869565, 1.5652173913043477, 8.0, 1.277777777777778]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 1, 6.067415730337078, 1.3146067415730336, 3.6666666666666665, 1.141025641025641]","[0, 1, 0.0, 3.0, 0.3333333333333333, 0.5]","[0, 0, 0.0, 2.0, 1, 1.0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.797752808988765, 1.7865168539325842, 1.6666666666666667, 3.7083333333333335]","[0, 0, 6.031914893617021, 1.9148936170212767, 1.0, 1.205128205128205]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[0, 0, 3.4838709677419355, 1.5483870967741935, 0.5555555555555556, 5.166666666666667]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.013513513513514, 1.1756756756756757, 5.0, 5.481481481481482]","[0, 0, 3.502702702702703, 1.2162162162162162, 2.875, 6.166666666666666]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 1, 6.988235294117648, 1.8705882352941177, 2.5, 2.5757575757575757]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4835164835164836, 2.230769230769231, 1.6851851851851851]","[0, 0, 5.625, 1.75, 2.6666666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 2.55, 0.16666666666666666, 1.6666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
58,2017-06-09,20170609SSHH0,"[0, 0, 4.576271186440678, 1.7796610169491525, 1.1764705882352942, 1.0925925925925926]","[0, 0, 7.043478260869565, 1.5652173913043477, 8.0, 1.277777777777778]","[0, 0, 14.062500000000002, 2.25, 0.6666666666666666, 1.4545454545454546]","[0, 0, 6.067415730337078, 1.3146067415730336, 3.6666666666666665, 1.141025641025641]","[0, 0, 0.0, 3.0, 0.3333333333333333, 0.5]","[0, 0, 0.0, 2.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.904255319148936, 1.819148936170213, 1.588235294117647, 3.4814814814814814]","[0, 0, 6.031914893617021, 1.9148936170212767, 1.0, 1.205128205128205]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.9772727272727275, 2.25, 1.0, 2.444444444444444]","[0, 0, 3.4838709677419355, 1.5483870967741935, 0.5555555555555556, 5.166666666666667]","[0, 0, 5.0163934426229515, 1.459016393442623, 1.6818181818181819, 6.1]","[0, 0, 0.0, 0.8571428571428571, 5.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 1.5, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.013513513513514, 1.1756756756756757, 5.0, 5.481481481481482]","[0, 0, 3.502702702702703, 1.2162162162162162, 2.875, 6.166666666666666]","[0, 0, 3.6, 1.4, 1.0, 0.7142857142857143]","[0, 0, 6.988235294117648, 1.8705882352941177, 2.5, 2.5757575757575757]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6346153846153846, 1.4134615384615385, 2.357142857142857, 1.8245614035087718]","[0, 1, 5.126582278481013, 1.6708860759493671, 2.5, 1.3859649122807016]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 2.55, 0.16666666666666666, 1.6666666666666667]","[0, 0, 4.090909090909091, 1.0909090909090908, 3.6, 1.2222222222222223]"
