,date,game_key,이해창,김선민,안정광,유민상,김진곤,김영환,김민혁,심우준,문상철,배병옥,마르테,김태훈,김만수,정주후,강승훈,남태혁,박기혁,김상현,박경수,이대형,유한준,신현철,모상기,박용근,김동명,김연훈,전민수,하준호,장성우,이희근,김사연,윤요섭,김종민,오정복,이진영
0,2016-04-01,20160401KTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0, 0, 0, 0, 0, 0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0]"
1,2016-04-02,20160402KTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5]","[1, 5, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333]","[1, 6, 0.25, 0.4, 0.25, 0.0, 0.25, 0.0]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.6666666666666666, 0.8, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.25, 1.0, 0.0, 0.25, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2, 0.2, 0.8, 1.0, 0.2, 0.4]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.25, 0.4, 0.25, 0.0, 0.5, 0.0]"
2,2016-04-03,20160403KTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 4, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.375, 0.375, 0.375, 0.3333333333333333, 0.25, 0.25]","[0, -1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333]","[1, 5, 0.42857142857142855, 0.5555555555555556, 0.42857142857142855, 1.0, 0.14285714285714285, 0.14285714285714285]","[1, 1, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.6666666666666666, 0.8, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 0.2857142857142857, 0.375, 0.7142857142857143, 0.0, 0.14285714285714285, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5, 0.5, 1.0, 0.0, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2222222222222222, 0.2222222222222222, 0.5555555555555556, 1.0, 0.1111111111111111, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.1111111111111111, 0.2, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0]"
3,2016-04-05,20160405SSKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.25, 0.25, 0.2, 0.16666666666666666, 0.16666666666666666]","[0, -1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333]","[1, 5, 0.36363636363636365, 0.46153846153846156, 0.36363636363636365, 1.0, 0.09090909090909091, 0.09090909090909091]","[1, 2, 0.0, 0.42857142857142855, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.375, 0.5, 0.375, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.36363636363636365, 0.4166666666666667, 0.8181818181818182, 0.3333333333333333, 0.18181818181818182, 0.36363636363636365]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.5, 0.1111111111111111, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.16666666666666666, 0.23076923076923078, 0.4166666666666667, 1.0, 0.16666666666666666, 0.25]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.25, 0.4, 0.5, 0.25, 0.25, 0.25]"
4,2016-04-06,20160406SSKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.125, 0.125, 0.125, 0.0, 0.125, 0.0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.25, 0.3125, 0.14285714285714285, 0.1875, 0.125]","[0, -1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333]","[1, 5, 0.3333333333333333, 0.4444444444444444, 0.3333333333333333, 0.6666666666666666, 0.13333333333333333, 0.13333333333333333]","[1, 2, 0.1, 0.5263157894736842, 0.1, 0.5, 0.1, 0.1]","[1, 4, 0.45454545454545453, 0.5333333333333333, 0.7272727272727273, 0.0, 0.2727272727272727, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 6, 0.35714285714285715, 0.375, 0.7857142857142857, 0.4, 0.14285714285714285, 0.42857142857142855]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.5, 0.5, 0.5714285714285714, 0.5, 0.14285714285714285, 0.21428571428571427]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2, 0.3333333333333333, 0.4666666666666667, 0.6666666666666666, 0.2, 0.2]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.1875, 0.35, 0.375, 0.14285714285714285, 0.25, 0.1875]"
5,2016-04-07,20160407SSKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]","[0, 5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, -1, 0.125, 0.125, 0.125, 0.0, 0.125, 0.0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2777777777777778, 0.2777777777777778, 0.3888888888888889, 0.25, 0.16666666666666666, 0.16666666666666666]","[1, 5, 0.125, 0.2, 0.125, 0.0, 0.125, 0.125]","[1, 6, 0.3333333333333333, 0.45454545454545453, 0.5, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[1, 1, 0.07142857142857142, 0.43478260869565216, 0.07142857142857142, 0.5, 0.07142857142857142, 0.07142857142857142]","[1, 3, 0.38461538461538464, 0.5, 0.6153846153846154, 0.0, 0.3076923076923077, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.2777777777777778, 0.3, 0.6111111111111112, 0.4, 0.1111111111111111, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42857142857142855, 0.10526315789473684, 0.15789473684210525]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.23529411764705882, 0.35, 0.47058823529411764, 0.6666666666666666, 0.23529411764705882, 0.17647058823529413]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.2, 0.3333333333333333, 0.5, 0.14285714285714285, 0.25, 0.2]"
6,2016-04-08,20160408HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]","[0, 8, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, 4, 0.25, 0.25, 0.5833333333333334, 0.3333333333333333, 0.25, 0.25]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.23809523809523808, 0.2727272727272727, 0.3333333333333333, 0.25, 0.14285714285714285, 0.14285714285714285]","[1, 5, 0.16666666666666666, 0.21428571428571427, 0.16666666666666666, 0.0, 0.08333333333333333, 0.08333333333333333]","[1, 1, 0.3333333333333333, 0.46153846153846156, 0.5238095238095238, 0.6666666666666666, 0.19047619047619047, 0.14285714285714285]","[0, -1, 0.07142857142857142, 0.43478260869565216, 0.07142857142857142, 0.5, 0.07142857142857142, 0.07142857142857142]","[1, 3, 0.35294117647058826, 0.45454545454545453, 0.5294117647058824, 0.0, 0.23529411764705882, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 6, 0.2857142857142857, 0.30434782608695654, 0.5714285714285714, 0.5, 0.09523809523809523, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.35, 0.35, 0.4, 0.375, 0.1, 0.15]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.21052631578947367, 0.3181818181818182, 0.42105263157894735, 0.5, 0.21052631578947367, 0.15789473684210525]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2, 0.36, 0.5, 0.14285714285714285, 0.25, 0.2]"
7,2016-04-09,20160409HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.25, 0.0, 0.0, 0.6666666666666666, 0.0]","[0, 4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, -1, 0.25, 0.25, 0.5833333333333334, 0.3333333333333333, 0.25, 0.25]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.25, 0.4, 0.25, 0.5, 0.0, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.2727272727272727, 0.30434782608695654, 0.4090909090909091, 0.25, 0.13636363636363635, 0.13636363636363635]","[1, 6, 0.2, 0.23529411764705882, 0.2, 0.0, 0.06666666666666667, 0.06666666666666667]","[1, 5, 0.28, 0.4, 0.44, 0.3333333333333333, 0.16, 0.12]","[0, 8, 0.058823529411764705, 0.38461538461538464, 0.058823529411764705, 0.5, 0.058823529411764705, 0.058823529411764705]","[1, 3, 0.3333333333333333, 0.4230769230769231, 0.5238095238095238, 0.0, 0.23809523809523808, 0.09523809523809523]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.28, 0.2962962962962963, 0.52, 0.5714285714285714, 0.08, 0.32]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.30434782608695654, 0.30434782608695654, 0.34782608695652173, 0.3, 0.13043478260869565, 0.13043478260869565]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.19047619047619047, 0.32, 0.38095238095238093, 0.5, 0.19047619047619047, 0.14285714285714285]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.25, 0.3793103448275862, 0.5, 0.1111111111111111, 0.25, 0.16666666666666666]"
8,2016-04-10,20160410HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.2, 0.0, 0.0, 0.5, 0.0]","[0, 6, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, -1, 0.25, 0.25, 0.5833333333333334, 0.3333333333333333, 0.25, 0.25]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[1, 3, 0.25, 0.35714285714285715, 0.25, 0.6666666666666666, 0.0, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2727272727272727, 0.30434782608695654, 0.4090909090909091, 0.25, 0.13636363636363635, 0.13636363636363635]","[1, 6, 0.2222222222222222, 0.2857142857142857, 0.2222222222222222, 0.25, 0.05555555555555555, 0.05555555555555555]","[1, 5, 0.3103448275862069, 0.4117647058823529, 0.4827586206896552, 0.3333333333333333, 0.1724137931034483, 0.10344827586206896]","[1, 9, 0.05555555555555555, 0.37037037037037035, 0.05555555555555555, 0.5, 0.05555555555555555, 0.05555555555555555]","[1, 4, 0.36, 0.43333333333333335, 0.52, 0.25, 0.2, 0.12]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.27586206896551724, 0.2903225806451613, 0.4827586206896552, 0.5555555555555556, 0.06896551724137931, 0.3103448275862069]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.34615384615384615, 0.37037037037037035, 0.4230769230769231, 0.3, 0.15384615384615385, 0.11538461538461539]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.16666666666666666, 0.2857142857142857, 0.3333333333333333, 0.4, 0.16666666666666666, 0.125]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.25, 0.36363636363636365, 0.4642857142857143, 0.09090909090909091, 0.21428571428571427, 0.14285714285714285]"
9,2016-04-12,20160412KTWO0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.2, 0.0, 0.0, 0.5, 0.0]","[0, 9, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[1, 7, 0.25, 0.25, 0.5833333333333334, 0.3333333333333333, 0.25, 0.25]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[1, 3, 0.29411764705882354, 0.3684210526315789, 0.35294117647058826, 0.6, 0.0, 0.29411764705882354]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.2692307692307692, 0.2962962962962963, 0.38461538461538464, 0.25, 0.11538461538461539, 0.11538461538461539]","[1, 5, 0.3, 0.4230769230769231, 0.6, 0.25, 0.2, 0.25]","[1, 6, 0.34375, 0.46153846153846156, 0.53125, 0.3333333333333333, 0.25, 0.09375]","[1, 1, 0.13636363636363635, 0.3870967741935484, 0.18181818181818182, 0.6666666666666666, 0.09090909090909091, 0.13636363636363635]","[1, 4, 0.3333333333333333, 0.4, 0.4666666666666667, 0.14285714285714285, 0.2, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 3, 0.23529411764705882, 0.25, 0.4117647058823529, 0.4166666666666667, 0.058823529411764705, 0.2647058823529412]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2903225806451613, 0.3125, 0.3548387096774194, 0.23076923076923078, 0.12903225806451613, 0.0967741935483871]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.17857142857142858, 0.30303030303030304, 0.32142857142857145, 0.2857142857142857, 0.17857142857142858, 0.14285714285714285]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.25, 0.3684210526315789, 0.4375, 0.07692307692307693, 0.1875, 0.125]"
