,date,game_key,이재학,이태양,이민호,이형범,최금강,손정욱,해커,장현식,임정호,강장산,김학성,배재환,윤수호,스튜어트,구창모,류진욱,이훈,최성영,박준영,김준현,김한별,정수민,최상인,임서준,김선규,김진성,원종현,박민석,고창성,임창민,민성기,박상혁
0,2016-04-01,20160401HTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,2016-04-02,20160402HTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,2016-04-05,20160405NCOB0,"[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 0.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,2016-04-06,20160406NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 2, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,2016-04-07,20160407NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6, 3, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.8571428571428571, 0.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 3, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,2016-04-08,20160408HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 3, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.4, 2.0, 0.6666666666666666, 5.0]","[0, 0, 0.0, 0.6, 3, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.8999999999999999, 1.5, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 4, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,2016-04-09,20160409HHNC0,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.75, 3, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 3, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.0, 0.6666666666666666, 5.0]","[0, 0, 0.0, 0.6, 3, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.8999999999999999, 1.5, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 0.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 4, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,2016-04-10,20160410HHNC0,"[0, 0, 0, 0, 0, 0]","[1, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.125, 1.5, 3.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 3, 0.4444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.0, 0.6666666666666666, 5.0]","[0, 1, 3.375, 1.5, 4.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6666666666666666, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6923076923076924, 1.5, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 0.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 4, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,2016-04-12,20160412NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[1, 0, 3.176470588235294, 0.8823529411764706, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.4117647058823528, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 3, 0.4444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.0, 0.6666666666666666, 5.0]","[0, 0, 3.375, 1.5, 4.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6923076923076924, 1.5, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5454545454545455, 1.0, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 4, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,2016-04-13,20160413NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 3.176470588235294, 0.8823529411764706, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8571428571428568, 1.3714285714285714, 5.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 5, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.0, 0.6666666666666666, 5.0]","[0, 0, 3.375, 1.5, 4.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6923076923076924, 1.5, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5454545454545455, 1.0, 1.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 7.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,2016-04-14,20160414NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 3.176470588235294, 0.8823529411764706, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3714285714285714, 5.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 7, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.75, 1.5, 1.1428571428571428, 6.0]","[0, 1, 3.0, 1.3333333333333333, 5.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.375, 6.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.5, 1.0, 2.0, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5714285714285714, 3.0, 1.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 7.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
11,2016-04-15,20160415LTNC0,"[1, 0, 1.125, 1.125, 3.5, 8.0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 3.176470588235294, 0.8823529411764706, 5.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3714285714285714, 5.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 7, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.1428571428571428, 6.0]","[0, 0, 3.0, 1.3333333333333333, 5.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.375, 6.0, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.263157894736842, 1.2631578947368423, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5714285714285714, 3.0, 1.75]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6666666666666666, 7.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,2016-04-17,20160417LTNC0,"[0, 0, 1.125, 1.125, 3.5, 8.0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[1, 0, 9.391304347826086, 1.9565217391304348, 2.6666666666666665, 3.8333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3714285714285714, 5.5, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5454545454545455, 7, 0.611111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.1428571428571428, 6.0]","[0, 1, 2.4545454545454546, 1.090909090909091, 6.0, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.4736842105263158, 4.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.263157894736842, 1.2631578947368423, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6521739130434783, 2.0, 1.5333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 7.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,2016-04-19,20160419NCLG0,"[0, 0, 1.125, 1.125, 3.5, 8.0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 9.391304347826086, 1.9565217391304348, 2.6666666666666665, 3.8333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.31578947368421, 1.2105263157894737, 3.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5454545454545455, 7, 0.611111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.1428571428571428, 6.0]","[0, 1, 4.153846153846154, 1.3846153846153848, 6.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.4736842105263158, 4.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.0, 2.6666666666666665, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6521739130434783, 2.0, 1.5333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 7.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,2016-04-20,20160420NCLG0,"[0, 0, 1.125, 1.125, 3.5, 8.0]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 9.391304347826086, 1.9565217391304348, 2.6666666666666665, 3.8333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.31578947368421, 1.2105263157894737, 3.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.0, 7, 0.5714285714285714]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.0, 1.4444444444444444, 1.375, 6.0]","[0, 0, 4.153846153846154, 1.3846153846153848, 6.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.4736842105263158, 4.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.0, 2.6666666666666665, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.7777777777777778, 2.25, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 7.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,2016-04-21,20160421NCLG0,"[1, 0, 0.675, 1.05, 4.666666666666667, 6.666666666666667]","[0, 0, 23.142857142857142, 3.4285714285714284, 0.0, 2.3333333333333335]","[0, 0, 9.391304347826086, 1.9565217391304348, 2.6666666666666665, 3.8333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.31578947368421, 1.2105263157894737, 3.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 0.9230769230769231, 8, 0.5416666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.4444444444444444, 1.375, 6.0]","[0, 0, 4.153846153846154, 1.3846153846153848, 6.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 0.75, 4.0, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.892857142857143, 0.8571428571428571, 2.6666666666666665, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.7777777777777778, 2.25, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 9.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,2016-04-22,20160422NCSK0,"[0, 0, 0.675, 1.05, 4.666666666666667, 6.666666666666667]","[1, 0, 11.117647058823529, 2.4705882352941173, 0.42857142857142855, 2.8333333333333335]","[0, 0, 9.391304347826086, 1.9565217391304348, 2.6666666666666665, 3.8333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.31578947368421, 1.2105263157894737, 3.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.153846153846154, 0.9230769230769231, 8, 0.5416666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.4444444444444444, 1.375, 6.0]","[0, 1, 3.375, 1.125, 7.0, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.16, 0.72, 5.5, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6129032258064515, 0.8709677419354839, 2.5, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.9310344827586207, 0.8275862068965518, 2.5, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 9.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,2016-04-23,20160423NCSK0,"[0, 0, 0.675, 1.05, 4.666666666666667, 6.666666666666667]","[0, 0, 11.117647058823529, 2.4705882352941173, 0.42857142857142855, 2.8333333333333335]","[1, 0, 6.394736842105263, 1.8157894736842106, 2.0, 4.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 1.5, 3.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.31578947368421, 1.2105263157894737, 3.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.153846153846154, 0.9230769230769231, 8, 0.5416666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.4444444444444444, 1.375, 6.0]","[0, 0, 3.375, 1.125, 7.0, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 0.72, 5.5, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6129032258064515, 0.8709677419354839, 2.5, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9310344827586207, 0.8275862068965518, 2.5, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 9.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
