,date,game_key,알테어,박시원,이상호,이원재,윤수강,박민우,강진성,노진혁,김성욱,나성범,유영준,김준완,권희동,김태진,최승민,김찬형,박준영,오영수,김형준,최정원,서호철,지석훈,박석민,양의지,정범모,이명기,김태군,모창민
10,2020-05-17,20200517NCSK0,"[1, 2, 0.1724137931034483, 0.2727272727272727, 0.27586206896551724, 0.2857142857142857, 0.06896551724137931, 0.06896551724137931]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]","[0, 2, 0.125, 0.2631578947368421, 0.1875, 0.14285714285714285, 0.0625, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.425, 0.4772727272727273, 0.575, 0.6363636363636364, 0.175, 0.2]","[1, 6, 0.5, 0.5333333333333333, 1.0833333333333333, 0.6666666666666666, 0.25, 0.4166666666666667]","[1, 7, 0.3142857142857143, 0.4146341463414634, 0.5142857142857142, 0.3333333333333333, 0.14285714285714285, 0.22857142857142856]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.23684210526315788, 0.3695652173913043, 0.47368421052631576, 0.2857142857142857, 0.21052631578947367, 0.15789473684210525]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.2222222222222222, 0.3, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111]","[1, 8, 0.2857142857142857, 0.375, 0.47619047619047616, 0.375, 0.19047619047619047, 0.19047619047619047]","[0, 5, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.0, 0.15384615384615385, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2857142857142857, 0.4166666666666667, 0.6428571428571429, 0.2, 0.17857142857142858, 0.17857142857142858]","[1, 4, 0.3125, 0.34285714285714286, 0.46875, 0.3, 0.125, 0.21875]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.22857142857142856, 0.2894736842105263, 0.34285714285714286, 0.25, 0.14285714285714285, 0.08571428571428572]","[0, 4, 0.375, 0.5454545454545454, 0.625, 0.6666666666666666, 0.25, 0.375]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
11,2020-05-19,20200519NCOB0,"[1, 2, 0.20588235294117646, 0.2894736842105263, 0.4117647058823529, 0.2222222222222222, 0.08823529411764706, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.0]","[0, -1, 0.125, 0.2631578947368421, 0.1875, 0.14285714285714285, 0.0625, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.4318181818181818, 0.4791666666666667, 0.6363636363636364, 0.5833333333333334, 0.20454545454545456, 0.20454545454545456]","[1, 7, 0.4666666666666667, 0.5, 1.1333333333333333, 0.6, 0.26666666666666666, 0.6]","[1, 6, 0.2972972972972973, 0.3953488372093023, 0.4864864864864865, 0.3076923076923077, 0.13513513513513514, 0.21621621621621623]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2682926829268293, 0.4117647058823529, 0.5609756097560976, 0.25, 0.2682926829268293, 0.17073170731707318]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.25, 0.15384615384615385, 0.07692307692307693]","[1, 9, 0.375, 0.4642857142857143, 0.5833333333333334, 0.4444444444444444, 0.20833333333333334, 0.20833333333333334]","[0, -1, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.0, 0.15384615384615385, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.2, 0.2, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.3, 0.4358974358974359, 0.6333333333333333, 0.2, 0.2, 0.16666666666666666]","[1, 4, 0.29411764705882354, 0.375, 0.4411764705882353, 0.3, 0.14705882352941177, 0.23529411764705882]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.2222222222222222, 0.28205128205128205, 0.3333333333333333, 0.25, 0.1388888888888889, 0.08333333333333333]","[0, -1, 0.375, 0.5454545454545454, 0.625, 0.6666666666666666, 0.25, 0.375]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
12,2020-05-20,20200520NCOB0,"[1, 2, 0.2, 0.2727272727272727, 0.375, 0.16666666666666666, 0.075, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.375, 0.0]","[0, -1, 0.125, 0.2631578947368421, 0.1875, 0.14285714285714285, 0.0625, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.4166666666666667, 0.4909090909090909, 0.625, 0.5, 0.22916666666666666, 0.1875]","[1, 7, 0.5, 0.5416666666666666, 1.0555555555555556, 0.5, 0.2222222222222222, 0.5]","[1, 6, 0.30952380952380953, 0.3958333333333333, 0.47619047619047616, 0.2857142857142857, 0.11904761904761904, 0.19047619047619047]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2826086956521739, 0.4107142857142857, 0.5434782608695652, 0.2727272727272727, 0.2608695652173913, 0.17391304347826086]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.25, 0.15384615384615385, 0.07692307692307693]","[1, 8, 0.3448275862068966, 0.42424242424242425, 0.5172413793103449, 0.35714285714285715, 0.1724137931034483, 0.20689655172413793]","[0, 5, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.25, 0.25, 0.375, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2727272727272727, 0.4090909090909091, 0.5757575757575758, 0.16666666666666666, 0.18181818181818182, 0.18181818181818182]","[1, 4, 0.2972972972972973, 0.4, 0.43243243243243246, 0.36363636363636365, 0.16216216216216217, 0.24324324324324326]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.3023255813953488, 0.35, 0.3, 0.125, 0.1]","[0, 5, 0.375, 0.5454545454545454, 0.625, 0.6666666666666666, 0.25, 0.375]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
13,2020-05-21,20200521NCOB0,"[1, 8, 0.18181818181818182, 0.2653061224489796, 0.3409090909090909, 0.15384615384615385, 0.06818181818181818, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, 9, 0.11764705882352941, 0.25, 0.17647058823529413, 0.14285714285714285, 0.058823529411764705, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.38461538461538464, 0.47540983606557374, 0.5769230769230769, 0.5, 0.21153846153846154, 0.17307692307692307]","[1, 7, 0.47619047619047616, 0.5185185185185185, 0.9523809523809523, 0.5, 0.19047619047619047, 0.42857142857142855]","[1, 6, 0.2826086956521739, 0.36538461538461536, 0.43478260869565216, 0.26666666666666666, 0.10869565217391304, 0.17391304347826086]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2549019607843137, 0.3770491803278688, 0.49019607843137253, 0.25, 0.23529411764705882, 0.1568627450980392]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.25, 0.15384615384615385, 0.07692307692307693]","[1, 5, 0.3125, 0.3888888888888889, 0.46875, 0.35714285714285715, 0.15625, 0.1875]","[1, 9, 0.3125, 0.3125, 0.3125, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.25, 0.25, 0.375, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.2571428571428571, 0.391304347826087, 0.5428571428571428, 0.14285714285714285, 0.17142857142857143, 0.17142857142857143]","[1, 4, 0.3170731707317073, 0.40816326530612246, 0.5365853658536586, 0.3333333333333333, 0.17073170731707318, 0.24390243902439024]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.25, 0.2978723404255319, 0.3409090909090909, 0.2727272727272727, 0.11363636363636363, 0.09090909090909091]","[0, 4, 0.375, 0.5454545454545454, 0.625, 0.6666666666666666, 0.25, 0.375]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
14,2020-05-22,20200522HHNC0,"[1, 7, 0.22916666666666666, 0.3148148148148148, 0.4583333333333333, 0.21428571428571427, 0.10416666666666667, 0.14583333333333334]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0.11764705882352941, 0.25, 0.17647058823529413, 0.14285714285714285, 0.058823529411764705, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.39655172413793105, 0.47761194029850745, 0.5689655172413793, 0.4666666666666667, 0.20689655172413793, 0.15517241379310345]","[1, 6, 0.46153846153846156, 0.5, 0.8846153846153846, 0.5, 0.15384615384615385, 0.4230769230769231]","[1, 5, 0.3, 0.38596491228070173, 0.46, 0.3125, 0.14, 0.2]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2631578947368421, 0.373134328358209, 0.47368421052631576, 0.2857142857142857, 0.22807017543859648, 0.15789473684210525]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.21428571428571427, 0.3125, 0.42857142857142855, 0.25, 0.2857142857142857, 0.21428571428571427]","[0, -1, 0.3125, 0.3888888888888889, 0.46875, 0.35714285714285715, 0.15625, 0.1875]","[0, -1, 0.3125, 0.3125, 0.3125, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.375, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.2777777777777778, 0.40425531914893614, 0.5555555555555556, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666]","[0, 8, 0.3111111111111111, 0.4074074074074074, 0.5111111111111111, 0.3076923076923077, 0.17777777777777778, 0.2222222222222222]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2708333333333333, 0.3137254901960784, 0.3541666666666667, 0.2727272727272727, 0.10416666666666667, 0.08333333333333333]","[1, 8, 0.375, 0.5454545454545454, 0.625, 0.6666666666666666, 0.25, 0.375]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
15,2020-05-23,20200523HHNC0,"[1, 8, 0.22, 0.3157894736842105, 0.44, 0.2, 0.1, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0]","[0, -1, 0.11764705882352941, 0.25, 0.17647058823529413, 0.14285714285714285, 0.058823529411764705, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3709677419354839, 0.4507042253521127, 0.532258064516129, 0.4375, 0.1935483870967742, 0.14516129032258066]","[1, 7, 0.4666666666666667, 0.5, 0.8333333333333334, 0.5555555555555556, 0.13333333333333333, 0.4]","[1, 6, 0.3148148148148148, 0.39344262295081966, 0.46296296296296297, 0.3125, 0.14814814814814814, 0.18518518518518517]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2459016393442623, 0.352112676056338, 0.4426229508196721, 0.2857142857142857, 0.21311475409836064, 0.14754098360655737]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.1875, 0.3157894736842105, 0.375, 0.2, 0.25, 0.1875]","[1, 9, 0.3055555555555556, 0.3902439024390244, 0.4444444444444444, 0.3333333333333333, 0.16666666666666666, 0.19444444444444445]","[0, 9, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.1, 0.09523809523809523, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.25, 0.25, 0.375, 0.3333333333333333, 0.375, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.28205128205128205, 0.4117647058823529, 0.6153846153846154, 0.14285714285714285, 0.20512820512820512, 0.1794871794871795]","[1, 4, 0.30434782608695654, 0.4, 0.5, 0.3076923076923077, 0.17391304347826086, 0.21739130434782608]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2692307692307692, 0.3090909090909091, 0.34615384615384615, 0.2727272727272727, 0.09615384615384616, 0.07692307692307693]","[0, 4, 0.3333333333333333, 0.46153846153846156, 0.5555555555555556, 0.5, 0.2222222222222222, 0.4444444444444444]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
16,2020-05-24,20200524HHNC0,"[0, 7, 0.2037037037037037, 0.29508196721311475, 0.4074074074074074, 0.17647058823529413, 0.09259259259259259, 0.12962962962962962]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0]","[1, 7, 0.11764705882352941, 0.25, 0.17647058823529413, 0.14285714285714285, 0.058823529411764705, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3787878787878788, 0.4533333333333333, 0.5303030303030303, 0.47058823529411764, 0.19696969696969696, 0.13636363636363635]","[1, 5, 0.48484848484848486, 0.525, 0.8484848484848485, 0.6, 0.15151515151515152, 0.3939393939393939]","[1, 6, 0.2982456140350877, 0.38461538461538464, 0.43859649122807015, 0.29411764705882354, 0.14035087719298245, 0.17543859649122806]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.27692307692307694, 0.37333333333333335, 0.46153846153846156, 0.3333333333333333, 0.2, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.1875, 0.3157894736842105, 0.375, 0.2, 0.25, 0.1875]","[0, 9, 0.2972972972972973, 0.3953488372093023, 0.43243243243243246, 0.3125, 0.16216216216216217, 0.1891891891891892]","[1, 9, 0.30434782608695654, 0.30434782608695654, 0.30434782608695654, 0.16666666666666666, 0.08695652173913043, 0.08695652173913043]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.25, 0.25, 0.375, 0.3333333333333333, 0.5, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.27906976744186046, 0.4, 0.5813953488372093, 0.1111111111111111, 0.18604651162790697, 0.16279069767441862]","[0, -1, 0.30434782608695654, 0.4, 0.5, 0.3076923076923077, 0.17391304347826086, 0.21739130434782608]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2545454545454545, 0.29310344827586204, 0.32727272727272727, 0.2727272727272727, 0.09090909090909091, 0.07272727272727272]","[1, 8, 0.3333333333333333, 0.46153846153846156, 0.5555555555555556, 0.5, 0.2222222222222222, 0.4444444444444444]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
17,2020-05-26,20200526WONC0,"[1, 7, 0.21818181818181817, 0.3064516129032258, 0.41818181818181815, 0.17647058823529413, 0.10909090909090909, 0.12727272727272726]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0]","[0, -1, 0.11764705882352941, 0.25, 0.17647058823529413, 0.14285714285714285, 0.058823529411764705, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.38235294117647056, 0.46835443037974683, 0.5294117647058824, 0.4444444444444444, 0.20588235294117646, 0.1323529411764706]","[1, 4, 0.5, 0.5333333333333333, 0.8947368421052632, 0.5833333333333334, 0.15789473684210525, 0.39473684210526316]","[0, 5, 0.27419354838709675, 0.35714285714285715, 0.4032258064516129, 0.2631578947368421, 0.12903225806451613, 0.16129032258064516]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.2898550724637681, 0.3875, 0.4782608695652174, 0.4117647058823529, 0.2028985507246377, 0.18840579710144928]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.17647058823529413, 0.3, 0.35294117647058826, 0.2, 0.23529411764705882, 0.17647058823529413]","[1, 6, 0.3157894736842105, 0.4090909090909091, 0.47368421052631576, 0.35294117647058826, 0.18421052631578946, 0.23684210526315788]","[0, 5, 0.28, 0.3076923076923077, 0.28, 0.15384615384615385, 0.08, 0.08]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.25, 0.25, 0.375, 0.3333333333333333, 0.5, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2708333333333333, 0.38333333333333336, 0.5416666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0, -1, 0.30434782608695654, 0.4, 0.5, 0.3076923076923077, 0.17391304347826086, 0.21739130434782608]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2711864406779661, 0.30158730158730157, 0.3389830508474576, 0.2857142857142857, 0.11864406779661017, 0.1016949152542373]","[1, 9, 0.25, 0.4117647058823529, 0.4166666666666667, 0.4, 0.3333333333333333, 0.3333333333333333]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
18,2020-05-27,20200527WONC0,"[1, 8, 0.2413793103448276, 0.3333333333333333, 0.4827586206896552, 0.2631578947368421, 0.13793103448275862, 0.1896551724137931]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]","[1, 7, 0.2, 0.3333333333333333, 0.25, 0.14285714285714285, 0.1, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.36619718309859156, 0.4457831325301205, 0.5070422535211268, 0.4444444444444444, 0.19718309859154928, 0.14084507042253522]","[0, 7, 0.475, 0.5208333333333334, 0.85, 0.5384615384615384, 0.15, 0.375]","[1, 6, 0.27419354838709675, 0.35714285714285715, 0.4032258064516129, 0.2631578947368421, 0.12903225806451613, 0.16129032258064516]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.3055555555555556, 0.40476190476190477, 0.5138888888888888, 0.4117647058823529, 0.20833333333333334, 0.19444444444444445]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.17647058823529413, 0.3, 0.35294117647058826, 0.2, 0.23529411764705882, 0.17647058823529413]","[0, 3, 0.30952380952380953, 0.3958333333333333, 0.47619047619047616, 0.3333333333333333, 0.19047619047619047, 0.21428571428571427]","[0, 2, 0.28, 0.3076923076923077, 0.28, 0.15384615384615385, 0.12, 0.08]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.25, 0.25, 0.4166666666666667, 0.4, 0.4166666666666667, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2549019607843137, 0.375, 0.5098039215686274, 0.15384615384615385, 0.1568627450980392, 0.1568627450980392]","[1, 4, 0.3125, 0.41379310344827586, 0.5, 0.3076923076923077, 0.16666666666666666, 0.20833333333333334]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2698412698412698, 0.29850746268656714, 0.3333333333333333, 0.2857142857142857, 0.12698412698412698, 0.09523809523809523]","[0, 4, 0.2857142857142857, 0.42105263157894735, 0.42857142857142855, 0.4, 0.2857142857142857, 0.2857142857142857]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
19,2020-05-28,20200528WONC0,"[1, 7, 0.26229508196721313, 0.35714285714285715, 0.4918032786885246, 0.3, 0.13114754098360656, 0.19672131147540983]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]","[0, -1, 0.2, 0.3333333333333333, 0.25, 0.14285714285714285, 0.1, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.34210526315789475, 0.42045454545454547, 0.47368421052631576, 0.42105263157894735, 0.18421052631578946, 0.13157894736842105]","[1, 6, 0.47619047619047616, 0.52, 0.9047619047619048, 0.5714285714285714, 0.16666666666666666, 0.42857142857142855]","[1, 8, 0.26153846153846155, 0.35135135135135137, 0.38461538461538464, 0.23809523809523808, 0.13846153846153847, 0.15384615384615385]","[0, -1, 0.15384615384615385, 0.26666666666666666, 0.15384615384615385, 0.0, 0.3076923076923077, 0.0]","[1, 3, 0.32, 0.42045454545454547, 0.52, 0.4117647058823529, 0.21333333333333335, 0.18666666666666668]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.2, 0.3333333333333333, 0.35, 0.2, 0.2, 0.15]","[1, 9, 0.3023255813953488, 0.3877551020408163, 0.46511627906976744, 0.3333333333333333, 0.18604651162790697, 0.20930232558139536]","[0, -1, 0.28, 0.3076923076923077, 0.28, 0.15384615384615385, 0.12, 0.08]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.25, 0.25, 0.4166666666666667, 0.4, 0.4166666666666667, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2909090909090909, 0.39705882352941174, 0.5818181818181818, 0.2, 0.2, 0.18181818181818182]","[1, 4, 0.3137254901960784, 0.41935483870967744, 0.5490196078431373, 0.2857142857142857, 0.19607843137254902, 0.23529411764705882]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.29850746268656714, 0.323943661971831, 0.3582089552238806, 0.2857142857142857, 0.14925373134328357, 0.08955223880597014]","[0, -1, 0.2857142857142857, 0.42105263157894735, 0.42857142857142855, 0.4, 0.2857142857142857, 0.2857142857142857]","[0, -1, 0.2727272727272727, 0.2727272727272727, 0.6363636363636364, 0.25, 0.09090909090909091, 0.18181818181818182]"
