,date,game_key,임형원,안인산,라이트,김태경,정구범,이재학,김건태,강동연,홍성민,장현식,임정호,박진우,배재환,홍성무,구창모,최성영,김진호,김태현,소이현,김영규,신민혁,이승헌,루친스키,송명기,전사민,배민서,김진성,원종현,임창민,강윤구
10,2020-05-17,20200517NCSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 1, 6.75, 1.25, 3.0, 0.8]","[0, 1, 0.0, 0.0, 0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 0.8571428571428571, 1.0, 0.5833333333333334]","[0, 0, 1.6875, 0.5625, 3.0, 0.8888888888888888]","[0, 1, 0.0, 1.9285714285714284, 0.2, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 4.0, 0.8]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 2.25, 1.25, 0.6666666666666666, 0.8]"
11,2020-05-19,20200519NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 0, 6.75, 1.25, 3.0, 0.8]","[0, 0, 0.0, 0.0, 0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.125, 1.0, 0.5333333333333333]","[0, 1, 1.588235294117647, 0.5294117647058824, 4.0, 0.8095238095238095]","[0, 1, 0.0, 1.7647058823529411, 0.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 2.076923076923077, 1.153846153846154, 0.6666666666666666, 0.7222222222222222]"
12,2020-05-20,20200520NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 1, 5.785714285714286, 1.0714285714285714, 3.5, 0.7777777777777778]","[0, 1, 0.0, 0.42857142857142855, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 1, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 0.0, 1.7647058823529411, 0.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 5.4, 1.8, 1.0, 0.7142857142857143]"
13,2020-05-21,20200521NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.785714285714286, 1.0714285714285714, 3.5, 0.7777777777777778]","[0, 0, 0.0, 0.42857142857142855, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 1, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 5.4, 1.8, 1.0, 0.7142857142857143]"
14,2020-05-22,20200522HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 1, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 1, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 5.4, 2.0, 1.0, 0.625]"
15,2020-05-23,20200523HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 0, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4210526315789473, 0.9473684210526316, 3.5, 0.9047619047619048]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 5.4, 2.0, 1.0, 0.625]"
16,2020-05-24,20200524HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 0, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.0, 0, 2.0]","[0, 1, 2.076923076923077, 1.153846153846154, 1.5, 0.619047619047619]","[0, 1, 1.2857142857142856, 0.5714285714285714, 2.0, 0.7777777777777778]","[0, 1, 2.25, 1.625, 0.5714285714285714, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 3.5, 0.9047619047619048]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 4.263157894736842, 1.5789473684210527, 1.3333333333333333, 0.7037037037037037]"
17,2020-05-26,20200526WONC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 0, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 0, 2.0]","[0, 1, 4.153846153846154, 1.6153846153846154, 1.5, 0.5416666666666666]","[0, 1, 1.125, 0.625, 1.6666666666666667, 0.8]","[0, 0, 2.25, 1.625, 0.5714285714285714, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.4090909090909091, 0.5454545454545454, 6.25, 7.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2272727272727273, 1.090909090909091, 3.5, 0.9166666666666666]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 4.263157894736842, 1.5789473684210527, 1.3333333333333333, 0.7037037037037037]"
18,2020-05-27,20200527WONC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.959183673469388, 1.3469387755102042, 1.8333333333333333, 5.444444444444444]","[0, 1, 4.05, 1.05, 2.6666666666666665, 0.8333333333333334]","[0, 1, 2.25, 0.75, 1.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 1.3333333333333333, 0.0, 1.5]","[0, 0, 4.153846153846154, 1.6153846153846154, 1.5, 0.5416666666666666]","[0, 0, 1.125, 0.625, 1.6666666666666667, 0.8]","[0, 1, 2.16, 1.5599999999999998, 0.5714285714285714, 0.925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4090909090909091, 0.5454545454545454, 6.25, 7.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2272727272727273, 1.090909090909091, 3.5, 0.9166666666666666]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
19,2020-05-28,20200528WONC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.959183673469388, 1.3469387755102042, 1.8333333333333333, 5.444444444444444]","[0, 0, 4.05, 1.05, 2.6666666666666665, 0.8333333333333334]","[0, 0, 2.25, 0.75, 1.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.3333333333333333, 0.0, 1.5]","[0, 1, 3.8571428571428568, 1.5, 2.0, 0.5185185185185186]","[0, 1, 2.16, 1.0799999999999998, 1.0, 0.7575757575757577]","[0, 1, 2.076923076923077, 1.5, 0.7142857142857143, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4090909090909091, 0.5454545454545454, 6.25, 7.333333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0384615384615385, 0.9230769230769231, 3.5, 0.9629629629629629]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
20,2020-05-29,20200529NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.959183673469388, 1.3469387755102042, 1.8333333333333333, 5.444444444444444]","[0, 0, 4.05, 1.05, 2.6666666666666665, 0.8333333333333334]","[0, 0, 2.25, 0.75, 1.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.3333333333333333, 0.0, 1.5]","[0, 1, 3.0, 1.3333333333333333, 2.0, 0.6]","[0, 0, 2.16, 1.0799999999999998, 1.0, 0.7575757575757577]","[0, 0, 2.076923076923077, 1.5, 0.7142857142857143, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4090909090909091, 0.5454545454545454, 6.25, 7.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.486842105263158, 1.2631578947368423, 3.2857142857142856, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.9642857142857142, 0.8571428571428571, 3.5, 0.9333333333333333]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
21,2020-05-30,20200530NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.8636363636363638, 1.1363636363636365, 2.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.959183673469388, 1.3469387755102042, 1.8333333333333333, 5.444444444444444]","[0, 1, 3.6818181818181817, 0.9545454545454546, 2.6666666666666665, 0.8148148148148148]","[0, 0, 2.25, 0.75, 1.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.3333333333333333, 0.0, 1.5]","[0, 0, 3.0, 1.3333333333333333, 2.0, 0.6]","[0, 0, 2.16, 1.0799999999999998, 1.0, 0.7575757575757577]","[0, 1, 1.8620689655172413, 1.6551724137931036, 0.6666666666666666, 0.8787878787878788]","[0, 1, 6.0, 2.0, 0.0, 3.0]","[0, 0, 0.4090909090909091, 0.5454545454545454, 6.25, 7.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.486842105263158, 1.2631578947368423, 3.2857142857142856, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 0.8571428571428571, 3.5, 0.9333333333333333]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
22,2020-05-31,20200531NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8636363636363638, 1.1363636363636365, 2.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.959183673469388, 1.3469387755102042, 1.8333333333333333, 5.444444444444444]","[0, 0, 3.6818181818181817, 0.9545454545454546, 2.6666666666666665, 0.8148148148148148]","[0, 1, 4.153846153846154, 1.6153846153846154, 1.5, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.0, 2.0, 1.3333333333333333]","[0, 0, 3.0, 1.3333333333333333, 2.0, 0.6]","[0, 1, 3.0, 1.2222222222222223, 1.0, 0.75]","[0, 0, 1.8620689655172413, 1.6551724137931036, 0.6666666666666666, 0.8787878787878788]","[0, 0, 6.0, 2.0, 0.0, 3.0]","[1, 0, 0.6206896551724138, 0.6551724137931034, 4.0, 7.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.486842105263158, 1.2631578947368423, 3.2857142857142856, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 0.8571428571428571, 3.5, 0.9333333333333333]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
23,2020-06-02,20200602SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8636363636363638, 1.1363636363636365, 2.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.36764705882353, 1.3235294117647058, 2.125, 5.666666666666667]","[0, 1, 7.043478260869565, 1.3043478260869565, 1.6, 0.7666666666666667]","[0, 1, 8.4375, 2.0625, 1.5, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.25, 2.0, 1.0, 1.0]","[0, 0, 3.0, 1.3333333333333333, 2.0, 0.6]","[0, 0, 3.0, 1.2222222222222223, 1.0, 0.75]","[0, 0, 1.8620689655172413, 1.6551724137931036, 0.6666666666666666, 0.8787878787878788]","[0, 1, 8.307692307692308, 2.307692307692308, 0.0, 2.1666666666666665]","[0, 0, 0.6206896551724138, 0.6551724137931034, 4.0, 7.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.486842105263158, 1.2631578947368423, 3.2857142857142856, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9642857142857142, 0.8571428571428571, 3.5, 0.9333333333333333]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
24,2020-06-03,20200603SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8636363636363638, 1.1363636363636365, 2.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.36764705882353, 1.3235294117647058, 2.125, 5.666666666666667]","[0, 0, 7.043478260869565, 1.3043478260869565, 1.6, 0.7666666666666667]","[0, 0, 8.4375, 2.0625, 1.5, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.0, 1.0, 1.0]","[0, 1, 2.571428571428571, 1.1428571428571428, 2.0, 0.6363636363636364]","[0, 1, 2.4545454545454546, 1.1818181818181819, 1.0, 0.8461538461538461]","[0, 1, 2.7, 1.8, 0.7, 0.8333333333333334]","[0, 0, 8.307692307692308, 2.307692307692308, 0.0, 2.1666666666666665]","[0, 0, 0.6206896551724138, 0.6551724137931034, 4.0, 7.25]","[1, 0, 2.7, 1.2, 1, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.486842105263158, 1.2631578947368423, 3.2857142857142856, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.1, 3.5, 0.9090909090909091]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
25,2020-06-04,20200604SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8636363636363638, 1.1363636363636365, 2.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.36764705882353, 1.3235294117647058, 2.125, 5.666666666666667]","[0, 1, 6.230769230769231, 1.3846153846153848, 1.3333333333333333, 0.7878787878787878]","[0, 0, 8.4375, 2.0625, 1.5, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.6, 1.0, 1.0]","[0, 0, 2.571428571428571, 1.1428571428571428, 2.0, 0.6363636363636364]","[0, 0, 2.4545454545454546, 1.1818181818181819, 1.0, 0.8461538461538461]","[0, 0, 2.7, 1.8, 0.7, 0.8333333333333334]","[0, 1, 5.684210526315789, 2.0526315789473686, 0.5, 2.111111111111111]","[0, 0, 0.6206896551724138, 0.6551724137931034, 4.0, 7.25]","[0, 0, 2.7, 1.2, 1, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9375000000000004, 1.1875, 12.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.5051546391752577, 1.1752577319587627, 4.285714285714286, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.1, 3.5, 0.9090909090909091]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 3.8571428571428568, 1.7142857142857142, 1.6666666666666667, 0.7]"
