,date,game_key,모터,김병휘,박주홍,문찬종,박정음,김규민,김하성,임지열,임병욱,박준태,김은성,송우현,허정협,전병우,김웅빈,주효상,김혜성,이정후,배현호,변상권,김수환,김주형,주성원,김신회,이택근,박병호,서건창,박동원,이지영
10,2020-05-16,20200516WOLG2,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, 6, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0]","[1, 2, 0.15384615384615385, 0.23255813953488372, 0.2564102564102564, 0.125, 0.15384615384615385, 0.05128205128205128]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[1, 9, 0.3157894736842105, 0.48, 0.3684210526315789, 0.2, 0.15789473684210525, 0.05263157894736842]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.19047619047619047, 0.2608695652173913, 0.19047619047619047, 0.0, 0.09523809523809523, 0.0]","[1, 3, 0.34285714285714286, 0.4146341463414634, 0.6285714285714286, 0.375, 0.2, 0.22857142857142856]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.23529411764705882, 0.2777777777777778, 0.35294117647058826, 0.4, 0.058823529411764705, 0.11764705882352941]","[1, 4, 0.2, 0.3333333333333333, 0.4, 0.3333333333333333, 0.17142857142857143, 0.17142857142857143]","[1, 1, 0.2571428571428571, 0.3170731707317073, 0.42857142857142855, 0.3, 0.14285714285714285, 0.17142857142857143]","[1, 5, 0.28, 0.3076923076923077, 0.48, 0.5, 0.08, 0.16]","[0, -1, 0.3333333333333333, 0.375, 0.6, 0.75, 0.2, 0.2]"
11,2020-05-17,20200517WOLG0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, 5, 0.2, 0.3333333333333333, 0.2, 0.0, 0.2, 0.0]","[1, 2, 0.14285714285714285, 0.23404255319148937, 0.23809523809523808, 0.125, 0.14285714285714285, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[1, 9, 0.2857142857142857, 0.4827586206896552, 0.3333333333333333, 0.2, 0.14285714285714285, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.24, 0.2962962962962963, 0.24, 0.25, 0.08, 0.0]","[1, 3, 0.34210526315789475, 0.4222222222222222, 0.6052631578947368, 0.375, 0.18421052631578946, 0.21052631578947367]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2857142857142857, 0.3181818181818182, 0.42857142857142855, 0.5, 0.09523809523809523, 0.19047619047619047]","[1, 4, 0.20512820512820512, 0.32608695652173914, 0.38461538461538464, 0.3333333333333333, 0.15384615384615385, 0.15384615384615385]","[1, 1, 0.225, 0.2826086956521739, 0.375, 0.2727272727272727, 0.125, 0.15]","[1, 6, 0.2857142857142857, 0.3333333333333333, 0.4642857142857143, 0.6, 0.10714285714285714, 0.14285714285714285]","[1, 8, 0.2777777777777778, 0.3157894736842105, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666]"
12,2020-05-19,20200519SKWO0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, 9, 0.18181818181818182, 0.3076923076923077, 0.18181818181818182, 0.0, 0.18181818181818182, 0.0]","[1, 2, 0.1875, 0.2641509433962264, 0.2916666666666667, 0.2727272727272727, 0.14583333333333334, 0.10416666666666667]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[1, 9, 0.2608695652173913, 0.45161290322580644, 0.30434782608695654, 0.16666666666666666, 0.13043478260869565, 0.043478260869565216]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.20689655172413793, 0.28125, 0.20689655172413793, 0.2, 0.10344827586206896, 0.0]","[1, 3, 0.37209302325581395, 0.44, 0.7209302325581395, 0.36363636363636365, 0.18604651162790697, 0.23255813953488372]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.28, 0.3076923076923077, 0.44, 0.375, 0.08, 0.16]","[1, 4, 0.20930232558139536, 0.32, 0.37209302325581395, 0.2727272727272727, 0.13953488372093023, 0.13953488372093023]","[1, 1, 0.2727272727272727, 0.3333333333333333, 0.4772727272727273, 0.3076923076923077, 0.1590909090909091, 0.20454545454545456]","[1, 6, 0.28125, 0.3235294117647059, 0.53125, 0.5, 0.125, 0.15625]","[1, 8, 0.36363636363636365, 0.4166666666666667, 0.5454545454545454, 0.5, 0.22727272727272727, 0.13636363636363635]"
13,2020-05-20,20200520SKWO0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[1, 7, 0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[1, 2, 0.2, 0.3103448275862069, 0.3, 0.25, 0.16, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[1, 9, 0.2692307692307692, 0.45714285714285713, 0.3076923076923077, 0.125, 0.19230769230769232, 0.038461538461538464]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 5, 0.2727272727272727, 0.35135135135135137, 0.2727272727272727, 0.3333333333333333, 0.15151515151515152, 0.030303030303030304]","[1, 3, 0.40425531914893614, 0.4727272727272727, 0.7659574468085106, 0.4166666666666667, 0.19148936170212766, 0.2553191489361702]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.26666666666666666, 0.2903225806451613, 0.4, 0.3333333333333333, 0.1, 0.13333333333333333]","[1, 4, 0.19148936170212766, 0.3090909090909091, 0.3404255319148936, 0.21428571428571427, 0.14893617021276595, 0.14893617021276595]","[1, 1, 0.2857142857142857, 0.3392857142857143, 0.46938775510204084, 0.4, 0.14285714285714285, 0.22448979591836735]","[0, 9, 0.2972972972972973, 0.3333333333333333, 0.6216216216216216, 0.5714285714285714, 0.16216216216216217, 0.21621621621621623]","[1, 8, 0.34615384615384615, 0.39285714285714285, 0.5, 0.375, 0.23076923076923078, 0.15384615384615385]"
14,2020-05-21,20200521SKWO0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, 5, 0.1875, 0.2777777777777778, 0.1875, 0.0, 0.125, 0.0]","[1, 2, 0.22641509433962265, 0.3492063492063492, 0.39622641509433965, 0.25, 0.18867924528301888, 0.11320754716981132]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[1, 9, 0.2413793103448276, 0.42105263157894735, 0.27586206896551724, 0.1, 0.1724137931034483, 0.034482758620689655]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.24324324324324326, 0.3170731707317073, 0.24324324324324326, 0.25, 0.13513513513513514, 0.02702702702702703]","[1, 3, 0.39215686274509803, 0.4576271186440678, 0.7254901960784313, 0.4, 0.17647058823529413, 0.2549019607843137]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.5, 0.5, 1.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.2, 0.2, 0.4, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.26666666666666666, 0.2903225806451613, 0.4, 0.3333333333333333, 0.1, 0.13333333333333333]","[1, 4, 0.18, 0.3050847457627119, 0.32, 0.17647058823529413, 0.14, 0.14]","[1, 1, 0.3018867924528302, 0.36065573770491804, 0.4716981132075472, 0.4, 0.1509433962264151, 0.20754716981132076]","[1, 5, 0.2894736842105263, 0.325, 0.6052631578947368, 0.5714285714285714, 0.15789473684210525, 0.21052631578947367]","[1, 6, 0.3333333333333333, 0.375, 0.4666666666666667, 0.3333333333333333, 0.2, 0.13333333333333333]"
15,2020-05-22,20200522WOLT0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.5, 0.5, 0.5, 1.0, 0.5, 0.5]","[1, 9, 0.1875, 0.2777777777777778, 0.1875, 0.0, 0.125, 0.0]","[0, 6, 0.24561403508771928, 0.36764705882352944, 0.43859649122807015, 0.3076923076923077, 0.22807017543859648, 0.14035087719298245]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, 8, 0.21212121212121213, 0.38095238095238093, 0.24242424242424243, 0.1, 0.18181818181818182, 0.030303030303030304]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.21951219512195122, 0.30434782608695654, 0.21951219512195122, 0.2222222222222222, 0.14634146341463414, 0.024390243902439025]","[1, 3, 0.39285714285714285, 0.453125, 0.7142857142857143, 0.4117647058823529, 0.16071428571428573, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 1.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2, 0.2, 0.4, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.23529411764705882, 0.2571428571428571, 0.35294117647058826, 0.3076923076923077, 0.08823529411764706, 0.11764705882352941]","[1, 4, 0.18867924528301888, 0.328125, 0.32075471698113206, 0.16666666666666666, 0.16981132075471697, 0.1320754716981132]","[1, 1, 0.3103448275862069, 0.36363636363636365, 0.4827586206896552, 0.4, 0.15517241379310345, 0.1896551724137931]","[1, 2, 0.32558139534883723, 0.35555555555555557, 0.627906976744186, 0.6, 0.16279069767441862, 0.2558139534883721]","[1, 5, 0.34285714285714286, 0.3783783783783784, 0.45714285714285713, 0.36363636363636365, 0.17142857142857143, 0.17142857142857143]"
16,2020-05-23,20200523WOLT0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.25, 0.4, 0.25, 1.0, 0.5, 0.25]","[1, 8, 0.25, 0.3181818181818182, 0.3, 0.0, 0.15, 0.05]","[1, 2, 0.2413793103448276, 0.36231884057971014, 0.43103448275862066, 0.2857142857142857, 0.22413793103448276, 0.13793103448275862]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, 7, 0.21212121212121213, 0.38095238095238093, 0.24242424242424243, 0.1, 0.18181818181818182, 0.030303030303030304]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0.2, 0.28, 0.2, 0.2222222222222222, 0.13333333333333333, 0.022222222222222223]","[1, 3, 0.3793103448275862, 0.4492753623188406, 0.6896551724137931, 0.4117647058823529, 0.15517241379310345, 0.25862068965517243]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.2, 0.2, 0.4, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.14285714285714285, 0.25, 0.2857142857142857, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.22857142857142856, 0.25, 0.34285714285714286, 0.3076923076923077, 0.08571428571428572, 0.11428571428571428]","[1, 4, 0.18181818181818182, 0.3235294117647059, 0.3090909090909091, 0.16666666666666666, 0.16363636363636364, 0.16363636363636364]","[1, 1, 0.3114754098360656, 0.38028169014084506, 0.47540983606557374, 0.375, 0.18032786885245902, 0.18032786885245902]","[1, 5, 0.3404255319148936, 0.38, 0.7021276595744681, 0.6363636363636364, 0.2127659574468085, 0.2765957446808511]","[1, 6, 0.3333333333333333, 0.36585365853658536, 0.4358974358974359, 0.3333333333333333, 0.15384615384615385, 0.15384615384615385]"
17,2020-05-24,20200524WOLT0,"[0, -1, 0.125, 0.15384615384615385, 0.25, 0.125, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.25, 0.4, 0.25, 1.0, 0.5, 0.25]","[1, 8, 0.24, 0.2962962962962963, 0.28, 0.2, 0.12, 0.08]","[1, 2, 0.27419354838709675, 0.3918918918918919, 0.5161290322580645, 0.3333333333333333, 0.25806451612903225, 0.16129032258064516]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, 7, 0.2, 0.36363636363636365, 0.22857142857142856, 0.09090909090909091, 0.2, 0.02857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 9, 0.1956521739130435, 0.27450980392156865, 0.1956521739130435, 0.2222222222222222, 0.13043478260869565, 0.021739130434782608]","[1, 3, 0.38095238095238093, 0.44594594594594594, 0.7142857142857143, 0.45, 0.15873015873015872, 0.30158730158730157]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.2, 0.4, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.3076923076923077, 0.4166666666666667, 1.0, 0.16666666666666666, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.23684210526315788, 0.2564102564102564, 0.3684210526315789, 0.3125, 0.07894736842105263, 0.13157894736842105]","[1, 4, 0.2033898305084746, 0.3424657534246575, 0.423728813559322, 0.16666666666666666, 0.1864406779661017, 0.1864406779661017]","[1, 1, 0.3076923076923077, 0.3815789473684211, 0.46153846153846156, 0.4117647058823529, 0.18461538461538463, 0.18461538461538463]","[1, 5, 0.34615384615384615, 0.38181818181818183, 0.6730769230769231, 0.6363636363636364, 0.21153846153846154, 0.25]","[1, 6, 0.32558139534883723, 0.35555555555555557, 0.4418604651162791, 0.3076923076923077, 0.16279069767441862, 0.13953488372093023]"
18,2020-05-26,20200526WONC0,"[1, 8, 0.1111111111111111, 0.13793103448275862, 0.2222222222222222, 0.125, 0.1111111111111111, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.25, 0.4, 0.25, 1.0, 0.5, 0.25]","[0, 7, 0.21428571428571427, 0.26666666666666666, 0.25, 0.2, 0.10714285714285714, 0.07142857142857142]","[1, 2, 0.26153846153846155, 0.38461538461538464, 0.49230769230769234, 0.3333333333333333, 0.24615384615384617, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, 5, 0.2, 0.36363636363636365, 0.22857142857142856, 0.09090909090909091, 0.2, 0.02857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 9, 0.1956521739130435, 0.27450980392156865, 0.1956521739130435, 0.2222222222222222, 0.13043478260869565, 0.021739130434782608]","[1, 3, 0.373134328358209, 0.4358974358974359, 0.6865671641791045, 0.45, 0.14925373134328357, 0.2835820895522388]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.2, 0.4, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.21428571428571427, 0.3125, 0.35714285714285715, 1.0, 0.14285714285714285, 0.07142857142857142]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.21951219512195122, 0.23809523809523808, 0.34146341463414637, 0.29411764705882354, 0.07317073170731707, 0.12195121951219512]","[1, 4, 0.19047619047619047, 0.3246753246753247, 0.3968253968253968, 0.16666666666666666, 0.1746031746031746, 0.1746031746031746]","[1, 1, 0.3088235294117647, 0.3875, 0.45588235294117646, 0.4117647058823529, 0.17647058823529413, 0.17647058823529413]","[1, 5, 0.3392857142857143, 0.3728813559322034, 0.6428571428571429, 0.5833333333333334, 0.19642857142857142, 0.23214285714285715]","[1, 6, 0.3333333333333333, 0.3877551020408163, 0.4444444444444444, 0.3076923076923077, 0.15555555555555556, 0.13333333333333333]"
19,2020-05-27,20200527WONC0,"[1, 8, 0.0967741935483871, 0.12121212121212122, 0.1935483870967742, 0.1, 0.0967741935483871, 0.0967741935483871]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.25, 0.4, 0.25, 1.0, 0.5, 0.25]","[1, 9, 0.20689655172413793, 0.25806451612903225, 0.2413793103448276, 0.16666666666666666, 0.10344827586206896, 0.06896551724137931]","[1, 2, 0.25, 0.3855421686746988, 0.47058823529411764, 0.3333333333333333, 0.25, 0.14705882352941177]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, 4, 0.2, 0.36363636363636365, 0.22857142857142856, 0.09090909090909091, 0.2, 0.02857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.19148936170212766, 0.2692307692307692, 0.19148936170212766, 0.2222222222222222, 0.1276595744680851, 0.02127659574468085]","[1, 3, 0.352112676056338, 0.4146341463414634, 0.647887323943662, 0.45, 0.14084507042253522, 0.2676056338028169]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.2, 0.4, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.1875, 0.3157894736842105, 0.3125, 0.5, 0.125, 0.0625]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.23255813953488372, 0.26666666666666666, 0.3488372093023256, 0.3333333333333333, 0.06976744186046512, 0.13953488372093023]","[1, 4, 0.21212121212121213, 0.345679012345679, 0.4090909090909091, 0.16666666666666666, 0.18181818181818182, 0.16666666666666666]","[1, 1, 0.2876712328767123, 0.36470588235294116, 0.4246575342465753, 0.3888888888888889, 0.1643835616438356, 0.1643835616438356]","[1, 5, 0.3220338983050847, 0.36507936507936506, 0.6101694915254238, 0.5384615384615384, 0.1864406779661017, 0.22033898305084745]","[0, 9, 0.3469387755102041, 0.39622641509433965, 0.4489795918367347, 0.35714285714285715, 0.14285714285714285, 0.14285714285714285]"
20,2020-05-28,20200528WONC0,"[0, -1, 0.0967741935483871, 0.12121212121212122, 0.1935483870967742, 0.1, 0.0967741935483871, 0.0967741935483871]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.4, 0.25, 1.0, 0.5, 0.25]","[1, 8, 0.25, 0.29411764705882354, 0.28125, 0.14285714285714285, 0.125, 0.0625]","[1, 2, 0.23943661971830985, 0.3793103448275862, 0.4507042253521127, 0.3125, 0.23943661971830985, 0.14084507042253522]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2571428571428571, 0.35, 0.37142857142857144, 0.5, 0.08571428571428572, 0.17142857142857143]","[0, -1, 0.2, 0.36363636363636365, 0.22857142857142856, 0.09090909090909091, 0.2, 0.02857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.19148936170212766, 0.2692307692307692, 0.19148936170212766, 0.2222222222222222, 0.1276595744680851, 0.02127659574468085]","[1, 3, 0.36486486486486486, 0.4367816091954023, 0.6486486486486487, 0.47619047619047616, 0.13513513513513514, 0.25675675675675674]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.2, 0.4, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.23529411764705882, 0.35, 0.35294117647058826, 0.6666666666666666, 0.11764705882352941, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.21739130434782608, 0.2653061224489796, 0.32608695652173914, 0.3333333333333333, 0.06521739130434782, 0.13043478260869565]","[1, 4, 0.21428571428571427, 0.3411764705882353, 0.4, 0.15, 0.17142857142857143, 0.15714285714285714]","[1, 1, 0.2987012987012987, 0.3707865168539326, 0.4805194805194805, 0.3888888888888889, 0.16883116883116883, 0.16883116883116883]","[1, 5, 0.30158730158730157, 0.34328358208955223, 0.5714285714285714, 0.5, 0.1746031746031746, 0.20634920634920634]","[1, 6, 0.36, 0.4074074074074074, 0.46, 0.35714285714285715, 0.14, 0.14]"
