,date,game_key,양선률,킹엄,핀토,오원석,이태양,박종훈,서진용,정영일,문승원,김정빈,조영우,이건욱,박민호,김택형,김주온,이재관,김찬호,김주한,정수민,이원준,김정우,하재훈,백승건,최재성,윤희상,신재웅,김세현,박희수,김태훈
10,2020-05-17,20200517NCSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 1.35, 0.8999999999999999, 1.0, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.8, 4.0, 5.0]","[0, 1, 15.750000000000002, 2.25, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.588235294117647, 7, 5.666666666666667]","[0, 0, 0.0, 0.6923076923076924, 6.0, 1.0833333333333333]","[0, 1, 0.0, 0.8181818181818182, 2.0, 1.222222222222222]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 6.75, 1.25, 1.0, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 1, 6.75, 1.75, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 40.5, 6.0, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 0.0, 1.0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 3.0, 0.8333333333333334, 1.0, 6.0]"
11,2020-05-19,20200519SKWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[1, 0, 3.176470588235294, 1.5, 0.5714285714285714, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.8, 4.0, 5.0]","[0, 0, 15.750000000000002, 2.25, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.588235294117647, 7, 5.666666666666667]","[0, 0, 0.0, 0.6923076923076924, 6.0, 1.0833333333333333]","[0, 1, 5.0625, 1.3125, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 1, 5.4, 1.4, 1.0, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.75, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 36.0, 5.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 1, 20.25, 3.0, 1, 0.6666666666666666]","[0, 0, 3.0, 0.8333333333333334, 1.0, 6.0]"
12,2020-05-20,20200520SKWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 3.176470588235294, 1.5, 0.5714285714285714, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6, 1.7, 3.6666666666666665, 5.0]","[0, 1, 12.6, 1.8, 2.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.588235294117647, 7, 5.666666666666667]","[0, 1, 0.0, 0.8, 8.0, 1.0]","[0, 0, 5.0625, 1.3125, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 5.4, 1.4, 1.0, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.75, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 36.0, 5.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 20.25, 3.0, 1, 0.6666666666666666]","[0, 0, 3.0, 0.8333333333333334, 1.0, 6.0]"
13,2020-05-21,20200521SKWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 3.176470588235294, 1.5, 0.5714285714285714, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.7, 3.6666666666666665, 5.0]","[0, 1, 9.0, 1.4285714285714286, 2.3333333333333335, 1.0]","[0, 1, 0, 0, 0, 0]","[1, 0, 4.628571428571429, 1.4571428571428573, 14.0, 5.833333333333333]","[0, 1, 0.0, 0.6666666666666666, 9.0, 1.0]","[0, 1, 5.684210526315789, 1.4210526315789473, 1.0, 1.2666666666666666]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 1, 4.05, 1.2, 1.5, 1.1111111111111112]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 1, 5.0625, 1.3125, 4.0, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 36.0, 5.0, 0.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.3333333333333333, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 20.25, 3.0, 1, 0.6666666666666666]","[0, 0, 3.0, 0.8333333333333334, 1.0, 6.0]"
14,2020-05-22,20200522HTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 3.176470588235294, 1.5, 0.5714285714285714, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.7, 3.6666666666666665, 5.0]","[0, 0, 9.0, 1.4285714285714286, 2.3333333333333335, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.628571428571429, 1.4571428571428573, 14.0, 5.833333333333333]","[0, 0, 0.0, 0.6666666666666666, 9.0, 1.0]","[0, 0, 5.684210526315789, 1.4210526315789473, 1.0, 1.2666666666666666]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 1, 5.142857142857142, 1.4285714285714286, 2.0, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 1, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3333333333333333, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 1, 15.428571428571427, 2.142857142857143, 2, 0.7777777777777778]","[0, 0, 3.0, 0.8333333333333334, 1.0, 6.0]"
15,2020-05-23,20200523HTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 3.176470588235294, 1.5, 0.5714285714285714, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.7, 3.6666666666666665, 5.0]","[0, 0, 9.0, 1.4285714285714286, 2.3333333333333335, 1.0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 4.628571428571429, 1.4571428571428573, 14.0, 5.833333333333333]","[0, 0, 0.0, 0.6666666666666666, 9.0, 1.0]","[0, 1, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 5.142857142857142, 1.4285714285714286, 2.0, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3333333333333333, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 1, 13.5, 2.1, 5.0, 0.8333333333333334]","[1, 0, 1.3846153846153846, 0.7692307692307693, 1.5, 6.5]"
16,2020-05-24,20200524HTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[1, 0, 6.319148936170213, 1.8510638297872342, 0.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.7, 3.6666666666666665, 5.0]","[0, 1, 7.875000000000001, 1.25, 3.3333333333333335, 1.0]","[0, 1, 9.0, 1.0, 3, 1.0]","[0, 0, 4.628571428571429, 1.4571428571428573, 14.0, 5.833333333333333]","[0, 1, 0.0, 0.6818181818181819, 10.0, 1.0476190476190477]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 1, 4.5, 1.5, 1.25, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.5, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 13.5, 2.1, 5.0, 0.8333333333333334]","[0, 0, 1.3846153846153846, 0.7692307692307693, 1.5, 6.5]"
17,2020-05-26,20200526SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 6.319148936170213, 1.8510638297872342, 0.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.2, 1.7333333333333334, 2.8333333333333335, 5.0]","[0, 1, 7.0, 1.1111111111111112, 3.3333333333333335, 1.0]","[0, 0, 9.0, 1.0, 3, 1.0]","[0, 0, 4.628571428571429, 1.4571428571428573, 14.0, 5.833333333333333]","[0, 1, 0.0, 0.72, 5.5, 1.0416666666666667]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 0, 4.5, 1.5, 1.25, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 13.5, 2.1, 5.0, 0.8333333333333334]","[0, 0, 1.3846153846153846, 0.7692307692307693, 1.5, 6.5]"
18,2020-05-27,20200527SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 6.319148936170213, 1.8510638297872342, 0.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 1.7333333333333334, 2.8333333333333335, 5.0]","[0, 0, 7.0, 1.1111111111111112, 3.3333333333333335, 1.0]","[0, 1, 6.0, 1.3333333333333333, 3.0, 1.0]","[1, 0, 5.625, 1.6875, 6.0, 5.333333333333333]","[0, 0, 0.0, 0.72, 5.5, 1.0416666666666667]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.0, 2, 1.0]","[0, 1, 4.0, 1.3333333333333333, 1.25, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 1, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 1.3846153846153846, 0.7692307692307693, 1.5, 6.5]"
19,2020-05-28,20200528SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 6.319148936170213, 1.8510638297872342, 0.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 1.7333333333333334, 2.8333333333333335, 5.0]","[0, 1, 6.517241379310345, 1.3448275862068966, 2.0, 0.9666666666666666]","[0, 0, 6.0, 1.3333333333333333, 3.0, 1.0]","[0, 0, 5.625, 1.6875, 6.0, 5.333333333333333]","[0, 1, 0.0, 0.8076923076923077, 6.0, 0.9629629629629629]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[1, 0, 0.0, 0.6, 5.0, 1.6666666666666667]","[0, 0, 4.0, 1.3333333333333333, 1.25, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 1.4, 1.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 1.3846153846153846, 0.7692307692307693, 1.5, 6.5]"
20,2020-05-29,20200529HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 6.319148936170213, 1.8510638297872342, 0.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 1.7333333333333334, 2.8333333333333335, 5.0]","[0, 1, 5.90625, 1.3125, 1.8333333333333333, 0.9696969696969696]","[0, 1, 4.5, 1.25, 1.5, 1.0]","[0, 0, 5.625, 1.6875, 6.0, 5.333333333333333]","[0, 1, 0.0, 0.7741935483870968, 4.333333333333333, 1.0333333333333334]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.6, 5.0, 1.6666666666666667]","[0, 1, 3.6, 1.2, 1.5, 1.0]","[0, 0, 27.0, 4.0, 1.0, 0.5]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.1666666666666667, 1.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[1, 0, 2.8421052631578947, 0.9473684210526315, 1.4444444444444444, 6.333333333333333]"
21,2020-05-30,20200530HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[1, 0, 4.764705882352941, 1.8970588235294117, 1.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 1.7333333333333334, 2.8333333333333335, 5.0]","[0, 0, 5.90625, 1.3125, 1.8333333333333333, 0.9696969696969696]","[0, 1, 4.153846153846154, 1.153846153846154, 2.0, 0.8666666666666666]","[0, 0, 5.625, 1.6875, 6.0, 5.333333333333333]","[0, 0, 0.0, 0.7741935483870968, 4.333333333333333, 1.0333333333333334]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.6, 5.0, 1.6666666666666667]","[0, 1, 3.272727272727273, 1.0909090909090908, 1.75, 1.0]","[0, 1, 63.00000000000001, 8.0, 0.6666666666666666, 0.3333333333333333]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.1666666666666667, 1.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 2.8421052631578947, 0.9473684210526315, 1.4444444444444444, 6.333333333333333]"
22,2020-05-31,20200531HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 4.764705882352941, 1.8970588235294117, 1.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.272727272727273, 1.3181818181818181, 3.5714285714285716, 5.5]","[0, 1, 5.4, 1.2, 2.0, 0.9722222222222222]","[0, 0, 4.153846153846154, 1.153846153846154, 2.0, 0.8666666666666666]","[0, 0, 5.625, 1.6875, 6.0, 5.333333333333333]","[0, 1, 0.0, 0.8823529411764706, 4.333333333333333, 1.0303030303030303]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.6, 5.0, 1.6666666666666667]","[0, 0, 3.272727272727273, 1.0909090909090908, 1.75, 1.0]","[0, 0, 63.00000000000001, 8.0, 0.6666666666666666, 0.3333333333333333]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 3.0, 0.5, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.7999999999999998, 1.0, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 2.8421052631578947, 0.9473684210526315, 1.4444444444444444, 6.333333333333333]"
23,2020-06-02,20200602SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 4.764705882352941, 1.8970588235294117, 1.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3181818181818181, 3.5714285714285716, 5.5]","[0, 0, 5.4, 1.2, 2.0, 0.9722222222222222]","[0, 1, 3.375, 0.9375, 2.5, 0.8888888888888888]","[1, 0, 6.096774193548387, 1.6451612903225805, 6.0, 5.166666666666667]","[0, 0, 0.0, 0.8823529411764706, 4.333333333333333, 1.0303030303030303]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 0.0, 0.6, 5.0, 1.6666666666666667]","[0, 0, 3.272727272727273, 1.0909090909090908, 1.75, 1.0]","[0, 1, 27.0, 3.4285714285714284, 1.3333333333333333, 0.5833333333333334]","[0, 0, 6.75, 1.5, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 1.9090909090909092, 0.75, 1.8333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 2.8421052631578947, 0.9473684210526315, 1.4444444444444444, 6.333333333333333]"
24,2020-06-03,20200603SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 4.764705882352941, 1.8970588235294117, 1.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3181818181818181, 3.5714285714285716, 5.5]","[0, 0, 5.4, 1.2, 2.0, 0.9722222222222222]","[0, 0, 3.375, 0.9375, 2.5, 0.8888888888888888]","[0, 0, 6.096774193548387, 1.6451612903225805, 6.0, 5.166666666666667]","[0, 0, 0.0, 0.8823529411764706, 4.333333333333333, 1.0303030303030303]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[1, 0, 1.0384615384615385, 0.6923076923076924, 4.0, 2.888888888888889]","[0, 1, 3.0857142857142854, 1.1142857142857143, 1.4, 0.9722222222222222]","[0, 1, 18.9, 3.0, 1.6666666666666667, 0.6666666666666667]","[0, 1, 5.684210526315789, 1.4210526315789473, 2.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.9285714285714284, 1.9285714285714284, 0.75, 1.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[0, 0, 2.8421052631578947, 0.9473684210526315, 1.4444444444444444, 6.333333333333333]"
25,2020-06-04,20200604SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 2.0, 7.0]","[0, 0, 4.764705882352941, 1.8970588235294117, 1.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3181818181818181, 3.5714285714285716, 5.5]","[0, 0, 5.4, 1.2, 2.0, 0.9722222222222222]","[0, 0, 3.375, 0.9375, 2.5, 0.8888888888888888]","[0, 0, 6.096774193548387, 1.6451612903225805, 6.0, 5.166666666666667]","[0, 0, 0.0, 0.8823529411764706, 4.333333333333333, 1.0303030303030303]","[0, 0, 5.684210526315789, 1.5789473684210527, 1.0, 1.0555555555555556]","[0, 0, 1.0384615384615385, 0.6923076923076924, 4.0, 2.888888888888889]","[0, 0, 3.0857142857142854, 1.1142857142857143, 1.4, 0.9722222222222222]","[0, 0, 18.9, 3.0, 1.6666666666666667, 0.6666666666666667]","[0, 1, 4.32, 1.3199999999999998, 1.3333333333333333, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 45.0, 8.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9285714285714284, 1.9285714285714284, 0.75, 1.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.9523809523809524]","[0, 1, 12.0, 2.6666666666666665, 1.0, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.384615384615385, 1.6153846153846154, 6.0, 0.8666666666666666]","[1, 0, 3.0, 1.0416666666666667, 1.4545454545454546, 6.0]"
