,date,game_key,이민호,김윤식,김지용,김대유,문광은,임찬규,이우찬,최성훈,류원석,배재준,이상규,김대현,오석주,고우석,윌슨,켈리,한선태,이정용,정우영,이상영,송은범,차우찬,진해수,정찬헌,백청훈,최동환,정용운,여건욱
10,2020-05-17,20200517WOLG0,"[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.8, 1.7999999999999998, 3, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.4, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 14.538461538461538, 2.5384615384615388, 0.5, 4.333333333333333]","[0, 0, 22.5, 4.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.9, 0.0, 1.6666666666666667]","[1, 0, 3.75, 1.0833333333333333, 3.75, 6.0]","[0, 0, 0.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.0, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.375, 1.0, 1.3333333333333333]"
11,2020-05-19,20200519LGSS0,"[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.8, 1.7999999999999998, 3, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[1, 0, 1.5, 0.8333333333333334, 7, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.35, 1.2, 2.3333333333333335, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 14.538461538461538, 2.5384615384615388, 0.5, 4.333333333333333]","[0, 0, 22.5, 4.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.384615384615385, 3.4615384615384617, 0.0, 1.4444444444444444]","[0, 0, 3.75, 1.0833333333333333, 3.75, 6.0]","[0, 0, 0.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1.0, 1.3333333333333333]"
12,2020-05-20,20200520LGSS0,"[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 10.8, 1.7999999999999998, 3, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 1.5, 0.8333333333333334, 7, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.35, 1.2, 2.3333333333333335, 1.1111111111111112]","[0, 1, 18.0, 3.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[1, 0, 7.838709677419355, 1.6451612903225805, 1.5, 5.166666666666667]","[0, 0, 22.5, 4.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.384615384615385, 3.4615384615384617, 0.0, 1.4444444444444444]","[0, 0, 3.75, 1.0833333333333333, 3.75, 6.0]","[0, 0, 0.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1.0, 1.3333333333333333]"
13,2020-05-21,20200521LGSS0,"[1, 0, 0.0, 0.75, 0, 2.0]","[0, 1, 8.307692307692308, 1.3846153846153848, 3, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 1.5, 0.8333333333333334, 7, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.16, 1.2, 2.3333333333333335, 1.1904761904761905]","[0, 0, 18.0, 3.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 7.838709677419355, 1.6451612903225805, 1.5, 5.166666666666667]","[0, 0, 22.5, 4.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6875, 0.9375, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.384615384615385, 3.4615384615384617, 0.0, 1.4444444444444444]","[0, 0, 3.75, 1.0833333333333333, 3.75, 6.0]","[0, 0, 0.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.375, 1.0, 1.3333333333333333]"
14,2020-05-22,20200522KTLG0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 8.307692307692308, 1.3846153846153848, 3, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 1.5, 0.8333333333333334, 7, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.2, 2.3333333333333335, 1.1904761904761905]","[0, 1, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 7.838709677419355, 1.6451612903225805, 1.5, 5.166666666666667]","[1, 0, 5.625, 1.625, 3.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9375, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.384615384615385, 3.4615384615384617, 0.0, 1.4444444444444444]","[0, 0, 3.75, 1.0833333333333333, 3.75, 6.0]","[0, 1, 0.0, 2.5, 0.0, 0.4]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 0.6818181818181819, 2.0, 1.4666666666666666]"
15,2020-05-23,20200523KTLG0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 1, 7.7142857142857135, 1.2857142857142856, 3, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 1.5, 0.8333333333333334, 7, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.2, 2.3333333333333335, 1.1904761904761905]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 7.838709677419355, 1.6451612903225805, 1.5, 5.166666666666667]","[0, 0, 5.625, 1.625, 3.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.9375, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.529411764705882, 3.176470588235294, 0.0, 1.4166666666666667]","[1, 0, 5.625, 1.5, 3.1666666666666665, 5.333333333333333]","[0, 0, 0.0, 2.5, 0.0, 0.4]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 0.6818181818181819, 2.0, 1.4666666666666666]"
16,2020-05-24,20200524KTLG0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 1, 6.352941176470588, 1.0588235294117647, 5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[1, 0, 3.75, 1.0833333333333333, 13.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.9285714285714284, 1.1785714285714286, 1.75, 1.1666666666666667]","[0, 1, 6.0, 1.6666666666666667, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 7.838709677419355, 1.6451612903225805, 1.5, 5.166666666666667]","[0, 0, 5.625, 1.625, 3.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1739130434782608, 0.7826086956521738, 2.0, 1.5333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.529411764705882, 3.176470588235294, 0.0, 1.4166666666666667]","[0, 0, 5.625, 1.5, 3.1666666666666665, 5.333333333333333]","[0, 1, 3.0, 2.0, 1.0, 0.5]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 0.6818181818181819, 2.0, 1.4666666666666666]"
17,2020-05-26,20200526LGHH0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 6.352941176470588, 1.0588235294117647, 5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 3.75, 1.0833333333333333, 13.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8620689655172413, 1.2413793103448276, 1.6, 1.074074074074074]","[0, 0, 6.0, 1.6666666666666667, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[1, 0, 5.711538461538462, 1.2692307692307694, 2.142857142857143, 5.777777777777778]","[0, 0, 5.625, 1.625, 3.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0, 0.8888888888888888, 2.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.529411764705882, 3.176470588235294, 0.0, 1.4166666666666667]","[0, 0, 5.625, 1.5, 3.1666666666666665, 5.333333333333333]","[0, 1, 5.4, 2.1, 1.5, 0.4761904761904762]","[0, 0, 6.75, 1.75, 3, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 0.6818181818181819, 2.0, 1.4666666666666666]"
18,2020-05-27,20200527LGHH0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 6.352941176470588, 1.0588235294117647, 5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 3.75, 1.0833333333333333, 13.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.2413793103448276, 1.6, 1.074074074074074]","[0, 0, 6.0, 1.6666666666666667, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 5.711538461538462, 1.2692307692307694, 2.142857142857143, 5.777777777777778]","[0, 0, 5.625, 1.625, 3.0, 4.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0, 0.8888888888888888, 2.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.529411764705882, 3.176470588235294, 0.0, 1.4166666666666667]","[0, 0, 5.625, 1.5, 3.1666666666666665, 5.333333333333333]","[0, 0, 5.4, 2.1, 1.5, 0.4761904761904762]","[1, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.16, 0.72, 1.5, 1.388888888888889]"
19,2020-05-28,20200528LGHH0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 6.352941176470588, 1.0588235294117647, 5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 3.75, 1.0833333333333333, 13.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6875, 1.125, 1.6, 1.0666666666666667]","[0, 0, 6.0, 1.6666666666666667, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 5.711538461538462, 1.2692307692307694, 2.142857142857143, 5.777777777777778]","[1, 0, 5.785714285714286, 1.5, 3.3333333333333335, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.84375, 0.84375, 1.5, 1.5238095238095237]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.529411764705882, 3.176470588235294, 0.0, 1.4166666666666667]","[0, 0, 5.625, 1.5, 3.1666666666666665, 5.333333333333333]","[0, 1, 4.909090909090909, 2.4545454545454546, 1.0, 0.4583333333333333]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 0.72, 1.5, 1.388888888888889]"
20,2020-05-29,20200529LGHT0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 6.352941176470588, 1.0588235294117647, 5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 3.75, 1.0833333333333333, 13.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.5428571428571427, 1.1142857142857143, 1.6, 1.0606060606060606]","[0, 1, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 5.711538461538462, 1.2692307692307694, 2.142857142857143, 5.777777777777778]","[0, 0, 5.785714285714286, 1.5, 3.3333333333333335, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.7714285714285714, 0.7714285714285715, 1.75, 1.4583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.307692307692308, 2.4230769230769234, 0.3333333333333333, 1.7333333333333332]","[1, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 0, 4.909090909090909, 2.4545454545454546, 1.0, 0.4583333333333333]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 0.72, 1.5, 1.388888888888889]"
21,2020-05-30,20200530LGHT0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 1, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[1, 0, 4.5, 1.1111111111111112, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5428571428571427, 1.1142857142857143, 1.6, 1.0606060606060606]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 5.711538461538462, 1.2692307692307694, 2.142857142857143, 5.777777777777778]","[0, 0, 5.785714285714286, 1.5, 3.3333333333333335, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.7714285714285714, 0.7714285714285715, 1.75, 1.4583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.307692307692308, 2.4230769230769234, 0.3333333333333333, 1.7333333333333332]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 0, 4.909090909090909, 2.4545454545454546, 1.0, 0.4583333333333333]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.3333333333333333, 5.0, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3823529411764706, 0.9705882352941176, 3.0, 1.619047619047619]"
22,2020-05-31,20200531LGHT0,"[0, 0, 0.0, 0.75, 0, 2.0]","[0, 0, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 4.5, 1.1111111111111112, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5428571428571427, 1.1142857142857143, 1.6, 1.0606060606060606]","[0, 1, 7.363636363636363, 2.4545454545454546, 0.5, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[1, 0, 4.242857142857143, 1.0285714285714287, 2.5714285714285716, 5.833333333333333]","[0, 0, 5.785714285714286, 1.5, 3.3333333333333335, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.7714285714285714, 0.7714285714285715, 1.75, 1.4583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.448275862068965, 2.1724137931034484, 0.3333333333333333, 1.611111111111111]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 1, 3.8571428571428568, 1.9285714285714284, 1.6666666666666667, 0.5185185185185186]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3823529411764706, 0.9705882352941176, 3.0, 1.619047619047619]"
23,2020-06-02,20200602SSLG0,"[1, 0, 0.0, 0.8571428571428571, 0.5, 3.111111111111111]","[0, 0, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 4.5, 1.1111111111111112, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5428571428571427, 1.1142857142857143, 1.6, 1.0606060606060606]","[0, 0, 7.363636363636363, 2.4545454545454546, 0.5, 0.7333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 4.242857142857143, 1.0285714285714287, 2.5714285714285716, 5.833333333333333]","[0, 0, 5.785714285714286, 1.5, 3.3333333333333335, 4.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.7714285714285714, 0.7714285714285715, 1.75, 1.4583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.96875, 0.3333333333333333, 1.5238095238095237]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 0, 3.8571428571428568, 1.9285714285714284, 1.6666666666666667, 0.5185185185185186]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.3333333333333333, 5.0, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.0, 3.0, 1.5]"
24,2020-06-03,20200603SSLG0,"[0, 0, 0.0, 0.8571428571428571, 0.5, 3.111111111111111]","[0, 0, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 4.5, 1.1111111111111112, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5428571428571427, 1.1142857142857143, 1.6, 1.0606060606060606]","[0, 1, 7.7142857142857135, 2.357142857142857, 0.6, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 4.242857142857143, 1.0285714285714287, 2.5714285714285716, 5.833333333333333]","[1, 0, 4.05, 1.4, 3.3333333333333335, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.7714285714285714, 0.7714285714285715, 1.75, 1.4583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.96875, 0.3333333333333333, 1.5238095238095237]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 0, 3.8571428571428568, 1.9285714285714284, 1.6666666666666667, 0.5185185185185186]","[0, 0, 5.4, 1.7, 2.6666666666666665, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.1428571428571428, 5.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 3.0, 1.5]"
25,2020-06-04,20200604SSLG0,"[0, 0, 0.0, 0.8571428571428571, 0.5, 3.111111111111111]","[0, 0, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 4.5, 1.1111111111111112, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4594594594594597, 1.054054054054054, 1.6, 1.027777777777778]","[0, 0, 7.7142857142857135, 2.357142857142857, 0.6, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 4.242857142857143, 1.0285714285714287, 2.5714285714285716, 5.833333333333333]","[0, 0, 4.05, 1.4, 3.3333333333333335, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.7105263157894737, 0.7105263157894737, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.96875, 0.3333333333333333, 1.5238095238095237]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 1, 3.176470588235294, 1.588235294117647, 2.0, 0.5666666666666667]","[1, 0, 5.0625, 1.4375, 3.5, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 5.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 3.0, 1.5]"
26,2020-06-05,20200605LGWO0,"[0, 0, 0.0, 0.8571428571428571, 0.5, 3.111111111111111]","[0, 0, 5.684210526315789, 1.105263157894737, 5.0, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 1.3333333333333333]","[0, 0, 0.0, 0.0, 0, 1.0]","[1, 0, 4.432835820895522, 1.4328358208955225, 3.8333333333333335, 5.583333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4594594594594597, 1.054054054054054, 1.6, 1.027777777777778]","[0, 1, 8.1, 2.25, 0.5714285714285714, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 4.242857142857143, 1.0285714285714287, 2.5714285714285716, 5.833333333333333]","[0, 0, 4.05, 1.4, 3.3333333333333335, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.7105263157894737, 0.7105263157894737, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.96875, 0.3333333333333333, 1.5238095238095237]","[0, 0, 6.0, 1.5238095238095237, 3.0, 5.25]","[0, 0, 3.176470588235294, 1.588235294117647, 2.0, 0.5666666666666667]","[0, 0, 5.0625, 1.4375, 3.5, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1428571428571428, 5.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 3.0, 1.5]"
