,date,game_key,강재민,남지민,한승주,신지후,신정락,김경태,송윤준,이현호,임준섭,윤대경,김종수,송창현,윤호솔,문동욱,서균,황영국,김민우,김범수,박상원,김진영,김진욱,박주홍,김민석,서폴드,김이환,채드벨,박윤철,안영명,윤규진,송창식,정우람,장시환,장민재
10,2020-05-16,20200516LTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.6666666666666665, 0.8, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 2.142857142857143, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 0.9230769230769231, 5.0, 4.333333333333333]","[0, 0, 9.0, 2.0, 0.0, 1.0]","[0, 0, 4.5, 1.75, 0.6666666666666666, 1.0]","[0, 1, 0.0, 0.23076923076923078, 9.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.2, 0.6, 3.5, 7.5]","[0, 0, 1.8, 1.2, 0.75, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2, 1.1111111111111112]","[0, 0, 3.0, 1.6666666666666667, 6.0, 6.0]","[0, 0, 5.4, 1.8, 2.0, 5.0]"
11,2020-05-17,20200517LTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.8, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 2.142857142857143, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.3823529411764706, 0.7058823529411764, 3.25, 5.666666666666667]","[0, 0, 9.0, 2.0, 0.0, 1.0]","[0, 1, 3.0, 1.1666666666666667, 1.0, 1.2]","[0, 1, 1.8, 0.6, 5.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 0.6, 3.5, 7.5]","[0, 0, 1.8, 1.2, 0.75, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 18.0, 3.0, 0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2, 1.1111111111111112]","[0, 0, 3.0, 1.6666666666666667, 6.0, 6.0]","[0, 0, 5.4, 1.8, 2.0, 5.0]"
12,2020-05-19,20200519HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.8, 2.4, 1.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3823529411764706, 0.7058823529411764, 3.25, 5.666666666666667]","[0, 0, 9.0, 2.0, 0.0, 1.0]","[0, 0, 3.0, 1.1666666666666667, 1.0, 1.2]","[0, 0, 1.8, 0.6, 5.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 0.6, 3.5, 7.5]","[0, 0, 1.8, 1.2, 0.75, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 3.0, 0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2, 1.1111111111111112]","[1, 0, 3.75, 1.9166666666666667, 1.8571428571428572, 6.0]","[0, 0, 5.4, 1.8, 2.0, 5.0]"
13,2020-05-20,20200520HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 2.4, 1.0, 0.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3823529411764706, 0.7058823529411764, 3.25, 5.666666666666667]","[0, 0, 9.0, 2.0, 0.0, 1.0]","[0, 0, 3.0, 1.1666666666666667, 1.0, 1.2]","[0, 0, 1.8, 0.6, 5.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 0.6, 3.5, 7.5]","[0, 0, 1.8, 1.2, 0.75, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2, 1.1111111111111112]","[0, 0, 3.75, 1.9166666666666667, 1.8571428571428572, 6.0]","[1, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
14,2020-05-21,20200521HHKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.307692307692308, 1.8461538461538463, 1.4, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3823529411764706, 0.7058823529411764, 3.25, 5.666666666666667]","[0, 1, 9.0, 4.0, 0.0, 0.5]","[0, 1, 5.142857142857142, 1.4285714285714286, 1.25, 1.1666666666666667]","[0, 1, 2.571428571428571, 0.5714285714285714, 7.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 0.6, 3.5, 7.5]","[1, 0, 1.6363636363636365, 1.2727272727272727, 1.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 2, 1.1111111111111112]","[0, 0, 3.75, 1.9166666666666667, 1.8571428571428572, 6.0]","[0, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
15,2020-05-22,20200522HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.307692307692308, 1.8461538461538463, 1.4, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3823529411764706, 0.7058823529411764, 3.25, 5.666666666666667]","[0, 0, 9.0, 4.0, 0.0, 0.5]","[0, 1, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 1, 2.076923076923077, 0.576923076923077, 4.666666666666667, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6363636363636365, 0.8181818181818182, 3.6666666666666665, 7.333333333333333]","[0, 0, 1.6363636363636365, 1.2727272727272727, 1.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 3.75, 1.9166666666666667, 1.8571428571428572, 6.0]","[0, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
16,2020-05-23,20200523HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.6875, 1.6, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2, 1, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.9636363636363636, 0.7090909090909091, 2.7142857142857144, 6.111111111111111]","[0, 1, 6.0, 2.3333333333333335, 0.6666666666666666, 1.0]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 0, 2.076923076923077, 0.576923076923077, 4.666666666666667, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 2.142857142857143, 3, 2.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 0.8181818181818182, 3.6666666666666665, 7.333333333333333]","[0, 0, 1.6363636363636365, 1.2727272727272727, 1.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.5, 0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 3.75, 1.9166666666666667, 1.8571428571428572, 6.0]","[0, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
17,2020-05-24,20200524HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.6875, 1.6, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 1, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9636363636363636, 0.7090909090909091, 2.7142857142857144, 6.111111111111111]","[0, 1, 4.153846153846154, 1.8461538461538463, 1.3333333333333333, 1.0833333333333333]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 1, 1.8620689655172413, 0.5172413793103449, 5.333333333333333, 1.074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 0.8181818181818182, 3.6666666666666665, 7.333333333333333]","[0, 0, 1.6363636363636365, 1.2727272727272727, 1.0, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.6363636363636365, 2.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[1, 0, 7.2, 2.3333333333333335, 1.4545454545454546, 5.0]","[0, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
18,2020-05-26,20200526LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.352941176470588, 1.588235294117647, 1.6, 0.7083333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.2, 1, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9636363636363636, 0.7090909090909091, 2.7142857142857144, 6.111111111111111]","[0, 0, 4.153846153846154, 1.8461538461538463, 1.3333333333333333, 1.0833333333333333]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 0, 1.8620689655172413, 0.5172413793103449, 5.333333333333333, 1.074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 0.8181818181818182, 3.6666666666666665, 7.333333333333333]","[0, 1, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.352941176470588, 1.588235294117647, 3.0, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 7.2, 2.3333333333333335, 1.4545454545454546, 5.0]","[0, 0, 3.0, 1.1666666666666667, 4.5, 6.0]"
19,2020-05-27,20200527LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 2.0, 0.6666666666666666]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9636363636363636, 0.7090909090909091, 2.7142857142857144, 6.111111111111111]","[0, 1, 7.2, 2.0, 1.25, 1.0]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 0, 1.8620689655172413, 0.5172413793103449, 5.333333333333333, 1.074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 0.8181818181818182, 3.6666666666666665, 7.333333333333333]","[0, 0, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.684210526315789, 1.5789473684210527, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 7.2, 2.3333333333333335, 1.4545454545454546, 5.0]","[1, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
20,2020-05-28,20200528LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 0.6666666666666666]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9636363636363636, 0.7090909090909091, 2.7142857142857144, 6.111111111111111]","[0, 1, 7.9411764705882355, 1.9411764705882353, 1.25, 0.9444444444444445]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 0, 1.8620689655172413, 0.5172413793103449, 5.333333333333333, 1.074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.25, 0.9642857142857143, 2.5, 7.0]","[0, 0, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.684210526315789, 1.5789473684210527, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 7.2, 2.3333333333333335, 1.4545454545454546, 5.0]","[0, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
21,2020-05-29,20200529HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.2857142857142856, 3.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.25, 0.9583333333333334, 2.5, 6.0]","[0, 0, 7.9411764705882355, 1.9411764705882353, 1.25, 0.9444444444444445]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 1, 2.7, 0.8, 5.666666666666667, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9642857142857143, 2.5, 7.0]","[0, 0, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.3636363636363638, 4.0, 1.0476190476190477]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[0, 0, 7.2, 2.3333333333333335, 1.4545454545454546, 5.0]","[0, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
22,2020-05-30,20200530HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 1.0]","[0, 0, 0.0, 1.2857142857142856, 3.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9583333333333334, 2.5, 6.0]","[0, 1, 7.105263157894736, 1.8947368421052633, 1.25, 0.9047619047619048]","[0, 0, 4.5, 1.375, 1.5, 1.1428571428571428]","[0, 0, 2.7, 0.8, 5.666666666666667, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9642857142857143, 2.5, 7.0]","[0, 0, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.3636363636363638, 4.0, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.9230769230769231, 2, 1.0833333333333333]","[1, 0, 7.2, 2.25, 1.5333333333333334, 5.0]","[0, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
23,2020-05-31,20200531HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 1.0]","[0, 0, 0.0, 1.2857142857142856, 3.0, 0.7777777777777778]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9583333333333334, 2.5, 6.0]","[0, 1, 6.136363636363636, 1.9090909090909092, 1.1666666666666667, 0.9166666666666666]","[0, 1, 4.0, 1.2222222222222223, 1.75, 1.125]","[0, 1, 2.4545454545454546, 0.8181818181818182, 6.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9642857142857143, 2.5, 7.0]","[0, 0, 3.13953488372093, 1.6046511627906976, 1.0, 4.777777777777778]","[1, 0, 0.0, 1.2, 1.5, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.3636363636363638, 4.0, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6875, 0.75, 5, 1.0666666666666667]","[0, 0, 7.2, 2.25, 1.5333333333333334, 5.0]","[0, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
24,2020-06-02,20200602WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.5789473684210527, 2.0, 0.7037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.0, 0.0, 1.0]","[0, 1, 0.0, 1.0, 4.0, 0.75]","[0, 0, 10.125, 2.25, 2.0, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9583333333333334, 2.5, 6.0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.1666666666666667, 0.9166666666666666]","[0, 0, 4.0, 1.2222222222222223, 1.75, 1.125]","[0, 0, 2.4545454545454546, 0.8181818181818182, 6.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.875, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9642857142857143, 2.5, 7.0]","[1, 0, 3.5, 1.5555555555555556, 1.5, 4.5]","[0, 0, 0.0, 1.2, 1.5, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.32, 1.44, 3.0, 1.0416666666666667]","[0, 1, 5.4, 1.2, 2, 1.6666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6875, 0.75, 5, 1.0666666666666667]","[0, 0, 7.2, 2.25, 1.5333333333333334, 5.0]","[0, 0, 5.625, 1.6875, 3.3333333333333335, 5.333333333333333]"
