,date,game_key,홍종표,박민,류지혁,유민상,김민식,최정민,황윤호,이우성,고장혁,한승택,이창진,이은총,박찬호,박진두,최정용,황대인,김호령,최원준,김규성,이진영,이정훈,한준수,오선우,터커,김주찬,최형우,나주환,유재신,김선빈,나지완,백용환,문선재,장영석
10,2020-05-16,20200516OBHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.21739130434782608, 0.3076923076923077, 0.2608695652173913, 0.3333333333333333, 0.0, 0.13043478260869565]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.1875, 0.1875, 0.1875, 0.2, 0.0, 0.0625]","[0, 6, 0.0, 0.125, 0.0, 0.0, 0.14285714285714285, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.17647058823529413, 0.3, 0.23529411764705882, 0.0, 0.058823529411764705, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.25, 0.3181818181818182, 0.3, 0.0, 0.2, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.24324324324324326, 0.32558139534883723, 0.2702702702702703, 0.14285714285714285, 0.05405405405405406, 0.08108108108108109]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.4166666666666667, 0.5, 0.75, 0.6363636363636364, 0.1388888888888889, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.24390243902439024, 0.3111111111111111, 0.3902439024390244, 0.2727272727272727, 0.0975609756097561, 0.0975609756097561]","[0, 2, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3142857142857143, 0.4418604651162791, 0.42857142857142855, 0.4, 0.2, 0.11428571428571428]","[1, 5, 0.23333333333333334, 0.28125, 0.43333333333333335, 0.2, 0.1, 0.1]","[0, -1, 0.3, 0.36363636363636365, 1.0, 0.0, 0.2, 0.2]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
11,2020-05-17,20200517OBHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.23076923076923078, 0.3548387096774194, 0.2692307692307692, 0.3, 0.038461538461538464, 0.11538461538461539]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.3333333333333333, 0.3333333333333333, 0.42857142857142855, 0.3333333333333333, 0.047619047619047616, 0.14285714285714285]","[0, 8, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.17647058823529413, 0.3, 0.23529411764705882, 0.0, 0.058823529411764705, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.25, 0.32653061224489793, 0.29545454545454547, 0.0, 0.22727272727272727, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.21951219512195122, 0.2978723404255319, 0.24390243902439024, 0.14285714285714285, 0.04878048780487805, 0.07317073170731707]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.475, 0.5434782608695652, 0.925, 0.6923076923076923, 0.2, 0.475]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.2608695652173913, 0.32, 0.41304347826086957, 0.3333333333333333, 0.10869565217391304, 0.13043478260869565]","[0, -1, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3076923076923077, 0.4375, 0.41025641025641024, 0.36363636363636365, 0.23076923076923078, 0.10256410256410256]","[1, 5, 0.2647058823529412, 0.32432432432432434, 0.5294117647058824, 0.2727272727272727, 0.14705882352941177, 0.14705882352941177]","[1, 9, 0.3076923076923077, 0.4, 0.8461538461538461, 0.0, 0.23076923076923078, 0.15384615384615385]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
12,2020-05-19,20200519LTHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.23076923076923078, 0.3548387096774194, 0.2692307692307692, 0.3, 0.038461538461538464, 0.11538461538461539]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.28, 0.28, 0.36, 0.2222222222222222, 0.04, 0.12]","[0, -1, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.15, 0.2608695652173913, 0.2, 0.0, 0.05, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2708333333333333, 0.35185185185185186, 0.3125, 0.0, 0.20833333333333334, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 7, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.23255813953488372, 0.30612244897959184, 0.27906976744186046, 0.14285714285714285, 0.046511627906976744, 0.06976744186046512]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.4444444444444444, 0.5098039215686274, 0.9111111111111111, 0.6, 0.2, 0.4444444444444444]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.26, 0.3148148148148148, 0.4, 0.3333333333333333, 0.1, 0.12]","[0, -1, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.2727272727272727, 0.39622641509433965, 0.36363636363636365, 0.3076923076923077, 0.20454545454545456, 0.11363636363636363]","[1, 5, 0.2894736842105263, 0.34146341463414637, 0.5263157894736842, 0.2727272727272727, 0.15789473684210525, 0.13157894736842105]","[0, -1, 0.3076923076923077, 0.4, 0.8461538461538461, 0.0, 0.23076923076923078, 0.15384615384615385]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
13,2020-05-20,20200520LTHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.23076923076923078, 0.3548387096774194, 0.2692307692307692, 0.3, 0.038461538461538464, 0.11538461538461539]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.28, 0.28, 0.36, 0.2222222222222222, 0.04, 0.12]","[0, -1, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.20833333333333334, 0.2962962962962963, 0.375, 0.0, 0.08333333333333333, 0.041666666666666664]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.27450980392156865, 0.3508771929824561, 0.3137254901960784, 0.0, 0.21568627450980393, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 7, 0.8, 0.8333333333333334, 1.6, 0.0, 0.4, 0.4]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.23404255319148937, 0.2962962962962963, 0.2765957446808511, 0.14285714285714285, 0.0425531914893617, 0.0851063829787234]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.4489795918367347, 0.5178571428571429, 0.8775510204081632, 0.5882352941176471, 0.22448979591836735, 0.40816326530612246]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.24528301886792453, 0.3220338983050847, 0.37735849056603776, 0.29411764705882354, 0.11320754716981132, 0.11320754716981132]","[1, 8, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.32653061224489793, 0.43103448275862066, 0.40816326530612246, 0.4, 0.20408163265306123, 0.14285714285714285]","[1, 5, 0.3170731707317073, 0.391304347826087, 0.6097560975609756, 0.3333333333333333, 0.17073170731707318, 0.21951219512195122]","[0, -1, 0.3076923076923077, 0.4, 0.8461538461538461, 0.0, 0.23076923076923078, 0.15384615384615385]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
14,2020-05-21,20200521LTHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.23076923076923078, 0.3548387096774194, 0.2692307692307692, 0.3, 0.038461538461538464, 0.11538461538461539]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.28, 0.28, 0.36, 0.2222222222222222, 0.04, 0.12]","[0, -1, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.20833333333333334, 0.2962962962962963, 0.375, 0.0, 0.08333333333333333, 0.041666666666666664]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.26785714285714285, 0.3387096774193548, 0.32142857142857145, 0.0, 0.19642857142857142, 0.017857142857142856]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 7, 0.4444444444444444, 0.5, 0.8888888888888888, 0.0, 0.2222222222222222, 0.2222222222222222]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.23529411764705882, 0.29310344827586204, 0.27450980392156865, 0.1111111111111111, 0.0392156862745098, 0.0784313725490196]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.4423076923076923, 0.5166666666666667, 0.8653846153846154, 0.5882352941176471, 0.25, 0.38461538461538464]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.26785714285714285, 0.3492063492063492, 0.44642857142857145, 0.29411764705882354, 0.14285714285714285, 0.14285714285714285]","[1, 8, 0.1875, 0.1875, 0.1875, 0.0, 0.1875, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.32075471698113206, 0.41935483870967744, 0.39622641509433965, 0.375, 0.18867924528301888, 0.1320754716981132]","[1, 5, 0.32558139534883723, 0.42, 0.627906976744186, 0.38461538461538464, 0.16279069767441862, 0.2558139534883721]","[1, 9, 0.25, 0.3684210526315789, 0.6875, 0.0, 0.1875, 0.125]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
15,2020-05-22,20200522HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.20689655172413793, 0.3235294117647059, 0.2413793103448276, 0.25, 0.034482758620689655, 0.10344827586206896]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.16666666666666666, 0.06666666666666667, 0.1]","[0, -1, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.21428571428571427, 0.2903225806451613, 0.4642857142857143, 0.0, 0.10714285714285714, 0.07142857142857142]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2786885245901639, 0.34328358208955223, 0.32786885245901637, 0.08333333333333333, 0.18032786885245902, 0.04918032786885246]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 6, 0.46153846153846156, 0.5, 0.7692307692307693, 0.4, 0.23076923076923078, 0.3076923076923077]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2222222222222222, 0.2903225806451613, 0.25925925925925924, 0.09090909090909091, 0.05555555555555555, 0.09259259259259259]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.42857142857142855, 0.5, 0.8214285714285714, 0.5555555555555556, 0.23214285714285715, 0.35714285714285715]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.2631578947368421, 0.373134328358209, 0.43859649122807015, 0.29411764705882354, 0.15789473684210525, 0.14035087719298245]","[0, -1, 0.1875, 0.1875, 0.1875, 0.0, 0.1875, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.32142857142857145, 0.42424242424242425, 0.39285714285714285, 0.375, 0.19642857142857142, 0.125]","[1, 5, 0.3191489361702128, 0.4074074074074074, 0.5957446808510638, 0.35714285714285715, 0.1702127659574468, 0.23404255319148937]","[0, 9, 0.3, 0.391304347826087, 0.7, 0.0, 0.2, 0.1]","[0, 5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
16,2020-05-23,20200523HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.20689655172413793, 0.3235294117647059, 0.2413793103448276, 0.25, 0.034482758620689655, 0.10344827586206896]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.16666666666666666, 0.06666666666666667, 0.1]","[1, 7, 0.0, 0.2, 0.0, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.23333333333333334, 0.30303030303030304, 0.4666666666666667, 0.0, 0.1, 0.06666666666666667]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2878787878787879, 0.3472222222222222, 0.3333333333333333, 0.07692307692307693, 0.18181818181818182, 0.045454545454545456]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 6, 0.4375, 0.5, 0.75, 0.4, 0.1875, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.21052631578947367, 0.2878787878787879, 0.24561403508771928, 0.08333333333333333, 0.05263157894736842, 0.08771929824561403]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.39344262295081966, 0.463768115942029, 0.7540983606557377, 0.5, 0.21311475409836064, 0.32786885245901637]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.2711864406779661, 0.38028169014084506, 0.4406779661016949, 0.29411764705882354, 0.1694915254237288, 0.15254237288135594]","[1, 8, 0.15, 0.15, 0.15, 0.0, 0.15, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.31666666666666665, 0.4225352112676056, 0.38333333333333336, 0.375, 0.18333333333333332, 0.11666666666666667]","[1, 4, 0.3137254901960784, 0.39655172413793105, 0.5686274509803921, 0.35714285714285715, 0.1568627450980392, 0.21568627450980393]","[0, -1, 0.3, 0.391304347826087, 0.7, 0.0, 0.2, 0.1]","[0, 4, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
17,2020-05-24,20200524HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.20689655172413793, 0.34285714285714286, 0.2413793103448276, 0.25, 0.034482758620689655, 0.13793103448275862]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.2647058823529412, 0.2647058823529412, 0.3235294117647059, 0.13333333333333333, 0.058823529411764705, 0.08823529411764706]","[0, 4, 0.0, 0.14285714285714285, 0.0, 0.0, 0.16666666666666666, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.2727272727272727, 0.3333333333333333, 0.48484848484848486, 0.14285714285714285, 0.15151515151515152, 0.06060606060606061]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.28169014084507044, 0.33766233766233766, 0.323943661971831, 0.06666666666666667, 0.19718309859154928, 0.04225352112676056]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0, 9, 0.3684210526315789, 0.4782608695652174, 0.631578947368421, 0.2857142857142857, 0.15789473684210525, 0.21052631578947367]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.21052631578947367, 0.2878787878787879, 0.24561403508771928, 0.08333333333333333, 0.05263157894736842, 0.08771929824561403]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.36923076923076925, 0.44594594594594594, 0.7076923076923077, 0.47619047619047616, 0.2, 0.3230769230769231]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.25806451612903225, 0.3815789473684211, 0.41935483870967744, 0.2777777777777778, 0.1774193548387097, 0.14516129032258066]","[1, 8, 0.25, 0.25, 0.4166666666666667, 0.25, 0.20833333333333334, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.328125, 0.4342105263157895, 0.40625, 0.4444444444444444, 0.171875, 0.15625]","[1, 4, 0.3090909090909091, 0.38095238095238093, 0.5454545454545454, 0.3333333333333333, 0.16363636363636364, 0.21818181818181817]","[1, 6, 0.2857142857142857, 0.375, 0.6666666666666666, 0.0, 0.19047619047619047, 0.09523809523809523]","[0, 9, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
18,2020-05-26,20200526HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2857142857142857, 0.3902439024390244, 0.3142857142857143, 0.3333333333333333, 0.02857142857142857, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2647058823529412, 0.2647058823529412, 0.3235294117647059, 0.13333333333333333, 0.058823529411764705, 0.08823529411764706]","[0, -1, 0.0, 0.14285714285714285, 0.0, 0.0, 0.16666666666666666, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.2727272727272727, 0.3333333333333333, 0.48484848484848486, 0.14285714285714285, 0.15151515151515152, 0.06060606060606061]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2894736842105263, 0.3493975903614458, 0.34210526315789475, 0.06666666666666667, 0.18421052631578946, 0.039473684210526314]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[0, -1, 0.3684210526315789, 0.4782608695652174, 0.631578947368421, 0.2857142857142857, 0.15789473684210525, 0.21052631578947367]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.21666666666666667, 0.2898550724637681, 0.25, 0.07692307692307693, 0.05, 0.08333333333333333]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.3380281690140845, 0.4125, 0.647887323943662, 0.43478260869565216, 0.18309859154929578, 0.29577464788732394]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.2537313432835821, 0.3780487804878049, 0.40298507462686567, 0.2777777777777778, 0.208955223880597, 0.13432835820895522]","[1, 7, 0.23333333333333334, 0.23333333333333334, 0.36666666666666664, 0.2, 0.16666666666666666, 0.06666666666666667]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3283582089552239, 0.43037974683544306, 0.40298507462686567, 0.4444444444444444, 0.16417910447761194, 0.14925373134328357]","[1, 5, 0.3333333333333333, 0.39705882352941174, 0.5666666666666667, 0.375, 0.15, 0.21666666666666667]","[0, -1, 0.2857142857142857, 0.375, 0.6666666666666666, 0.0, 0.19047619047619047, 0.09523809523809523]","[0, 5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
19,2020-05-27,20200527HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.28205128205128205, 0.391304347826087, 0.3076923076923077, 0.29411764705882354, 0.02564102564102564, 0.1282051282051282]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.2702702702702703, 0.2702702702702703, 0.32432432432432434, 0.13333333333333333, 0.05405405405405406, 0.08108108108108109]","[0, -1, 0.0, 0.14285714285714285, 0.0, 0.0, 0.16666666666666666, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2727272727272727, 0.3333333333333333, 0.48484848484848486, 0.14285714285714285, 0.15151515151515152, 0.06060606060606061]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2839506172839506, 0.3409090909090909, 0.3333333333333333, 0.0625, 0.18518518518518517, 0.037037037037037035]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0]","[1, 6, 0.35, 0.4583333333333333, 0.6, 0.2857142857142857, 0.15, 0.2]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.20967741935483872, 0.2916666666666667, 0.24193548387096775, 0.07142857142857142, 0.04838709677419355, 0.08064516129032258]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.3466666666666667, 0.4235294117647059, 0.6533333333333333, 0.4583333333333333, 0.18666666666666668, 0.29333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.28169014084507044, 0.40229885057471265, 0.4225352112676056, 0.3, 0.19718309859154928, 0.14084507042253522]","[1, 7, 0.24242424242424243, 0.2571428571428571, 0.36363636363636365, 0.16666666666666666, 0.15151515151515152, 0.12121212121212122]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3611111111111111, 0.4523809523809524, 0.4305555555555556, 0.5, 0.18055555555555555, 0.1388888888888889]","[1, 5, 0.3125, 0.3835616438356164, 0.53125, 0.3333333333333333, 0.140625, 0.203125]","[1, 8, 0.2692307692307692, 0.36666666666666664, 0.5769230769230769, 0.16666666666666666, 0.15384615384615385, 0.11538461538461539]","[0, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0.17647058823529413, 0.34782608695652173, 0.17647058823529413, 0.0, 0.058823529411764705, 0.058823529411764705]"
