,date,game_key,뷰캐넌,홍원표,황동재,허윤동,이승민,이승현,김대우,임현준,노성호,이재익,이수민,구준범,홍정우,박세웅,최충연,임대한,최지광,장지훈,김시현,김윤수,양창섭,최채흥,김용하,라이블리,원태인,우규민,윤성환,오승환,백정현,장필준,정인욱,권오준
31,2020-06-10,20200610WOSS0,"[0, 0, 4.5, 1.1875, 2.375, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.951219512195122, 1.3902439024390245, 1.875, 1.0512820512820513]","[0, 0, 4.5, 1.4375, 1.0, 2.2857142857142856]","[0, 0, 0.0, 1.0434782608695652, 1.5, 0.638888888888889]","[0, 0, 0.8181818181818182, 1.6363636363636365, 0.8888888888888888, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.4, 2.8, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.3846153846153846, 1.1538461538461537, 2.25, 1.0]","[0, 0, 7.0, 2.3333333333333335, 0.75, 1.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3333333333333333, 5.5, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.4545454545454546, 1.121212121212121, 2.625, 5.5]","[0, 1, 3.8571428571428568, 0.75, 8, 1.0370370370370372]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.0, 0.0, 1.0]","[1, 0, 10.285714285714285, 2.142857142857143, 6.0, 4.666666666666667]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.043478260869565, 1.1739130434782608, 2, 1.277777777777778]"
32,2020-06-11,20200611WOSS0,"[0, 0, 4.5, 1.1875, 2.375, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.4318181818181819, 1.875, 1.0476190476190477]","[1, 0, 4.285714285714286, 1.4285714285714286, 0.7272727272727273, 2.625]","[0, 0, 0.0, 1.0434782608695652, 1.5, 0.638888888888889]","[0, 1, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.4, 2.8, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2857142857142856, 1.0714285714285714, 2.25, 1.0]","[0, 0, 7.0, 2.3333333333333335, 0.75, 1.125]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.769230769230769, 1.2307692307692308, 6.5, 1.1818181818181819]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.4545454545454546, 1.121212121212121, 2.625, 5.5]","[0, 1, 3.4838709677419355, 0.6774193548387096, 10, 1.0333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 2.0, 0.0, 1.0]","[0, 0, 10.285714285714285, 2.142857142857143, 6.0, 4.666666666666667]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.043478260869565, 1.1739130434782608, 2, 1.277777777777778]"
33,2020-06-13,20200613KTSS1,"[1, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.909090909090909, 1.4318181818181819, 1.875, 1.0476190476190477]","[0, 0, 4.285714285714286, 1.4285714285714286, 0.7272727272727273, 2.625]","[0, 0, 0.0, 1.0434782608695652, 1.5, 0.638888888888889]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.4, 2.8, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2, 1.0, 2.625, 1.0]","[0, 0, 7.0, 2.3333333333333335, 0.75, 1.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.769230769230769, 1.2307692307692308, 6.5, 1.1818181818181819]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.4545454545454546, 1.121212121212121, 2.625, 5.5]","[0, 1, 3.176470588235294, 0.6176470588235293, 10, 1.0303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 2.5, 0.5, 1.0]","[0, 0, 10.285714285714285, 2.142857142857143, 6.0, 4.666666666666667]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.043478260869565, 1.1739130434782608, 2, 1.277777777777778]"
34,2020-06-13,20200613KTSS2,"[0, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[1, 0, 0, 0, 0, 0]","[0, 1, 5.74468085106383, 1.4680851063829787, 2.0, 1.0444444444444445]","[0, 0, 4.285714285714286, 1.4285714285714286, 0.7272727272727273, 2.625]","[0, 1, 0.0, 1.0384615384615385, 1.5, 0.6666666666666666]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.4, 2.8, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 1.0, 2.625, 1.0]","[0, 1, 6.096774193548387, 2.225806451612903, 0.6, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.571428571428571, 1.2142857142857142, 4.333333333333333, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.4545454545454546, 1.121212121212121, 2.625, 5.5]","[0, 0, 3.176470588235294, 0.6176470588235293, 10, 1.0303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.5, 0.5, 1.0]","[0, 0, 10.285714285714285, 2.142857142857143, 6.0, 4.666666666666667]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.0384615384615385, 2, 1.238095238095238]"
35,2020-06-14,20200614KTSS0,"[0, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.38, 2.125, 1.0416666666666667]","[0, 0, 4.285714285714286, 1.4285714285714286, 0.7272727272727273, 2.625]","[0, 0, 0.0, 1.0384615384615385, 1.5, 0.6666666666666666]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 12.0, 2.3333333333333335, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2, 1.0, 2.625, 1.0]","[0, 0, 6.096774193548387, 2.225806451612903, 0.6, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 1.2666666666666666, 3.5, 1.1538461538461537]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[1, 0, 2.675675675675676, 1.2702702702702702, 1.8461538461538463, 5.285714285714286]","[0, 0, 3.176470588235294, 0.6176470588235293, 10, 1.0303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.5, 0.5, 1.0]","[0, 0, 10.285714285714285, 2.142857142857143, 6.0, 4.666666666666667]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.0384615384615385, 2, 1.238095238095238]"
36,2020-06-16,20200616SSOB0,"[0, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.09433962264151, 1.4150943396226414, 2.25, 1.0392156862745099]","[0, 0, 4.285714285714286, 1.4285714285714286, 0.7272727272727273, 2.625]","[0, 1, 0.0, 0.9310344827586208, 3.0, 0.6904761904761905]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.0, 2.3333333333333335, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1739130434782608, 1.0434782608695652, 2.3333333333333335, 0.9583333333333334]","[0, 0, 6.096774193548387, 2.225806451612903, 0.6, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.2666666666666666, 3.5, 1.1538461538461537]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.675675675675676, 1.2702702702702702, 1.8461538461538463, 5.285714285714286]","[0, 1, 2.9189189189189193, 0.5675675675675675, 11, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 2.3333333333333335, 0.6666666666666666, 1.0]","[1, 0, 7.2, 1.7, 4.0, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.0384615384615385, 2, 1.238095238095238]"
37,2020-06-17,20200617SSOB0,"[0, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.6, 0.25, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.09433962264151, 1.4150943396226414, 2.25, 1.0392156862745099]","[1, 0, 3.8076923076923075, 1.3461538461538463, 0.75, 2.888888888888889]","[0, 1, 0.0, 0.9, 3.0, 0.6666666666666666]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.0, 2.3333333333333335, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1020408163265305, 1.0408163265306123, 2.2, 0.9607843137254901]","[0, 0, 6.096774193548387, 2.225806451612903, 0.6, 1.1481481481481481]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.25, 3.75, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.675675675675676, 1.2702702702702702, 1.8461538461538463, 5.285714285714286]","[0, 0, 2.9189189189189193, 0.5675675675675675, 11, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 2.25, 0.6, 1.0]","[0, 0, 7.2, 1.7, 4.0, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.0384615384615385, 2, 1.238095238095238]"
38,2020-06-18,20200618SSOB0,"[0, 0, 3.789473684210526, 1.1842105263157894, 2.1818181818181817, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.7, 1.7, 0.2, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.909090909090909, 1.4727272727272729, 1.8, 1.0185185185185184]","[0, 0, 3.8076923076923075, 1.3461538461538463, 0.75, 2.888888888888889]","[0, 1, 0.9, 1.0, 3.0, 0.625]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.0, 2.3333333333333335, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1020408163265305, 1.0408163265306123, 2.2, 0.9607843137254901]","[0, 1, 5.5588235294117645, 2.1176470588235294, 0.6363636363636364, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.2399999999999998, 1.2, 3.75, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.675675675675676, 1.2702702702702702, 1.8461538461538463, 5.285714285714286]","[0, 0, 2.9189189189189193, 0.5675675675675675, 11, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.25, 0.6, 1.0]","[0, 0, 7.2, 1.7, 4.0, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 1.1111111111111112, 3, 1.125]"
39,2020-06-19,20200619SSHT0,"[1, 0, 3.626865671641791, 1.119402985074627, 2.4545454545454546, 6.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.7, 0.2, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 0, 3.8076923076923075, 1.3461538461538463, 0.75, 2.888888888888889]","[0, 1, 0.8709677419354839, 0.9677419354838709, 3.0, 0.607843137254902]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 12.0, 2.3333333333333335, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0188679245283019, 1.0754716981132075, 2.3, 0.9814814814814815]","[0, 1, 5.837837837837839, 2.189189189189189, 0.6363636363636364, 1.1212121212121213]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2399999999999998, 1.2, 3.75, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.675675675675676, 1.2702702702702702, 1.8461538461538463, 5.285714285714286]","[0, 0, 2.9189189189189193, 0.5675675675675675, 11, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.25, 0.6, 1.0]","[0, 0, 7.2, 1.7, 4.0, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.1111111111111112, 3, 1.125]"
40,2020-06-20,20200620SSHT0,"[0, 0, 3.626865671641791, 1.119402985074627, 2.4545454545454546, 6.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.7, 0.2, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 0, 3.8076923076923075, 1.3461538461538463, 0.75, 2.888888888888889]","[0, 0, 0.8709677419354839, 0.9677419354838709, 3.0, 0.607843137254902]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.285714285714285, 2.0, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0188679245283019, 1.0754716981132075, 2.3, 0.9814814814814815]","[0, 0, 5.837837837837839, 2.189189189189189, 0.6363636363636364, 1.1212121212121213]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 1.326923076923077, 3.75, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[1, 0, 2.302325581395349, 1.302325581395349, 2.0714285714285716, 5.375]","[0, 0, 2.9189189189189193, 0.5675675675675675, 11, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.25, 0.6, 1.0]","[0, 0, 7.2, 1.7, 4.0, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.1785714285714286, 3, 1.0370370370370372]"
41,2020-06-21,20200621SSHT0,"[0, 0, 3.626865671641791, 1.119402985074627, 2.4545454545454546, 6.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.7, 0.2, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 0, 3.8076923076923075, 1.3461538461538463, 0.75, 2.888888888888889]","[0, 0, 0.8709677419354839, 0.9677419354838709, 3.0, 0.607843137254902]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.285714285714285, 2.0, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0188679245283019, 1.0754716981132075, 2.3, 0.9814814814814815]","[0, 1, 5.4, 2.025, 0.9090909090909091, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.153846153846154, 1.326923076923077, 3.75, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.214285714285714, 1.25, 1.9166666666666667, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.302325581395349, 1.302325581395349, 2.0714285714285716, 5.375]","[0, 1, 2.7, 0.6749999999999999, 5.5, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.25, 0.6, 1.0]","[1, 0, 6.4799999999999995, 1.72, 2.7142857142857144, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.1785714285714286, 3, 1.0370370370370372]"
42,2020-06-23,20200623HHSS0,"[0, 0, 3.626865671641791, 1.119402985074627, 2.4545454545454546, 6.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.7, 0.2, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 1, 3.6562499999999996, 1.28125, 0.7692307692307693, 3.2]","[0, 0, 0.8709677419354839, 0.9677419354838709, 3.0, 0.607843137254902]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.285714285714285, 2.0, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.9642857142857142, 1.0714285714285714, 2.1818181818181817, 0.9824561403508772]","[0, 1, 5.023255813953488, 1.9534883720930232, 0.9090909090909091, 1.1025641025641026]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.789473684210526, 1.263157894736842, 3.4, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.408163265306122, 1.4081632653061225, 1.411764705882353, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.302325581395349, 1.302325581395349, 2.0714285714285716, 5.375]","[0, 0, 2.7, 0.6749999999999999, 5.5, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.25, 0.6, 1.0]","[0, 0, 6.4799999999999995, 1.72, 2.7142857142857144, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.1785714285714286, 3, 1.0370370370370372]"
43,2020-06-24,20200624HHSS0,"[0, 0, 3.626865671641791, 1.119402985074627, 2.4545454545454546, 6.3809523809523805]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6, 1.6666666666666667, 0.5, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 0, 3.6562499999999996, 1.28125, 0.7692307692307693, 3.2]","[0, 0, 0.8709677419354839, 0.9677419354838709, 3.0, 0.607843137254902]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.285714285714285, 2.0, 2.6666666666666665, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.9310344827586207, 1.0344827586206897, 2.272727272727273, 0.9666666666666666]","[0, 1, 4.695652173913043, 2.0217391304347827, 1.0, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.789473684210526, 1.263157894736842, 3.4, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.4081632653061225, 1.411764705882353, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.302325581395349, 1.302325581395349, 2.0714285714285716, 5.375]","[0, 1, 4.395348837209303, 0.9767441860465116, 5.5, 1.023809523809524]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 1.8, 0.8, 1.0]","[0, 0, 6.4799999999999995, 1.72, 2.7142857142857144, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.1785714285714286, 3, 1.0370370370370372]"
44,2020-06-25,20200625HHSS0,"[1, 0, 3.6241610738255035, 1.2080536912751678, 2.6153846153846154, 6.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.6666666666666667, 0.5, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.7368421052631575, 1.4736842105263157, 1.7272727272727273, 1.0]","[0, 0, 3.6562499999999996, 1.28125, 0.7692307692307693, 3.2]","[0, 1, 0.8709677419354839, 1.161290322580645, 3.0, 0.5740740740740741]","[0, 0, 1.5, 1.75, 1.0, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.875, 3.3333333333333335, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9310344827586207, 1.0344827586206897, 2.272727272727273, 0.9666666666666666]","[0, 0, 4.695652173913043, 2.0217391304347827, 1.0, 1.0952380952380953]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.789473684210526, 1.263157894736842, 3.4, 1.1176470588235294]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.4081632653061225, 1.411764705882353, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.538461538461538, 1.3846153846153846, 2.0, 4.333333333333333]","[0, 0, 2.302325581395349, 1.302325581395349, 2.0714285714285716, 5.375]","[0, 0, 4.395348837209303, 0.9767441860465116, 5.5, 1.023809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.8, 0.8, 1.0]","[0, 0, 6.4799999999999995, 1.72, 2.7142857142857144, 5.0]","[0, 0, 0.0, 0.42857142857142855, 1.5, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.517241379310345, 1.3448275862068966, 3, 0.9666666666666666]"
