,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20190323LGHT0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20190324LGHT0,"[0, 0, 0, 0]","[0.5, 0.5, 0.75, 0.0, 0.0, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.5, 0.75, 0.0, 0.25, 0.0]","[0.6666666666666666, 0.75, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 0.0, 0.3333333333333333]","[0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.0]"
2,20190326LGSK0,"[0, 0, 0, 0]","[0.625, 0.7, 0.875, 0.0, 0.25, 0.125]","[0.125, 0.2222222222222222, 0.5, 0.3333333333333333, 0.125, 0.375]","[0.125, 0.2222222222222222, 0.125, 0.3333333333333333, 0.25, 0.125]","[0.2222222222222222, 0.2222222222222222, 0.5555555555555556, 0.0, 0.1111111111111111, 0.2222222222222222]","[0.4444444444444444, 0.4444444444444444, 0.6666666666666666, 0.0, 0.2222222222222222, 0.0]","[0.5714285714285714, 0.6666666666666666, 0.8571428571428571, 0.3333333333333333, 0.14285714285714285, 0.2857142857142857]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2857142857142857, 0.375, 0.2857142857142857, 0.5, 0.14285714285714285, 0.14285714285714285]","[0.0, 0.25, 0.0, 0.0, 0.16666666666666666, 0.0]"
3,20190327LGSK0,"[0, 0, 0, 0]","[0.45454545454545453, 0.6, 0.6363636363636364, 0.0, 0.18181818181818182, 0.09090909090909091]","[0.07692307692307693, 0.14285714285714285, 0.3076923076923077, 0.25, 0.15384615384615385, 0.23076923076923078]","[0.1111111111111111, 0.38461538461538464, 0.1111111111111111, 0.3333333333333333, 0.4444444444444444, 0.1111111111111111]","[0.25, 0.3076923076923077, 0.75, 1.0, 0.25, 0.4166666666666667]","[0.38461538461538464, 0.38461538461538464, 0.5384615384615384, 1.0, 0.15384615384615385, 0.0]","[0.45454545454545453, 0.5384615384615384, 0.6363636363636364, 0.25, 0.18181818181818182, 0.2727272727272727]","[0.1111111111111111, 0.1, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222]","[0.2727272727272727, 0.3333333333333333, 0.36363636363636365, 0.3333333333333333, 0.09090909090909091, 0.09090909090909091]","[0.0, 0.2, 0.0, 0.0, 0.125, 0.0]"
4,20190328LGSK0,"[0, 0, 0, 0]","[0.29411764705882354, 0.42857142857142855, 0.4117647058823529, 0.0, 0.11764705882352941, 0.058823529411764705]","[0.05555555555555555, 0.10526315789473684, 0.2222222222222222, 0.2, 0.1111111111111111, 0.16666666666666666]","[0.09090909090909091, 0.4117647058823529, 0.09090909090909091, 0.3333333333333333, 0.36363636363636365, 0.09090909090909091]","[0.2857142857142857, 0.4444444444444444, 0.7142857142857143, 1.0, 0.21428571428571427, 0.35714285714285715]","[0.3888888888888889, 0.3888888888888889, 0.5, 1.0, 0.1111111111111111, 0.0]","[0.375, 0.4444444444444444, 0.5, 0.16666666666666666, 0.125, 0.1875]","[0.23076923076923078, 0.26666666666666666, 0.3076923076923077, 0.0, 0.0, 0.15384615384615385]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08333333333333333, 0.21428571428571427, 0.08333333333333333, 0.0, 0.08333333333333333, 0.0]"
5,20190329LTLG0,"[0.0, 0.7142857142857143, 2.0, 7.0]","[0.2857142857142857, 0.4, 0.5238095238095238, 0.0, 0.14285714285714285, 0.09523809523809523]","[0.06666666666666667, 0.17647058823529413, 0.06666666666666667, 0.0, 0.06666666666666667, 0.0]","[0.06666666666666667, 0.3333333333333333, 0.06666666666666667, 0.3333333333333333, 0.26666666666666666, 0.06666666666666667]","[0.25, 0.42857142857142855, 0.625, 1.0, 0.1875, 0.3125]","[0.3333333333333333, 0.3333333333333333, 0.42857142857142855, 1.0, 0.09523809523809523, 0.0]","[0.3125, 0.35294117647058826, 0.4375, 0.3333333333333333, 0.0625, 0.0625]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.1875, 0.2222222222222222, 0.25, 0.0, 0.0, 0.125]","[0.09090909090909091, 0.13043478260869565, 0.22727272727272727, 0.2, 0.09090909090909091, 0.13636363636363635]"
6,20190330LTLG0,"[1.5, 1.0, 5, 6.0]","[0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.25, 0.0, 0.14285714285714285]","[0.08333333333333333, 0.15384615384615385, 0.20833333333333334, 0.16666666666666666, 0.08333333333333333, 0.125]","[0.05263157894736842, 0.28, 0.05263157894736842, 0.2, 0.21052631578947367, 0.05263157894736842]","[0.25, 0.4, 0.7, 0.3333333333333333, 0.2, 0.3]","[0.375, 0.4, 0.5, 1.0, 0.125, 0.0]","[0.3, 0.36363636363636365, 0.4, 0.14285714285714285, 0.1, 0.15]","[0.16666666666666666, 0.2, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111]","[0.3157894736842105, 0.38095238095238093, 0.42105263157894735, 0.25, 0.05263157894736842, 0.05263157894736842]","[0.058823529411764705, 0.23809523809523808, 0.058823529411764705, 0.0, 0.058823529411764705, 0.0]"
7,20190331LTLG0,"[5.4, 1.6, 7, 5.0]","[0.24, 0.36666666666666664, 0.44, 0.0, 0.12, 0.08]","[0.1111111111111111, 0.1724137931034483, 0.2222222222222222, 0.16666666666666666, 0.07407407407407407, 0.1111111111111111]","[0.08695652173913043, 0.27586206896551724, 0.08695652173913043, 0.16666666666666666, 0.21739130434782608, 0.043478260869565216]","[0.22727272727272727, 0.41379310344827586, 0.6363636363636364, 0.25, 0.18181818181818182, 0.2727272727272727]","[0.3333333333333333, 0.35714285714285715, 0.4444444444444444, 0.75, 0.1111111111111111, 0.0]","[0.2608695652173913, 0.3076923076923077, 0.34782608695652173, 0.14285714285714285, 0.08695652173913043, 0.17391304347826086]","[0.13636363636363635, 0.16666666666666666, 0.18181818181818182, 0.0, 0.0, 0.09090909090909091]","[0.2857142857142857, 0.34782608695652173, 0.38095238095238093, 0.25, 0.047619047619047616, 0.047619047619047616]","[0.10526315789473684, 0.2608695652173913, 0.10526315789473684, 0.0, 0.05263157894736842, 0.0]"
8,20190402LGHH0,"[1.5, 0.6666666666666666, 4.0, 6.0]","[0.2413793103448276, 0.37142857142857144, 0.41379310344827586, 0.14285714285714285, 0.10344827586206896, 0.10344827586206896]","[0.12903225806451613, 0.20588235294117646, 0.22580645161290322, 0.25, 0.06451612903225806, 0.0967741935483871]","[0.32142857142857145, 0.3548387096774194, 0.39285714285714285, 0.14285714285714285, 0.10714285714285714, 0.14285714285714285]","[0.14285714285714285, 0.29411764705882354, 0.14285714285714285, 0.2222222222222222, 0.21428571428571427, 0.07142857142857142]","[0.3125, 0.3333333333333333, 0.40625, 0.6, 0.09375, 0.0]","[0.2692307692307692, 0.32142857142857145, 0.38461538461538464, 0.3333333333333333, 0.038461538461538464, 0.07692307692307693]","[0.13043478260869565, 0.16, 0.17391304347826086, 0.0, 0.0, 0.08695652173913043]","[0.0, 0.5, 0.0, 0.0, 1.0, 0.0]","[0.17391304347826086, 0.2962962962962963, 0.21739130434782608, 0.14285714285714285, 0.13043478260869565, 0.043478260869565216]"
9,20190403LGHH0,"[1.8, 0.4, 5.0, 5.0]","[0.24242424242424243, 0.358974358974359, 0.3939393939393939, 0.125, 0.09090909090909091, 0.09090909090909091]","[0.15384615384615385, 0.26666666666666666, 0.19230769230769232, 0.125, 0.11538461538461539, 0.038461538461538464]","[0.2903225806451613, 0.34285714285714286, 0.3548387096774194, 0.14285714285714285, 0.12903225806451613, 0.12903225806451613]","[0.1875, 0.3157894736842105, 0.1875, 0.3, 0.1875, 0.09375]","[0.3333333333333333, 0.35135135135135137, 0.4166666666666667, 0.6666666666666666, 0.08333333333333333, 0.027777777777777776]","[0.23333333333333334, 0.28125, 0.3333333333333333, 0.2857142857142857, 0.03333333333333333, 0.06666666666666667]","[0.14285714285714285, 0.21052631578947367, 0.22857142857142856, 0.25, 0.08571428571428572, 0.08571428571428572]","[0.12, 0.17857142857142858, 0.16, 0.0, 0.0, 0.08]","[0.0, 0.6, 0.0, 0.0, 0.5, 0.0]"
