,date,game_key,이현호,강동연,박정준,윤명준,변진수,이동원,이형범,함덕주,박종기,윤수호,린드블럼,유재유,이영하,최원준,박치국,김민규,후랭코프,박신지,김호준,전창민,이교훈,이재민,배영수,권혁,김승회,장원준,최대성,이현승,이용찬,김강률,홍상삼,유희관,허준혁
43,2019-05-14,20190514SSOB0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.528301886792453, 1.3018867924528301, 2.0, 0.9298245614035089]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.1774193548387095, 1.1129032258064515, 1.8, 0.8611111111111112]","[0, 1, 3.6346153846153846, 1.326923076923077, 1.1, 0.9122807017543859]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5379746835443038, 0.9683544303797469, 6.285714285714286, 6.583333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6, 1.1111111111111112, 1.0, 6.428571428571429]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 6.319148936170213, 1.5319148936170213, 4.333333333333333, 0.8703703703703703]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3071428571428572, 3.3333333333333335, 5.833333333333333]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 0.3333333333333333, 1.25]","[0, 1, 4.5, 1.25, 3.0, 1.0]","[0, 1, 2.7, 1.3, 2.142857142857143, 0.9523809523809523]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.5217391304347827, 1.3043478260869565, 3.625, 5.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.628571428571429, 1.6285714285714286, 1.9090909090909092, 5.0]","[0, 0, 0, 0, 0, 0]"
44,2019-05-15,20190515SSOB0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.528301886792453, 1.3018867924528301, 2.0, 0.9298245614035089]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1774193548387095, 1.1129032258064515, 1.8, 0.8611111111111112]","[0, 1, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.5254237288135593, 1.0, 6.25, 6.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6, 1.1111111111111112, 1.0, 6.428571428571429]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 6.319148936170213, 1.5319148936170213, 4.333333333333333, 0.8703703703703703]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3071428571428572, 3.3333333333333335, 5.833333333333333]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 0.3333333333333333, 1.25]","[0, 0, 4.5, 1.25, 3.0, 1.0]","[0, 1, 2.571428571428571, 1.2380952380952381, 2.2857142857142856, 0.9545454545454546]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.5217391304347827, 1.3043478260869565, 3.625, 5.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.628571428571429, 1.6285714285714286, 1.9090909090909092, 5.0]","[0, 0, 0, 0, 0, 0]"
45,2019-05-16,20190516SSOB0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.528301886792453, 1.3018867924528301, 2.0, 0.9298245614035089]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1774193548387095, 1.1129032258064515, 1.8, 0.8611111111111112]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5254237288135593, 1.0, 6.25, 6.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6, 1.1111111111111112, 1.0, 6.428571428571429]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 6.319148936170213, 1.5319148936170213, 4.333333333333333, 0.8703703703703703]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.3071428571428572, 3.3333333333333335, 5.833333333333333]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 0.3333333333333333, 1.25]","[0, 0, 4.5, 1.25, 3.0, 1.0]","[0, 0, 2.571428571428571, 1.2380952380952381, 2.2857142857142856, 0.9545454545454546]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.5217391304347827, 1.3043478260869565, 3.625, 5.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.32, 1.512, 1.8333333333333333, 5.208333333333333]","[0, 0, 0, 0, 0, 0]"
46,2019-05-17,20190517OBSK0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4727272727272727, 1.309090909090909, 1.7142857142857142, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.142857142857143, 1.0952380952380953, 1.8, 0.84]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5254237288135593, 1.0, 6.25, 6.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6, 1.1111111111111112, 1.0, 6.428571428571429]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 7.788461538461537, 1.7884615384615385, 3.5, 0.9122807017543859]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 0.3333333333333333, 1.25]","[0, 1, 4.153846153846154, 1.153846153846154, 3.0, 0.8666666666666666]","[0, 1, 2.4545454545454546, 1.1818181818181819, 2.2857142857142856, 0.9565217391304348]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.5217391304347827, 1.3043478260869565, 3.625, 5.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 1.512, 1.8333333333333333, 5.208333333333333]","[0, 0, 0, 0, 0, 0]"
47,2019-05-18,20190518OBSK0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.396551724137931, 1.2413793103448276, 1.8571428571428572, 0.9206349206349206]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 1.1076923076923075, 1.8, 0.8333333333333334]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5254237288135593, 1.0, 6.25, 6.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6, 1.1111111111111112, 1.0, 6.428571428571429]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 7.641509433962264, 1.811320754716981, 3.5, 0.8833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.0, 1.1111111111111112, 0.3333333333333333, 1.3846153846153846]","[0, 1, 3.8571428571428568, 1.2857142857142856, 3.0, 0.7777777777777778]","[0, 0, 2.4545454545454546, 1.1818181818181819, 2.2857142857142856, 0.9565217391304348]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[1, 0, 3.103448275862069, 1.206896551724138, 3.5555555555555554, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 1.512, 1.8333333333333333, 5.208333333333333]","[0, 0, 0, 0, 0, 0]"
48,2019-05-21,20190521OBKT0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8305084745762712, 1.271186440677966, 1.8571428571428572, 0.893939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.0454545454545454, 1.1363636363636365, 1.8, 0.8148148148148148]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.5254237288135593, 1.0, 6.25, 6.555555555555555]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.8797468354430378, 1.139240506329114, 0.88, 6.583333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 8.150943396226415, 1.8679245283018866, 3.5, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.3230769230769233, 0.9692307692307692, 1.6666666666666667, 1.5476190476190477]","[0, 1, 3.6, 1.2, 3.0, 0.7142857142857143]","[0, 1, 2.7794117647058822, 1.2794117647058822, 1.7, 0.9444444444444445]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.103448275862069, 1.206896551724138, 3.5555555555555554, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 1.512, 1.8333333333333333, 5.208333333333333]","[0, 0, 0, 0, 0, 0]"
49,2019-05-22,20190522OBKT0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.7704918032786887, 1.3278688524590165, 1.75, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0454545454545454, 1.1363636363636365, 1.8, 0.8148148148148148]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.4776119402985075, 0.8955223880597015, 7.625, 6.7]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8797468354430378, 1.139240506329114, 0.88, 6.583333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 8.150943396226415, 1.8679245283018866, 3.5, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3230769230769233, 0.9692307692307692, 1.6666666666666667, 1.5476190476190477]","[0, 1, 4.5, 1.1666666666666667, 4.0, 0.75]","[0, 0, 2.7794117647058822, 1.2794117647058822, 1.7, 0.9444444444444445]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.103448275862069, 1.206896551724138, 3.5555555555555554, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 1.512, 1.8333333333333333, 5.208333333333333]","[0, 0, 0, 0, 0, 0]"
50,2019-05-23,20190523OBKT0,"[0, 0, 2.109375, 1.171875, 4.0, 2.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.7704918032786887, 1.3278688524590165, 1.75, 0.8840579710144927]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.0454545454545454, 1.2272727272727273, 1.5, 0.7857142857142857]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4776119402985075, 0.8955223880597015, 7.625, 6.7]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8797468354430378, 1.139240506329114, 0.88, 6.583333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 7.578947368421052, 1.7894736842105263, 3.75, 0.8636363636363636]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.272727272727273, 1.0, 1.6666666666666667, 1.4666666666666666]","[0, 0, 4.5, 1.1666666666666667, 4.0, 0.75]","[0, 0, 2.7794117647058822, 1.2794117647058822, 1.7, 0.9444444444444445]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.103448275862069, 1.206896551724138, 3.5555555555555554, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.730263157894737, 1.3421052631578947, 2.1666666666666665, 5.62962962962963]","[0, 0, 0, 0, 0, 0]"
51,2019-05-24,20190524HHOB0,"[1, 0, 3.471428571428571, 1.3285714285714287, 4.333333333333333, 2.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6119402985074627, 1.2985074626865671, 1.75, 0.9305555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0454545454545454, 1.2272727272727273, 1.5, 0.7857142857142857]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4776119402985075, 0.8955223880597015, 7.625, 6.7]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8797468354430378, 1.139240506329114, 0.88, 6.583333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 7.448275862068965, 1.8620689655172415, 3.0, 0.8405797101449275]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 1, 4.05, 1.05, 5.0, 0.7407407407407408]","[0, 1, 3.5217391304347827, 1.391304347826087, 1.5454545454545454, 0.92]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 3.103448275862069, 1.206896551724138, 3.5555555555555554, 5.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.730263157894737, 1.3421052631578947, 2.1666666666666665, 5.62962962962963]","[0, 0, 0, 0, 0, 0]"
52,2019-05-25,20190525HHOB0,"[0, 0, 3.471428571428571, 1.3285714285714287, 4.333333333333333, 2.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.565217391304348, 1.3478260869565217, 1.5555555555555556, 0.92]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.2428571428571429, 1.2857142857142858, 0.8045977011494252]","[0, 0, 4.153846153846154, 1.5, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4776119402985075, 0.8955223880597015, 7.625, 6.7]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8797468354430378, 1.139240506329114, 0.88, 6.583333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 7.448275862068965, 1.8620689655172415, 3.0, 0.8405797101449275]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 1, 5.142857142857142, 1.1428571428571428, 5.0, 0.7]","[0, 1, 3.375, 1.375, 1.5454545454545454, 0.9230769230769231]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[1, 0, 2.80188679245283, 1.2452830188679245, 4.444444444444445, 5.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.730263157894737, 1.3421052631578947, 2.1666666666666665, 5.62962962962963]","[0, 0, 0, 0, 0, 0]"
53,2019-05-26,20190526HHOB0,"[0, 0, 3.471428571428571, 1.3285714285714287, 4.333333333333333, 2.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.565217391304348, 1.3478260869565217, 1.5555555555555556, 0.92]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.2428571428571429, 1.2857142857142858, 0.8045977011494252]","[0, 1, 4.153846153846154, 1.5576923076923077, 0.9166666666666666, 0.8253968253968254]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4776119402985075, 0.8955223880597015, 7.625, 6.7]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.3684210526315788, 1.2105263157894737, 0.8275862068965517, 6.333333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 7.081967213114755, 1.7704918032786887, 3.2, 0.8472222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 1, 4.32, 0.96, 5.0, 0.7575757575757577]","[0, 0, 3.375, 1.375, 1.5454545454545454, 0.9230769230769231]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 2.80188679245283, 1.2452830188679245, 4.444444444444445, 5.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.730263157894737, 1.3421052631578947, 2.1666666666666665, 5.62962962962963]","[0, 0, 0, 0, 0, 0]"
54,2019-05-28,20190528SSOB0,"[0, 0, 3.471428571428571, 1.3285714285714287, 4.333333333333333, 2.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4794520547945205, 1.356164383561644, 1.5555555555555556, 0.9358974358974359]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.2428571428571429, 1.2857142857142858, 0.8045977011494252]","[0, 1, 3.8571428571428568, 1.5, 0.8461538461538461, 0.8484848484848485]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.7419354838709677, 0.9539170506912443, 6.0, 6.575757575757575]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3684210526315788, 1.2105263157894737, 0.8275862068965517, 6.333333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 0, 7.081967213114755, 1.7704918032786887, 3.2, 0.8472222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 1, 4.0, 1.1111111111111112, 5.0, 0.75]","[0, 1, 3.2837837837837838, 1.3783783783783783, 1.5454545454545454, 0.9135802469135803]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 2.80188679245283, 1.2452830188679245, 4.444444444444445, 5.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.730263157894737, 1.3421052631578947, 2.1666666666666665, 5.62962962962963]","[0, 0, 0, 0, 0, 0]"
55,2019-05-29,20190529SSOB0,"[0, 0, 3.471428571428571, 1.3285714285714287, 4.333333333333333, 2.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4794520547945205, 1.356164383561644, 1.5555555555555556, 0.9358974358974359]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.625, 1.375, 1.2857142857142858, 0.8]","[0, 1, 3.6610169491525424, 1.4745762711864405, 0.9285714285714286, 0.855072463768116]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.7419354838709677, 0.9539170506912443, 6.0, 6.575757575757575]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3684210526315788, 1.2105263157894737, 0.8275862068965517, 6.333333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 6.857142857142857, 1.7142857142857142, 3.4, 0.84]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 1, 4.821428571428571, 1.1785714285714286, 5.0, 0.717948717948718]","[0, 0, 3.2837837837837838, 1.3783783783783783, 1.5454545454545454, 0.9135802469135803]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 2.80188679245283, 1.2452830188679245, 4.444444444444445, 5.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.277456647398844, 1.2832369942196533, 2.0, 5.766666666666667]","[0, 0, 0, 0, 0, 0]"
56,2019-05-30,20190530SSOB0,"[1, 0, 3.494117647058824, 1.3764705882352941, 2.5, 2.361111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4400000000000002, 1.36, 1.5555555555555556, 0.9259259259259259]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.625, 1.375, 1.2857142857142858, 0.8]","[0, 0, 3.6610169491525424, 1.4745762711864405, 0.9285714285714286, 0.855072463768116]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.7419354838709677, 0.9539170506912443, 6.0, 6.575757575757575]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3684210526315788, 1.2105263157894737, 0.8275862068965517, 6.333333333333333]","[0, 0, 3.0, 2.0, 0.5, 1.0]","[0, 1, 6.6461538461538465, 1.6615384615384614, 3.4, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3540372670807455, 1.2484472049689441, 3.6923076923076925, 5.962962962962963]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.573529411764706, 1.1470588235294117, 1.0, 1.4166666666666667]","[0, 0, 4.821428571428571, 1.1785714285714286, 5.0, 0.717948717948718]","[0, 1, 3.155844155844156, 1.3636363636363635, 1.7272727272727273, 0.9166666666666667]","[0, 0, 10.8, 3.5999999999999996, 1.0, 0.33333333333333337]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.5, 2, 0.8]","[0, 0, 2.80188679245283, 1.2452830188679245, 4.444444444444445, 5.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.277456647398844, 1.2832369942196533, 2.0, 5.766666666666667]","[0, 0, 0, 0, 0, 0]"
