,date,game_key,문성현,양현,윤영삼,김동준,한현희,신재영,조상우,조덕길,손동욱,이상민,이영준,하영민,최원태,임규빈,김선기,서의태,이찬석,브리검,양기현,김재웅,이승호,김성민,안우진,박주성,요키시,조영건,윤정현,오주원,이보근,김상수
41,2019-05-11,20190511WOKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.292682926829268, 1.2439024390243902, 1.6, 1.0512820512820513]","[0, 0, 4.228915662650603, 1.2650602409638554, 2.0, 2.305555555555556]","[0, 0, 4.418181818181818, 1.4727272727272729, 2.75, 0.9166666666666666]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.6875, 1.0625, 6.666666666666667, 1.0666666666666667]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0, 1.4444444444444444, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4468085106382977, 1.372340425531915, 1.5714285714285714, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.609756097560976, 1.4878048780487805, 2.125, 5.857142857142857]","[0, 1, 2.6341463414634148, 0.8780487804878049, 6.5, 0.9761904761904762]","[0, 0, 4.361538461538462, 1.3615384615384614, 2.4615384615384617, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.468965517241379, 1.0758620689655172, 3.9, 6.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.4, 1.75, 0.9090909090909091]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 1, 4.8, 1.9333333333333333, 3.6, 0.7894736842105263]"
42,2019-05-12,20190512WOKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.292682926829268, 1.2439024390243902, 1.6, 1.0512820512820513]","[1, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 0, 4.418181818181818, 1.4727272727272729, 2.75, 0.9166666666666666]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.6875, 1.0625, 6.666666666666667, 1.0666666666666667]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8620689655172413, 1.3448275862068966, 3.0, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4468085106382977, 1.372340425531915, 1.5714285714285714, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.609756097560976, 1.4878048780487805, 2.125, 5.857142857142857]","[0, 1, 2.4545454545454546, 0.8863636363636364, 7.0, 0.9777777777777777]","[0, 0, 4.361538461538462, 1.3615384615384614, 2.4615384615384617, 6.190476190476191]","[0, 1, 0.0, 2.0, 1, 1.0]","[0, 0, 4.468965517241379, 1.0758620689655172, 3.9, 6.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.4, 1.75, 0.9090909090909091]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.8, 1.9333333333333333, 3.6, 0.7894736842105263]"
43,2019-05-14,20190514WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.292682926829268, 1.2439024390243902, 1.6, 1.0512820512820513]","[0, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 0, 4.418181818181818, 1.4727272727272729, 2.75, 0.9166666666666666]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.6875, 1.0625, 6.666666666666667, 1.0666666666666667]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.3448275862068966, 3.0, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4468085106382977, 1.372340425531915, 1.5714285714285714, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 2.4545454545454546, 0.8863636363636364, 7.0, 0.9777777777777777]","[0, 0, 4.361538461538462, 1.3615384615384614, 2.4615384615384617, 6.190476190476191]","[0, 1, 9.0, 3.0, 1.0, 1.0]","[0, 0, 4.468965517241379, 1.0758620689655172, 3.9, 6.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.40625, 1.75, 0.8888888888888888]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.8, 1.9333333333333333, 3.6, 0.7894736842105263]"
44,2019-05-15,20190515WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.934782608695652, 1.1739130434782608, 2.2, 1.0952380952380953]","[0, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 1, 5.684210526315789, 1.5789473684210527, 2.75, 0.9047619047619048]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 1, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.090909090909091, 1.4545454545454546, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 2.4545454545454546, 0.8863636363636364, 7.0, 0.9777777777777777]","[0, 0, 4.361538461538462, 1.3615384615384614, 2.4615384615384617, 6.190476190476191]","[0, 0, 9.0, 3.0, 1.0, 1.0]","[0, 0, 4.468965517241379, 1.0758620689655172, 3.9, 6.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.40625, 1.75, 0.8888888888888888]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.8, 1.9333333333333333, 3.6, 0.7894736842105263]"
45,2019-05-16,20190516WOHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.306122448979592, 1.1632653061224492, 2.4, 1.0888888888888888]","[0, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 0, 5.684210526315789, 1.5789473684210527, 2.75, 0.9047619047619048]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.4571428571428573, 4.0, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 2.4545454545454546, 0.8863636363636364, 7.0, 0.9777777777777777]","[1, 0, 4.378378378378379, 1.3581081081081081, 2.466666666666667, 6.166666666666667]","[0, 1, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 4.468965517241379, 1.0758620689655172, 3.9, 6.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0857142857142854, 1.4571428571428573, 2.0, 0.8974358974358974]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.8, 1.9333333333333333, 3.6, 0.7894736842105263]"
46,2019-05-17,20190517LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.306122448979592, 1.1632653061224492, 2.4, 1.0888888888888888]","[0, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 0, 5.684210526315789, 1.5789473684210527, 2.75, 0.9047619047619048]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4571428571428573, 4.0, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9724770642201834, 1.1559633027522935, 2.7, 5.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 1, 2.2978723404255317, 0.8936170212765958, 7.0, 0.9791666666666666]","[0, 0, 4.378378378378379, 1.3581081081081081, 2.466666666666667, 6.166666666666667]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[1, 0, 4.192546583850931, 1.0434782608695652, 4.8, 5.962962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0857142857142854, 1.4571428571428573, 2.0, 0.8974358974358974]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 1, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
47,2019-05-18,20190518LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.306122448979592, 1.1632653061224492, 2.4, 1.0888888888888888]","[0, 0, 4.03448275862069, 1.2413793103448276, 2.1, 2.230769230769231]","[0, 0, 5.684210526315789, 1.5789473684210527, 2.75, 0.9047619047619048]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.4571428571428573, 4.0, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.204918032786885, 1.3524590163934427, 2.727272727272727, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 1, 2.16, 0.84, 7.5, 0.9803921568627452]","[0, 0, 4.378378378378379, 1.3581081081081081, 2.466666666666667, 6.166666666666667]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 4.192546583850931, 1.0434782608695652, 4.8, 5.962962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0857142857142854, 1.4571428571428573, 2.0, 0.8974358974358974]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
48,2019-05-19,20190519LTWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6346153846153846, 1.2692307692307694, 2.4, 1.0833333333333333]","[1, 0, 4.544554455445545, 1.3663366336633664, 2.272727272727273, 2.4047619047619047]","[0, 1, 5.142857142857142, 1.4285714285714286, 2.875, 0.9545454545454546]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.05, 1.5, 3.0, 1.0256410256410258]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.204918032786885, 1.3524590163934427, 2.727272727272727, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 2.16, 0.84, 7.5, 0.9803921568627452]","[0, 0, 4.378378378378379, 1.3581081081081081, 2.466666666666667, 6.166666666666667]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 4.192546583850931, 1.0434782608695652, 4.8, 5.962962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6341463414634148, 1.3902439024390245, 2.75, 0.9761904761904762]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
49,2019-05-21,20190521NCWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.436363636363636, 1.2000000000000002, 2.6, 1.0784313725490196]","[0, 0, 4.544554455445545, 1.3663366336633664, 2.272727272727273, 2.4047619047619047]","[0, 0, 5.142857142857142, 1.4285714285714286, 2.875, 0.9545454545454546]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.588235294117647, 1.0, 7.0, 1.0625]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7674418604651163, 1.3953488372093024, 3.0, 1.023809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.204918032786885, 1.3524590163934427, 2.727272727272727, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 1, 1.9285714285714284, 0.9107142857142857, 8.0, 1.0370370370370372]","[0, 0, 4.378378378378379, 1.3581081081081081, 2.466666666666667, 6.166666666666667]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 4.192546583850931, 1.0434782608695652, 4.8, 5.962962962962963]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 1.4318181818181819, 3.25, 0.9777777777777777]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
50,2019-05-22,20190522NCWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.436363636363636, 1.2000000000000002, 2.6, 1.0784313725490196]","[0, 0, 4.544554455445545, 1.3663366336633664, 2.272727272727273, 2.4047619047619047]","[0, 1, 4.909090909090909, 1.3636363636363635, 3.0, 0.9565217391304348]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 1, 1.9285714285714284, 0.9642857142857142, 7.666666666666667, 1.0980392156862746]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.176470588235294, 1.2941176470588236, 3.3333333333333335, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.204918032786885, 1.3524590163934427, 2.727272727272727, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 1.9285714285714284, 0.9107142857142857, 8.0, 1.0370370370370372]","[1, 0, 5.748387096774193, 1.5096774193548388, 2.411764705882353, 5.7407407407407405]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 4.192546583850931, 1.0434782608695652, 4.8, 5.962962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.4318181818181819, 3.25, 0.9777777777777777]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
51,2019-05-23,20190523NCWO0,"[0, 0, 0, 0, 0, 0]","[0, 1, 18.0, 2.0, 2.0, 1.0]","[0, 1, 3.098360655737705, 1.1311475409836067, 2.6, 1.1296296296296295]","[0, 0, 4.544554455445545, 1.3663366336633664, 2.272727272727273, 2.4047619047619047]","[0, 0, 4.909090909090909, 1.3636363636363635, 3.0, 0.9565217391304348]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.9285714285714284, 0.9642857142857142, 7.666666666666667, 1.0980392156862746]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.2941176470588236, 3.3333333333333335, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.204918032786885, 1.3524590163934427, 2.727272727272727, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 0, 1.9285714285714284, 0.9107142857142857, 8.0, 1.0370370370370372]","[0, 0, 5.748387096774193, 1.5096774193548388, 2.411764705882353, 5.7407407407407405]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[1, 0, 3.708791208791209, 1.0054945054945055, 4.416666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.2978723404255317, 1.4042553191489362, 3.5, 0.9791666666666666]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.695652173913043, 1.891304347826087, 3.8, 0.7666666666666667]"
52,2019-05-24,20190524WOSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 2.0, 1.0]","[0, 0, 3.098360655737705, 1.1311475409836067, 2.6, 1.1296296296296295]","[0, 1, 4.655172413793104, 1.3448275862068966, 2.3076923076923075, 2.5777777777777775]","[0, 0, 4.909090909090909, 1.3636363636363635, 3.0, 0.9565217391304348]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.9285714285714284, 0.9642857142857142, 7.666666666666667, 1.0980392156862746]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.2777777777777777, 3.3333333333333335, 1.125]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7762237762237767, 1.2167832167832169, 3.3636363636363638, 5.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7800000000000002, 1.38, 2.111111111111111, 6.25]","[0, 1, 1.6615384615384616, 0.8307692307692307, 5.666666666666667, 1.1403508771929824]","[0, 0, 5.748387096774193, 1.5096774193548388, 2.411764705882353, 5.7407407407407405]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 3.708791208791209, 1.0054945054945055, 4.416666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2978723404255317, 1.4042553191489362, 3.5, 0.9791666666666666]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 1, 4.408163265306122, 1.7755102040816328, 4.2, 0.7777777777777777]"
53,2019-05-25,20190525WOSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 2.0, 1.0]","[0, 1, 2.953125, 1.125, 2.8, 1.1228070175438596]","[0, 1, 4.537815126050421, 1.3109243697478992, 2.3846153846153846, 2.4791666666666665]","[0, 1, 4.764705882352941, 1.4117647058823528, 2.7777777777777777, 0.9444444444444445]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 0, 1.9285714285714284, 0.9642857142857142, 7.666666666666667, 1.0980392156862746]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.2777777777777777, 3.3333333333333335, 1.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7762237762237767, 1.2167832167832169, 3.3636363636363638, 5.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1339285714285716, 1.3392857142857142, 2.0, 5.333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.339285714285714, 1.4285714285714286, 1.826086956521739, 6.222222222222222]","[0, 0, 1.6615384615384616, 0.8307692307692307, 5.666666666666667, 1.1403508771929824]","[0, 0, 5.748387096774193, 1.5096774193548388, 2.411764705882353, 5.7407407407407405]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 3.708791208791209, 1.0054945054945055, 4.416666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.16, 1.44, 3.5, 0.9803921568627452]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 0, 4.408163265306122, 1.7755102040816328, 4.2, 0.7777777777777777]"
54,2019-05-26,20190526WOSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 18.0, 2.0, 2.0, 1.0]","[0, 0, 2.953125, 1.125, 2.8, 1.1228070175438596]","[0, 0, 4.537815126050421, 1.3109243697478992, 2.3846153846153846, 2.4791666666666665]","[0, 1, 4.563380281690141, 1.436619718309859, 2.7777777777777777, 0.9466666666666668]","[0, 0, 3.8571428571428568, 2.142857142857143, 1, 0.7777777777777778]","[0, 1, 2.7, 1.1, 8.333333333333334, 1.1111111111111112]","[0, 0, 9.0, 1.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.436363636363636, 1.3636363636363638, 3.6666666666666665, 1.0784313725490196]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7762237762237767, 1.2167832167832169, 3.3636363636363638, 5.296296296296296]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.4015748031496065, 1.3228346456692912, 2.2142857142857144, 5.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.339285714285714, 1.4285714285714286, 1.826086956521739, 6.222222222222222]","[0, 0, 1.6615384615384616, 0.8307692307692307, 5.666666666666667, 1.1403508771929824]","[0, 0, 5.748387096774193, 1.5096774193548388, 2.411764705882353, 5.7407407407407405]","[0, 0, 6.0, 2.6666666666666665, 0.3333333333333333, 1.0]","[0, 0, 3.708791208791209, 1.0054945054945055, 4.416666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.16, 1.44, 3.5, 0.9803921568627452]","[0, 0, 29.454545454545453, 4.636363636363637, 0.6666666666666666, 0.7333333333333333]","[0, 1, 4.235294117647059, 1.7058823529411764, 4.2, 0.7727272727272727]"
