,date,game_key,박종훈,서진용,최진호,정영일,신동훈,소사,문승원,조영우,이승진,박민호,김택형,이재관,이케빈,김주한,이원준,산체스,김정우,조성훈,하재훈,백승건,최재성,채병용,정재원,윤희상,신재웅,박정배,박희수,김광현,백청훈,강지광,김태훈
46,2019-05-18,20190518OBSK0,"[1, 0, 3.06, 1.54, 2.176470588235294, 5.555555555555555]","[0, 1, 4.21875, 1.453125, 4.428571428571429, 0.9275362318840579]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.530769230769231, 1.1076923076923075, 4.0, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 1, 6.230769230769231, 1.9230769230769231, 1.3571428571428572, 0.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8367346938775513, 1.1224489795918366, 3.6923076923076925, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 1.1, 2.4, 0.9523809523809523]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 1, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5789473684210527, 4.6923076923076925, 5.62962962962963]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 1, 4.959183673469388, 1.2857142857142858, 1.0, 1.0208333333333333]","[0, 1, 5.0625, 1.453125, 1.6, 0.9696969696969696]"
47,2019-05-21,20190521SKLG0,"[0, 0, 3.06, 1.54, 2.176470588235294, 5.555555555555555]","[0, 1, 4.029850746268656, 1.4328358208955225, 4.714285714285714, 0.9305555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.530769230769231, 1.1076923076923075, 4.0, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 6.230769230769231, 1.9230769230769231, 1.3571428571428572, 0.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8367346938775513, 1.1224489795918366, 3.6923076923076925, 6.125]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.7142857142857142, 1.1428571428571428, 2.3636363636363638, 0.9545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.277456647398844, 1.5086705202312138, 4.928571428571429, 5.766666666666667]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.959183673469388, 1.2857142857142858, 1.0, 1.0208333333333333]","[0, 1, 4.628571428571429, 1.3714285714285714, 1.9, 1.0144927536231882]"
48,2019-05-22,20190522SKLG0,"[0, 0, 3.06, 1.54, 2.176470588235294, 5.555555555555555]","[0, 1, 3.8571428571428568, 1.4142857142857144, 4.714285714285714, 0.9333333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.530769230769231, 1.1076923076923075, 4.0, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 6.230769230769231, 1.9230769230769231, 1.3571428571428572, 0.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.2634730538922154, 1.131736526946108, 3.642857142857143, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6363636363636365, 1.0909090909090908, 2.4545454545454546, 0.9565217391304348]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.277456647398844, 1.5086705202312138, 4.928571428571429, 5.766666666666667]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.959183673469388, 1.2857142857142858, 1.0, 1.0208333333333333]","[0, 1, 4.438356164383562, 1.315068493150685, 2.0, 1.0138888888888888]"
49,2019-05-23,20190523SKLG0,"[0, 0, 3.06, 1.54, 2.176470588235294, 5.555555555555555]","[0, 0, 3.8571428571428568, 1.4142857142857144, 4.714285714285714, 0.9333333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.530769230769231, 1.1076923076923075, 4.0, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 1, 5.4, 1.7333333333333334, 1.4285714285714286, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2634730538922154, 1.131736526946108, 3.642857142857143, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 1.0909090909090908, 2.4545454545454546, 0.9565217391304348]","[0, 1, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.277456647398844, 1.5086705202312138, 4.928571428571429, 5.766666666666667]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 1, 4.5, 1.2777777777777777, 1.0, 1.0588235294117647]","[0, 0, 4.438356164383562, 1.315068493150685, 2.0, 1.0138888888888888]"
50,2019-05-24,20190524SKNC0,"[1, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 1, 3.698630136986301, 1.356164383561644, 4.714285714285714, 0.9358974358974359]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.530769230769231, 1.1076923076923075, 4.0, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 5.4, 1.7333333333333334, 1.4285714285714286, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2634730538922154, 1.131736526946108, 3.642857142857143, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.565217391304348, 1.0869565217391304, 2.6363636363636362, 0.9583333333333334]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.277456647398844, 1.5086705202312138, 4.928571428571429, 5.766666666666667]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.5, 1.2777777777777777, 1.0, 1.0588235294117647]","[0, 1, 4.263157894736842, 1.2631578947368423, 2.2, 1.0133333333333332]"
51,2019-05-25,20190525SKNC0,"[0, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 0, 3.698630136986301, 1.356164383561644, 4.714285714285714, 0.9358974358974359]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 1, 45.0, 7.0, 2.0, 1.0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 1, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2634730538922154, 1.131736526946108, 3.642857142857143, 6.185185185185185]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.565217391304348, 1.0869565217391304, 2.6363636363636362, 0.9583333333333334]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.277456647398844, 1.5086705202312138, 4.928571428571429, 5.766666666666667]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.5, 1.2777777777777777, 1.0, 1.0588235294117647]","[0, 0, 4.263157894736842, 1.2631578947368423, 2.2, 1.0133333333333332]"
52,2019-05-26,20190526SKNC0,"[0, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 1, 3.552631578947368, 1.3026315789473686, 4.857142857142857, 0.9382716049382716]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 45.0, 7.0, 2.0, 1.0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2634730538922154, 1.131736526946108, 3.642857142857143, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.5, 1.0416666666666667, 2.727272727272727, 0.96]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.2513089005235605, 1.4293193717277488, 5.214285714285714, 5.787878787878788]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.5, 1.2777777777777777, 1.0, 1.0588235294117647]","[0, 0, 4.263157894736842, 1.2631578947368423, 2.2, 1.0133333333333332]"
53,2019-05-28,20190528KTSK0,"[0, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 0, 3.552631578947368, 1.3026315789473686, 4.857142857142857, 0.9382716049382716]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 1.9090909090909092, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 45.0, 7.0, 2.0, 1.0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.0432432432432432, 1.1027027027027028, 3.8666666666666667, 6.166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4400000000000002, 1.12, 2.3076923076923075, 0.9615384615384616]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2513089005235605, 1.4293193717277488, 5.214285714285714, 5.787878787878788]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.5, 1.2777777777777777, 1.0, 1.0588235294117647]","[0, 1, 4.101265822784811, 1.2151898734177216, 2.2, 1.0128205128205128]"
54,2019-05-29,20190529KTSK0,"[0, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 1, 3.417721518987342, 1.3291139240506329, 3.7777777777777777, 0.9404761904761905]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.92, 0.8571428571428571, 0.925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 45.0, 7.0, 2.0, 1.0]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0432432432432432, 1.1027027027027028, 3.8666666666666667, 6.166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4400000000000002, 1.12, 2.3076923076923075, 0.9615384615384616]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2513089005235605, 1.4293193717277488, 5.214285714285714, 5.787878787878788]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 1, 4.426229508196721, 1.278688524590164, 1.25, 1.1296296296296295]","[0, 1, 3.951219512195122, 1.2073170731707317, 2.2, 1.0123456790123457]"
55,2019-05-30,20190530KTSK0,"[0, 0, 3.375, 1.5197368421052633, 2.176470588235294, 5.066666666666666]","[0, 1, 3.7125000000000004, 1.3875, 3.4, 0.9195402298850575]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.821428571428571, 1.8214285714285714, 0.875, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[1, 0, 16.875, 3.375, 1.0, 1.3333333333333333]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0432432432432432, 1.1027027027027028, 3.8666666666666667, 6.166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4400000000000002, 1.12, 2.3076923076923075, 0.9615384615384616]","[0, 1, 0.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 1, 0.0, 1.0, 0, 1.0]","[0, 0, 3.2513089005235605, 1.4293193717277488, 5.214285714285714, 5.787878787878788]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 4.426229508196721, 1.278688524590164, 1.25, 1.1296296296296295]","[0, 0, 3.951219512195122, 1.2073170731707317, 2.2, 1.0123456790123457]"
56,2019-05-31,20190531HHSK0,"[1, 0, 3.335294117647059, 1.5, 2.1052631578947367, 5.151515151515151]","[0, 0, 3.7125000000000004, 1.3875, 3.4, 0.9195402298850575]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.8214285714285714, 0.875, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 16.875, 3.375, 1.0, 1.3333333333333333]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.8, 1.7, 0.75, 0.9090909090909091]","[0, 0, 4.959183673469388, 1.7755102040816328, 1.3125, 0.9607843137254901]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0432432432432432, 1.1027027027027028, 3.8666666666666667, 6.166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.3846153846153846, 1.1153846153846154, 2.3076923076923075, 0.9629629629629629]","[0, 0, 0.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2, 1.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 3.2513089005235605, 1.4293193717277488, 5.214285714285714, 5.787878787878788]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 1, 4.090909090909091, 1.2272727272727273, 1.375, 1.1578947368421053]","[0, 0, 3.951219512195122, 1.2073170731707317, 2.2, 1.0123456790123457]"
57,2019-06-01,20190601HHSK0,"[0, 0, 3.335294117647059, 1.5, 2.1052631578947367, 5.151515151515151]","[0, 0, 3.7125000000000004, 1.3875, 3.4, 0.9195402298850575]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.8214285714285714, 0.875, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 16.875, 3.375, 1.0, 1.3333333333333333]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 1, 1.6875, 1.6875, 0.75, 0.8888888888888888]","[0, 1, 5.8235294117647065, 1.9411764705882353, 1.3125, 0.9444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0432432432432432, 1.1027027027027028, 3.8666666666666667, 6.166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.3846153846153846, 1.1153846153846154, 2.3076923076923075, 0.9629629629629629]","[0, 0, 0.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 2.0, 0.6666666666666666]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[1, 0, 2.929245283018868, 1.3584905660377358, 4.875, 5.888888888888889]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 1, 3.9130434782608696, 1.2173913043478262, 1.375, 1.15]","[0, 0, 3.951219512195122, 1.2073170731707317, 2.2, 1.0123456790123457]"
58,2019-06-02,20190602HHSK0,"[0, 0, 3.335294117647059, 1.5, 2.1052631578947367, 5.151515151515151]","[0, 1, 3.5783132530120483, 1.4096385542168675, 3.090909090909091, 0.9222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.8214285714285714, 0.875, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 16.875, 3.375, 1.0, 1.3333333333333333]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 0, 1.6875, 1.6875, 0.75, 0.8888888888888888]","[0, 0, 5.8235294117647065, 1.9411764705882353, 1.3125, 0.9444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.8349514563106795, 1.0631067961165048, 3.9375, 6.242424242424243]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.3333333333333333, 1.0740740740740742, 2.3076923076923075, 0.9642857142857143]","[0, 0, 0.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 0.6666666666666666]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 2.929245283018868, 1.3584905660377358, 4.875, 5.888888888888889]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 3.9130434782608696, 1.2173913043478262, 1.375, 1.15]","[0, 0, 3.951219512195122, 1.2073170731707317, 2.2, 1.0123456790123457]"
59,2019-06-04,20190604SKWO0,"[0, 0, 3.335294117647059, 1.5, 2.1052631578947367, 5.151515151515151]","[0, 0, 3.5783132530120483, 1.4096385542168675, 3.090909090909091, 0.9222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.354838709677419, 1.6451612903225805, 1.125, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8310810810810807, 1.1756756756756757, 3.9, 6.166666666666667]","[0, 0, 16.875, 3.375, 1.0, 1.3333333333333333]","[0, 0, 6.585365853658536, 1.3170731707317074, 1.4285714285714286, 1.0512820512820513]","[0, 1, 2.3823529411764706, 1.676470588235294, 0.75, 0.8717948717948718]","[0, 1, 5.60377358490566, 1.9245283018867922, 1.3529411764705883, 0.9298245614035089]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8349514563106795, 1.0631067961165048, 3.9375, 6.242424242424243]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2857142857142856, 1.0357142857142858, 2.4615384615384617, 0.9655172413793104]","[0, 0, 0.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2.0, 0.6666666666666666]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 4.973684210526316, 1.1842105263157896, 3.0, 1.0555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 2.929245283018868, 1.3584905660377358, 4.875, 5.888888888888889]","[0, 0, 4.909090909090909, 1.6363636363636365, 4, 0.9166666666666666]","[0, 0, 3.9130434782608696, 1.2173913043478262, 1.375, 1.15]","[0, 1, 4.821428571428571, 1.2857142857142858, 2.0, 1.0]"
