,date,game_key,박시영,장국헌,김원중,정태승,홍성민,박진형,구승민,박세웅,이인복,최영환,조무근,차재용,레일리,한승혁,윤성빈,최하늘,이승헌,정성종,김현수,서준원,톰슨,강민성,박진,다익손,고효준,윤길현,박근홍,손승락,김건국,배장호,장시환,송승준,오현택,진명호
47,2019-05-21,20190521LTHT0,"[0, 0, 7.363636363636363, 1.7727272727272727, 1.4615384615384615, 2.4444444444444446]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.4769230769230768, 2.0526315789473686, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.096774193548387, 1.7419354838709677, 2.0714285714285716, 0.8985507246376813]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 7.105263157894736, 1.5789473684210527, 1.5, 1.5833333333333333]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 3.644171779141104, 1.4355828220858895, 1.9130434782608696, 6.037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[1, 0, 0, 0, 0, 0]","[0, 1, 4.0754716981132075, 1.9245283018867922, 0.6923076923076923, 1.6060606060606062]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 1, 6.319148936170213, 1.9148936170212767, 2.125, 1.0444444444444445]","[0, 0, 4.05, 1.1624999999999999, 2.7, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.59375, 2.0, 0.8888888888888888]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 5.711538461538462, 1.4423076923076925, 2.1666666666666665, 1.0196078431372548]","[0, 0, 6.63157894736842, 2.0526315789473686, 1.3333333333333333, 1.4615384615384615]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 1, 6.075, 1.7249999999999999, 1.7272727272727273, 0.8333333333333334]"
48,2019-05-22,20190522LTHT0,"[0, 1, 7.125, 1.75, 1.4285714285714286, 2.4]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.073825503355705, 1.4697986577181208, 2.238095238095238, 5.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.815384615384616, 1.7076923076923076, 2.142857142857143, 0.9027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 7.105263157894736, 1.5789473684210527, 1.5, 1.5833333333333333]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 3.644171779141104, 1.4355828220858895, 1.9130434782608696, 6.037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0754716981132075, 1.9245283018867922, 0.6923076923076923, 1.6060606060606062]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.319148936170213, 1.9148936170212767, 2.125, 1.0444444444444445]","[0, 0, 4.05, 1.1624999999999999, 2.7, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.6323529411764706, 2.0833333333333335, 0.9066666666666667]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 1, 5.4, 1.3636363636363638, 2.5, 1.0185185185185184]","[0, 0, 6.63157894736842, 2.0526315789473686, 1.3333333333333333, 1.4615384615384615]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 6.075, 1.7249999999999999, 1.7272727272727273, 0.8333333333333334]"
49,2019-05-23,20190523LTHT0,"[0, 0, 7.125, 1.75, 1.4285714285714286, 2.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.073825503355705, 1.4697986577181208, 2.238095238095238, 5.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 5.815384615384616, 1.7076923076923076, 2.142857142857143, 0.9027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 1, 5.4, 1.3199999999999998, 2.0, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 3.644171779141104, 1.4355828220858895, 1.9130434782608696, 6.037037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0754716981132075, 1.9245283018867922, 0.6923076923076923, 1.6060606060606062]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.319148936170213, 1.9148936170212767, 2.125, 1.0444444444444445]","[0, 0, 4.05, 1.1624999999999999, 2.7, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.6323529411764706, 2.0833333333333335, 0.9066666666666667]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 5.4, 1.3636363636363638, 2.5, 1.0185185185185184]","[1, 0, 8.015625, 2.203125, 1.0, 1.5238095238095237]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 1, 5.74468085106383, 1.5957446808510638, 1.6666666666666667, 0.9215686274509803]"
50,2019-05-24,20190524LGLT0,"[0, 1, 6.576923076923077, 1.6153846153846154, 1.5714285714285714, 2.3636363636363638]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.073825503355705, 1.4697986577181208, 2.238095238095238, 5.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.5588235294117645, 1.7205882352941175, 2.142857142857143, 0.9066666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 5.4, 1.3199999999999998, 2.0, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[1, 0, 4.247191011235955, 1.4662921348314606, 1.9166666666666667, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0754716981132075, 1.9245283018867922, 0.6923076923076923, 1.6060606060606062]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.319148936170213, 1.9148936170212767, 2.125, 1.0444444444444445]","[0, 0, 4.05, 1.1624999999999999, 2.7, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.043478260869565, 1.7826086956521738, 1.8571428571428572, 0.8846153846153846]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 1, 6.051724137931035, 1.396551724137931, 2.2857142857142856, 1.0175438596491226]","[0, 0, 8.015625, 2.203125, 1.0, 1.5238095238095237]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 5.74468085106383, 1.5957446808510638, 1.6666666666666667, 0.9215686274509803]"
51,2019-05-25,20190525LGLT0,"[0, 1, 6.493670886075949, 1.5949367088607596, 1.5714285714285714, 2.194444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.073825503355705, 1.4697986577181208, 2.238095238095238, 5.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 1, 6.75, 0.75, 1, 1.3333333333333333]","[0, 1, 5.25, 1.625, 2.2142857142857144, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 5.4, 1.3199999999999998, 2.0, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.247191011235955, 1.4662921348314606, 1.9166666666666667, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0754716981132075, 1.9245283018867922, 0.6923076923076923, 1.6060606060606062]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.319148936170213, 1.9148936170212767, 2.125, 1.0444444444444445]","[1, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.043478260869565, 1.7826086956521738, 1.8571428571428572, 0.8846153846153846]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 6.051724137931035, 1.396551724137931, 2.2857142857142856, 1.0175438596491226]","[0, 0, 8.015625, 2.203125, 1.0, 1.5238095238095237]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 5.74468085106383, 1.5957446808510638, 1.6666666666666667, 0.9215686274509803]"
52,2019-05-26,20190526LGLT0,"[0, 0, 6.493670886075949, 1.5949367088607596, 1.5714285714285714, 2.194444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.073825503355705, 1.4697986577181208, 2.238095238095238, 5.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 6.75, 0.75, 1, 1.3333333333333333]","[0, 0, 5.25, 1.625, 2.2142857142857144, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 1, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.247191011235955, 1.4662921348314606, 1.9166666666666667, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6610169491525424, 1.9322033898305084, 0.7142857142857143, 1.638888888888889]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[1, 0, 6.75, 2.0, 2.25, 1.0]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.043478260869565, 1.7826086956521738, 1.8571428571428572, 0.8846153846153846]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 6.051724137931035, 1.396551724137931, 2.2857142857142856, 1.0175438596491226]","[0, 1, 7.460526315789474, 2.013157894736842, 1.0769230769230769, 1.6888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 1, 5.4, 1.5599999999999998, 1.6666666666666667, 0.925925925925926]"
53,2019-05-28,20190528LTNC0,"[0, 0, 6.493670886075949, 1.5949367088607596, 1.5714285714285714, 2.194444444444444]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.103658536585366, 1.5, 2.0, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 1, 16.2, 1.7999999999999998, 2.0, 0.8333333333333334]","[0, 1, 5.472972972972974, 1.7432432432432432, 2.066666666666667, 0.9135802469135803]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.247191011235955, 1.4662921348314606, 1.9166666666666667, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6610169491525424, 1.9322033898305084, 0.7142857142857143, 1.638888888888889]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 2.0, 2.25, 1.0]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.942857142857142, 1.842857142857143, 1.8, 0.8641975308641975]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 1, 5.571428571428571, 1.3333333333333333, 2.4285714285714284, 1.05]","[0, 0, 7.460526315789474, 2.013157894736842, 1.0769230769230769, 1.6888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.95, 1.4761904761904763, 4.166666666666667]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 5.4, 1.5599999999999998, 1.6666666666666667, 0.925925925925926]"
54,2019-05-29,20190529LTNC0,"[0, 0, 6.493670886075949, 1.5949367088607596, 1.5714285714285714, 2.194444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.103658536585366, 1.5, 2.0, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 16.2, 1.7999999999999998, 2.0, 0.8333333333333334]","[0, 0, 5.472972972972974, 1.7432432432432432, 2.066666666666667, 0.9135802469135803]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.247191011235955, 1.4662921348314606, 1.9166666666666667, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.7272727272727275, 2.0, 0.6666666666666666, 1.6923076923076923]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 2.0, 2.25, 1.0]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.942857142857142, 1.842857142857143, 1.8, 0.8641975308641975]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 1, 6.0, 1.4761904761904763, 2.4285714285714284, 1.0]","[0, 0, 7.460526315789474, 2.013157894736842, 1.0769230769230769, 1.6888888888888889]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.192660550458716, 2.0091743119266052, 1.5833333333333333, 4.037037037037037]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 1, 5.0, 1.6111111111111112, 1.5714285714285714, 0.9473684210526315]"
55,2019-05-30,20190530LTNC0,"[0, 1, 6.333333333333333, 1.5555555555555556, 1.5714285714285714, 2.076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.103658536585366, 1.5, 2.0, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 4.5, 0, 0.3333333333333333]","[0, 0, 16.2, 1.7999999999999998, 2.0, 0.8333333333333334]","[0, 0, 5.472972972972974, 1.7432432432432432, 2.066666666666667, 0.9135802469135803]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[1, 0, 4.453608247422681, 1.5309278350515463, 1.8461538461538463, 5.878787878787879]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 2.0, 0.6666666666666666, 1.6923076923076923]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 2.0, 2.25, 1.0]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.8333333333333333, 1.9333333333333333, 0.8571428571428571]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 6.0, 1.4761904761904763, 2.4285714285714284, 1.0]","[0, 0, 7.460526315789474, 2.013157894736842, 1.0769230769230769, 1.6888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.192660550458716, 2.0091743119266052, 1.5833333333333333, 4.037037037037037]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 5.0, 1.6111111111111112, 1.5714285714285714, 0.9473684210526315]"
56,2019-05-31,20190531SSLT0,"[0, 0, 6.333333333333333, 1.5555555555555556, 1.5714285714285714, 2.076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.103658536585366, 1.5, 2.0, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 2, 0.6666666666666666]","[0, 1, 13.5, 1.5, 2.0, 0.6666666666666666]","[0, 0, 5.472972972972974, 1.7432432432432432, 2.066666666666667, 0.9135802469135803]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.453608247422681, 1.5309278350515463, 1.8461538461538463, 5.878787878787879]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 2.0, 0.6666666666666666, 1.6923076923076923]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 6.75, 2.0, 2.25, 1.0]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.4799999999999995, 1.76, 2.0, 0.8620689655172413]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 6.0, 1.4761904761904763, 2.4285714285714284, 1.0]","[1, 0, 7.363636363636363, 2.0649350649350646, 1.0, 1.6041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.192660550458716, 2.0091743119266052, 1.5833333333333333, 4.037037037037037]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 1, 4.5, 1.6, 1.5714285714285714, 1.0]"
57,2019-06-01,20190601SSLT0,"[0, 1, 6.206896551724138, 1.5172413793103448, 1.6428571428571428, 2.0714285714285716]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.103658536585366, 1.5, 2.0, 5.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 2, 0.6666666666666666]","[0, 1, 9.0, 1.3333333333333333, 3.0, 0.75]","[0, 1, 5.126582278481013, 1.7088607594936709, 2.2, 0.9404761904761905]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.453608247422681, 1.5309278350515463, 1.8461538461538463, 5.878787878787879]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 2.0, 0.6666666666666666, 1.6923076923076923]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[1, 0, 7.448275862068965, 2.0172413793103448, 1.9, 1.1372549019607843]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.76, 2.0, 0.8620689655172413]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 1, 6.545454545454546, 1.5909090909090908, 2.125, 1.0]","[0, 0, 7.363636363636363, 2.0649350649350646, 1.0, 1.6041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.192660550458716, 2.0091743119266052, 1.5833333333333333, 4.037037037037037]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 4.5, 1.6, 1.5714285714285714, 1.0]"
58,2019-06-02,20190602SSLT0,"[0, 0, 6.206896551724138, 1.5172413793103448, 1.6428571428571428, 2.0714285714285716]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.868852459016393, 1.459016393442623, 2.0357142857142856, 5.545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.6666666666666667, 3, 0.75]","[0, 0, 9.0, 1.3333333333333333, 3.0, 0.75]","[0, 0, 5.126582278481013, 1.7088607594936709, 2.2, 0.9404761904761905]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 2.9142857142857146, 0.875, 1.1666666666666665]","[0, 0, 4.5, 1.2, 2.5, 1.6666666666666667]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 5.4, 1.7999999999999998, 1.0, 0.8333333333333334]","[0, 0, 4.453608247422681, 1.5309278350515463, 1.8461538461538463, 5.878787878787879]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.625, 1.875, 0.7333333333333333, 1.7142857142857142]","[0, 0, 9.0, 2.0, 0.0, 0.5]","[0, 0, 7.448275862068965, 2.0172413793103448, 1.9, 1.1372549019607843]","[0, 0, 5.042168674698795, 1.3012048192771084, 2.619047619047619, 5.533333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.394736842105263, 1.736842105263158, 2.066666666666667, 0.8444444444444444]","[0, 0, 9.0, 4.75, 1.25, 0.8]","[0, 0, 6.5675675675675675, 1.7837837837837838, 0.7, 0.7708333333333334]","[0, 0, 6.545454545454546, 1.5909090909090908, 2.125, 1.0]","[0, 0, 7.363636363636363, 2.0649350649350646, 1.0, 1.6041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.192660550458716, 2.0091743119266052, 1.5833333333333333, 4.037037037037037]","[0, 0, 7.363636363636363, 2.181818181818182, 2.0, 3.6666666666666665]","[0, 0, 6.136363636363636, 1.5, 2.5, 0.9166666666666666]","[0, 0, 4.5, 1.6, 1.5714285714285714, 1.0]"
