,date,game_key,김지용,문광은,임찬규,이우찬,김정후,최성훈,유원석,류제국,배재준,임지섭,이상규,김대현,오석주,고우석,김태형,김영준,윌슨,이강욱,성동현,켈리,한선태,이정용,강정현,정우영,이상영,이동현,송은범,심수창,장원삼,차우찬,진해수,정찬헌,최동환,정용운,여건욱
51,2019-05-26,20190526LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5, 2.0, 1.3333333333333333]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[0, 0, 2.958904109589041, 0.9452054794520548, 2.111111111111111, 1.6222222222222222]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 4, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 10, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.88, 2.4, 0.75, 2.0833333333333335]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.708860759493671, 1.1012658227848102, 2.0, 1.144927536231884]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.832579185520362, 1.004524886877828, 3.7857142857142856, 6.696969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.165775401069519, 1.0588235294117647, 3.3125, 6.233333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 2.0106382978723403, 0.8936170212765958, 3.142857142857143, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.6734693877551026, 1.3877551020408163, 2.388888888888889, 5.444444444444445]","[0, 1, 1.7608695652173914, 1.2391304347826086, 1.8571428571428572, 0.6133333333333334]","[0, 1, 0.9, 1.3, 2.75, 0.9090909090909091]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
52,2019-05-28,20190528LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5, 2.0, 1.3333333333333333]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[0, 0, 2.958904109589041, 0.9452054794520548, 2.111111111111111, 1.6222222222222222]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 4, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 1, 0.0, 6.0, 0.5, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.708860759493671, 1.1012658227848102, 2.0, 1.144927536231884]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.832579185520362, 1.004524886877828, 3.7857142857142856, 6.696969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.076923076923077, 1.0528846153846154, 3.2941176470588234, 6.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 2.0106382978723403, 0.8936170212765958, 3.142857142857143, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.6734693877551026, 1.3877551020408163, 2.388888888888889, 5.444444444444445]","[0, 0, 1.7608695652173914, 1.2391304347826086, 1.8571428571428572, 0.6133333333333334]","[0, 0, 0.9, 1.3, 2.75, 0.9090909090909091]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
53,2019-05-29,20190529LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5, 2.0, 1.3333333333333333]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[1, 0, 2.793103448275862, 1.103448275862069, 2.0, 1.8125]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 4, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 6.0, 0.5, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 1.646341463414634, 1.1341463414634148, 2.066666666666667, 1.1388888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.832579185520362, 1.004524886877828, 3.7857142857142856, 6.696969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0528846153846154, 3.2941176470588234, 6.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.9484536082474224, 0.8969072164948453, 2.75, 1.2933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.6734693877551026, 1.3877551020408163, 2.388888888888889, 5.444444444444445]","[0, 1, 2.7551020408163267, 1.3469387755102042, 1.625, 0.6282051282051282]","[0, 0, 0.9, 1.3, 2.75, 0.9090909090909091]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
54,2019-05-30,20190530LGWO0,"[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.75, 1.5, 1.3333333333333333]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[0, 0, 2.793103448275862, 1.103448275862069, 2.0, 1.8125]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6, 1.3, 1.5, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 6.0, 0.5, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 1.9058823529411764, 1.1647058823529413, 2.066666666666667, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.832579185520362, 1.004524886877828, 3.7857142857142856, 6.696969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0528846153846154, 3.2941176470588234, 6.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.8712871287128714, 0.8910891089108911, 2.75, 1.2948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.6734693877551026, 1.3877551020408163, 2.388888888888889, 5.444444444444445]","[0, 1, 2.7, 1.3199999999999998, 1.625, 0.617283950617284]","[0, 1, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
55,2019-05-31,20190531NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 3.6, 1.4, 2.0, 1.25]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[0, 0, 2.793103448275862, 1.103448275862069, 2.0, 1.8125]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.3, 1.5, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 6.0, 0.5, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 1.8409090909090908, 1.1590909090909092, 2.0, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.832579185520362, 1.004524886877828, 3.7857142857142856, 6.696969696969697]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0528846153846154, 3.2941176470588234, 6.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 1.8712871287128714, 0.8910891089108911, 2.75, 1.2948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[1, 0, 4.090909090909091, 1.4545454545454546, 2.1363636363636362, 5.5]","[0, 0, 2.7, 1.3199999999999998, 1.625, 0.617283950617284]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
56,2019-06-01,20190601NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.4, 2.0, 1.25]","[0, 0, 5.0625, 1.3125, 2.5, 5.333333333333333]","[0, 0, 2.793103448275862, 1.103448275862069, 2.0, 1.8125]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.3, 1.5, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 6.0, 0.5, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.8409090909090908, 1.1590909090909092, 2.0, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6735537190082646, 0.9917355371900826, 3.8, 6.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.0528846153846154, 3.2941176470588234, 6.303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.8349514563106795, 0.8737864077669902, 2.875, 1.271604938271605]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 4.090909090909091, 1.4545454545454546, 2.1363636363636362, 5.5]","[0, 0, 2.7, 1.3199999999999998, 1.625, 0.617283950617284]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
57,2019-06-02,20190602NCLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.4, 2.0, 1.25]","[0, 1, 4.790322580645162, 1.5, 1.4545454545454546, 5.166666666666667]","[0, 0, 2.793103448275862, 1.103448275862069, 2.0, 1.8125]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.3, 1.5, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 1, 0.0, 3.0, 0.6666666666666666, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.8409090909090908, 1.1590909090909092, 2.0, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6735537190082646, 0.9917355371900826, 3.8, 6.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.0309734513274336, 1.0486725663716814, 3.588235294117647, 6.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 1.8349514563106795, 0.8737864077669902, 2.875, 1.271604938271605]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 4.090909090909091, 1.4545454545454546, 2.1363636363636362, 5.5]","[0, 0, 2.7, 1.3199999999999998, 1.625, 0.617283950617284]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 1.8, 0.8, 2.75, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
58,2019-06-04,20190604KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.3333333333333333, 2.0, 1.2]","[0, 1, 4.432835820895522, 1.4328358208955225, 1.4166666666666667, 4.466666666666667]","[1, 0, 2.547169811320755, 1.0754716981132075, 1.9333333333333333, 2.0784313725490198]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.3, 1.5, 5.0]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 3.0, 0.6666666666666666, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.8409090909090908, 1.1590909090909092, 2.0, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6735537190082646, 0.9917355371900826, 3.8, 6.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0309734513274336, 1.0486725663716814, 3.588235294117647, 6.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 1.8349514563106795, 0.8737864077669902, 2.875, 1.271604938271605]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 4.090909090909091, 1.4545454545454546, 2.1363636363636362, 5.5]","[0, 1, 2.6470588235294117, 1.2941176470588236, 1.625, 0.6071428571428571]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 1, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
59,2019-06-05,20190605KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.3333333333333333, 2.0, 1.2]","[0, 0, 4.432835820895522, 1.4328358208955225, 1.4166666666666667, 4.466666666666667]","[0, 0, 2.547169811320755, 1.0754716981132075, 1.9333333333333333, 2.0784313725490198]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.375, 1.3125, 1.5, 5.333333333333333]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 3.0, 0.6666666666666666, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.8409090909090908, 1.1590909090909092, 2.0, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6735537190082646, 0.9917355371900826, 3.8, 6.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0309734513274336, 1.0486725663716814, 3.588235294117647, 6.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.7830188679245282, 0.8490566037735848, 3.0, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 4.090909090909091, 1.4545454545454546, 2.1363636363636362, 5.5]","[0, 1, 2.547169811320755, 1.3584905660377358, 1.5555555555555556, 0.6091954022988506]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 10, 0, 0.0]"
60,2019-06-06,20190606KTLG0,"[0, 0, 0, 0, 0, 0]","[0, 1, 2.8421052631578947, 1.2631578947368423, 2.5, 1.0555555555555556]","[0, 0, 4.432835820895522, 1.4328358208955225, 1.4166666666666667, 4.466666666666667]","[0, 0, 2.547169811320755, 1.0754716981132075, 1.9333333333333333, 2.0784313725490198]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.3125, 1.5, 5.333333333333333]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 1, 0.0, 2.0, 0.5, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 1.7802197802197803, 1.120879120879121, 2.0625, 1.1234567901234567]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6735537190082646, 0.9917355371900826, 3.8, 6.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0309734513274336, 1.0486725663716814, 3.588235294117647, 6.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 1.7830188679245282, 0.8490566037735848, 3.0, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[1, 0, 3.9193548387096775, 1.4193548387096775, 2.1666666666666665, 5.636363636363637]","[0, 0, 2.547169811320755, 1.3584905660377358, 1.5555555555555556, 0.6091954022988506]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 10, 0, 0.0]"
61,2019-06-07,20190607LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.8421052631578947, 1.2631578947368423, 2.5, 1.0555555555555556]","[0, 1, 4.068493150684931, 1.3972602739726028, 1.2857142857142858, 4.055555555555555]","[0, 0, 2.547169811320755, 1.0754716981132075, 1.9333333333333333, 2.0784313725490198]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.3125, 1.5, 5.333333333333333]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 2.0, 0.5, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 0, 1.7802197802197803, 1.120879120879121, 2.0625, 1.1234567901234567]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6240601503759398, 1.0037593984962405, 3.625, 6.820512820512821]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.0309734513274336, 1.0486725663716814, 3.588235294117647, 6.277777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 0, 1.7830188679245282, 0.8490566037735848, 3.0, 1.261904761904762]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.9193548387096775, 1.4193548387096775, 2.1666666666666665, 5.636363636363637]","[0, 1, 2.4107142857142856, 1.2857142857142856, 1.5555555555555556, 0.6222222222222222]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 10, 0, 0.0]"
62,2019-06-08,20190608LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.8421052631578947, 1.2631578947368423, 2.5, 1.0555555555555556]","[0, 0, 4.068493150684931, 1.3972602739726028, 1.2857142857142858, 4.055555555555555]","[0, 0, 2.547169811320755, 1.0754716981132075, 1.9333333333333333, 2.0784313725490198]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.3125, 1.5, 5.333333333333333]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 2.0, 0.5, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 2.0106382978723403, 1.1808510638297873, 1.9411764705882353, 1.119047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6240601503759398, 1.0037593984962405, 3.625, 6.820512820512821]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.2131147540983607, 1.069672131147541, 3.4210526315789473, 6.256410256410256]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.7027027027027026, 0.8648648648648649, 3.25, 1.2758620689655173]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.9193548387096775, 1.4193548387096775, 2.1666666666666665, 5.636363636363637]","[0, 0, 2.4107142857142856, 1.2857142857142856, 1.5555555555555556, 0.6222222222222222]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 10, 0, 0.0]"
63,2019-06-09,20190609LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 1.2272727272727273, 2.5, 1.0476190476190477]","[0, 1, 3.9078947368421053, 1.3421052631578947, 1.4285714285714286, 3.619047619047619]","[1, 0, 2.677685950413223, 1.165289256198347, 1.6, 2.240740740740741]","[0, 0, 0.0, 1.5, 1, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.3125, 1.5, 5.333333333333333]","[0, 0, 6.685714285714286, 1.6285714285714286, 1.5, 3.888888888888889]","[0, 0, 0.0, 2.0, 0.5, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.0, 2.4444444444444446, 1.0, 1.8]","[0, 0, 3.0, 1.3333333333333333, 3.0, 1.5]","[0, 1, 1.9484536082474224, 1.1752577319587627, 2.0588235294117645, 1.1149425287356323]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6240601503759398, 1.0037593984962405, 3.625, 6.820512820512821]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.2131147540983607, 1.069672131147541, 3.4210526315789473, 6.256410256410256]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 2.0, 1.3333333333333333]","[0, 1, 1.657894736842105, 0.868421052631579, 3.375, 1.2666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.136363636363636, 2.0454545454545454, 2.0, 2.444444444444444]","[0, 0, 8.526315789473683, 2.0526315789473686, 1.5, 3.1666666666666665]","[0, 0, 3.9193548387096775, 1.4193548387096775, 2.1666666666666665, 5.636363636363637]","[0, 1, 2.288135593220339, 1.271186440677966, 1.5555555555555556, 0.6344086021505376]","[0, 0, 0.8181818181818182, 1.1818181818181819, 2.75, 0.9166666666666666]","[0, 0, 3.7800000000000002, 1.0799999999999998, 2.6, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 10, 0, 0.0]"
