,date,game_key,신정락,김경태,이태양,문재현,임준섭,이충호,김종수,송창현,윤호솔,문동욱,서균,황영국,김민우,김범수,김재영,박상원,김진영,김성훈,김진욱,박주홍,서폴드,김이환,채드벨,박윤철,정이황,안영명,윤규진,송창식,정우람,장민재
48,2019-05-23,20190523HHSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.375, 3.5, 0.8888888888888888]","[0, 0, 7.59375, 1.40625, 5.666666666666667, 1.5238095238095237]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.481927710843373, 2.0240963855421685, 1.0714285714285714, 4.611111111111112]","[0, 0, 4.846153846153846, 1.8461538461538463, 1.2777777777777777, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.142857142857143, 1.3333333333333333, 1.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.40625, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.274193548387096, 1.7903225806451613, 1.3846153846153846, 1.4761904761904763]","[0, 0, 4.295454545454545, 1.4147727272727273, 2.3333333333333335, 5.866666666666666]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[1, 0, 4.027624309392265, 1.5082872928176796, 1.8076923076923077, 6.033333333333333]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1095890410958904, 1.0684931506849316, 4.4, 1.106060606060606]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9636363636363636, 1.1454545454545455, 4.666666666666667, 1.0185185185185184]","[0, 0, 4.841379310344828, 1.4068965517241379, 4.4, 4.833333333333334]"
49,2019-05-24,20190524HHOB0,"[0, 0, 0, 0, 0, 0]","[0, 1, 1.125, 1.5, 2.3333333333333335, 0.8]","[0, 1, 7.544117647058823, 1.3676470588235294, 6.0, 1.5111111111111113]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.481927710843373, 2.0240963855421685, 1.0714285714285714, 4.611111111111112]","[1, 0, 4.5473684210526315, 1.7052631578947368, 1.6666666666666667, 2.435897435897436]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3823529411764706, 1.3676470588235294, 1.1818181818181819, 1.0303030303030303]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.40625, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.7903225806451613, 1.3846153846153846, 1.4761904761904763]","[0, 0, 4.295454545454545, 1.4147727272727273, 2.3333333333333335, 5.866666666666666]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 4.027624309392265, 1.5082872928176796, 1.8076923076923077, 6.033333333333333]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0945945945945947, 1.135135135135135, 4.4, 1.0724637681159421]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8305084745762712, 1.11864406779661, 5.333333333333333, 1.0350877192982457]","[0, 0, 4.841379310344828, 1.4068965517241379, 4.4, 4.833333333333334]"
50,2019-05-25,20190525HHOB0,"[0, 0, 0, 0, 0, 0]","[0, 1, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 7.027397260273972, 1.315068493150685, 4.75, 1.5208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 7.363636363636363, 2.0, 1.3333333333333333, 4.714285714285714]","[0, 0, 4.5473684210526315, 1.7052631578947368, 1.6666666666666667, 2.435897435897436]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.552631578947368, 1.3421052631578947, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 4.295454545454545, 1.4147727272727273, 2.3333333333333335, 5.866666666666666]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 4.027624309392265, 1.5082872928176796, 1.8076923076923077, 6.033333333333333]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0945945945945947, 1.135135135135135, 4.4, 1.0724637681159421]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8305084745762712, 1.11864406779661, 5.333333333333333, 1.0350877192982457]","[0, 0, 4.841379310344828, 1.4068965517241379, 4.4, 4.833333333333334]"
51,2019-05-26,20190526HHOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 7.027397260273972, 1.315068493150685, 4.75, 1.5208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 1.3333333333333333, 4.714285714285714]","[0, 0, 4.5473684210526315, 1.7052631578947368, 1.6666666666666667, 2.435897435897436]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.552631578947368, 1.3421052631578947, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[1, 0, 5.080645161290323, 1.5161290322580645, 2.3157894736842106, 5.636363636363637]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 4.027624309392265, 1.5082872928176796, 1.8076923076923077, 6.033333333333333]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0657894736842104, 1.1842105263157896, 4.6, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8305084745762712, 1.11864406779661, 5.333333333333333, 1.0350877192982457]","[0, 0, 4.841379310344828, 1.4068965517241379, 4.4, 4.833333333333334]"
52,2019-05-28,20190528HTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 7.027397260273972, 1.315068493150685, 4.75, 1.5208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 1.3333333333333333, 4.714285714285714]","[0, 0, 4.5473684210526315, 1.7052631578947368, 1.6666666666666667, 2.435897435897436]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.552631578947368, 1.3421052631578947, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 5.080645161290323, 1.5161290322580645, 2.3157894736842106, 5.636363636363637]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 4.027624309392265, 1.5082872928176796, 1.8076923076923077, 6.033333333333333]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0657894736842104, 1.1842105263157896, 4.6, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.7419354838709677, 1.064516129032258, 5.333333333333333, 1.0333333333333334]","[1, 0, 4.638036809815951, 1.343558282208589, 5.1, 4.9393939393939394]"
53,2019-05-29,20190529HTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 7.027397260273972, 1.315068493150685, 4.75, 1.5208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 1.3333333333333333, 4.714285714285714]","[0, 0, 4.5473684210526315, 1.7052631578947368, 1.6666666666666667, 2.435897435897436]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.552631578947368, 1.3421052631578947, 1.75, 1.4074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 5.080645161290323, 1.5161290322580645, 2.3157894736842106, 5.636363636363637]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[1, 0, 3.742574257425743, 1.5594059405940595, 1.6129032258064515, 6.121212121212121]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0657894736842104, 1.1842105263157896, 4.6, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.7419354838709677, 1.064516129032258, 5.333333333333333, 1.0333333333333334]","[0, 0, 4.638036809815951, 1.343558282208589, 5.1, 4.9393939393939394]"
54,2019-05-30,20190530HTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 8.027027027027028, 1.4189189189189189, 4.75, 1.450980392156863]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.363636363636363, 2.0, 1.3333333333333333, 4.714285714285714]","[1, 0, 4.135135135135135, 1.7027027027027026, 1.5714285714285714, 2.642857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 5.080645161290323, 1.5161290322580645, 2.3157894736842106, 5.636363636363637]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.742574257425743, 1.5594059405940595, 1.6129032258064515, 6.121212121212121]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.0253164556962027, 1.139240506329114, 4.6, 1.0533333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6615384615384616, 1.0615384615384615, 5.333333333333333, 1.0317460317460319]","[0, 0, 4.638036809815951, 1.343558282208589, 5.1, 4.9393939393939394]"
55,2019-05-31,20190531HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 8.027027027027028, 1.4189189189189189, 4.75, 1.450980392156863]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.982758620689656, 1.913793103448276, 1.1666666666666667, 4.833333333333333]","[0, 0, 4.135135135135135, 1.7027027027027026, 1.5714285714285714, 2.642857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 5.080645161290323, 1.5161290322580645, 2.3157894736842106, 5.636363636363637]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.742574257425743, 1.5594059405940595, 1.6129032258064515, 6.121212121212121]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0253164556962027, 1.139240506329114, 4.6, 1.0533333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6615384615384616, 1.0615384615384615, 5.333333333333333, 1.0317460317460319]","[0, 0, 4.638036809815951, 1.343558282208589, 5.1, 4.9393939393939394]"
56,2019-06-01,20190601HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 7.7142857142857135, 1.4415584415584415, 3.8, 1.425925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.3636363636363638, 3.0, 1.222222222222222]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.982758620689656, 1.913793103448276, 1.1666666666666667, 4.833333333333333]","[0, 0, 4.135135135135135, 1.7027027027027026, 1.5714285714285714, 2.642857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[1, 0, 4.695652173913043, 1.463768115942029, 2.0, 5.75]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.742574257425743, 1.5594059405940595, 1.6129032258064515, 6.121212121212121]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0253164556962027, 1.139240506329114, 4.6, 1.0533333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6363636363636365, 1.0454545454545454, 5.333333333333333, 1.0]","[0, 0, 4.638036809815951, 1.343558282208589, 5.1, 4.9393939393939394]"
57,2019-06-02,20190602HHSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 7.7142857142857135, 1.4415584415584415, 3.8, 1.425925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 15.428571428571427, 2.571428571428571, 2.0, 1.1666666666666667]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 1, 0, 0, 0, 0]","[0, 0, 6.982758620689656, 1.913793103448276, 1.1666666666666667, 4.833333333333333]","[0, 0, 4.135135135135135, 1.7027027027027026, 1.5714285714285714, 2.642857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 4.695652173913043, 1.463768115942029, 2.0, 5.75]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.742574257425743, 1.5594059405940595, 1.6129032258064515, 6.121212121212121]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0253164556962027, 1.139240506329114, 4.6, 1.0533333333333332]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.6363636363636365, 1.0454545454545454, 5.333333333333333, 1.0]","[1, 0, 4.042780748663101, 1.2352941176470589, 5.454545454545454, 5.194444444444445]"
58,2019-06-04,20190604HHLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 7.425000000000001, 1.425, 3.6666666666666665, 1.4035087719298247]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 2.571428571428571, 2.0, 1.1666666666666667]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.982758620689656, 1.913793103448276, 1.1666666666666667, 4.833333333333333]","[0, 0, 4.135135135135135, 1.7027027027027026, 1.5714285714285714, 2.642857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.434782608695652, 1.0833333333333333, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 4.695652173913043, 1.463768115942029, 2.0, 5.75]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[1, 0, 3.703539823008849, 1.5265486725663717, 1.6875, 6.277777777777778]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.9878048780487805, 1.1341463414634148, 5.0, 1.0512820512820513]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.565217391304348, 1.0, 5.333333333333333, 1.0]","[0, 0, 4.042780748663101, 1.2352941176470589, 5.454545454545454, 5.194444444444445]"
59,2019-06-05,20190605HHLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 7.071428571428572, 1.3928571428571428, 4.0, 1.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 2.571428571428571, 2.0, 1.1666666666666667]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.982758620689656, 1.913793103448276, 1.1666666666666667, 4.833333333333333]","[1, 0, 4.186046511627907, 1.6046511627906976, 1.6521739130434783, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.471428571428571, 1.5, 0.9285714285714286, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 4.695652173913043, 1.463768115942029, 2.0, 5.75]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.703539823008849, 1.5265486725663717, 1.6875, 6.277777777777778]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.9878048780487805, 1.1341463414634148, 5.0, 1.0512820512820513]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.875, 1.0833333333333333, 4.5, 1.0]","[0, 0, 4.042780748663101, 1.2352941176470589, 5.454545454545454, 5.194444444444445]"
60,2019-06-06,20190606HHLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 1, 6.75, 1.3295454545454546, 4.0, 1.3968253968253967]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 2.571428571428571, 2.0, 1.1666666666666667]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.171428571428571, 1.6928571428571428, 1.4444444444444444, 5.185185185185185]","[0, 0, 4.186046511627907, 1.6046511627906976, 1.6521739130434783, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.471428571428571, 1.5, 0.9285714285714286, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[0, 0, 4.695652173913043, 1.463768115942029, 2.0, 5.75]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.703539823008849, 1.5265486725663717, 1.6875, 6.277777777777778]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2413793103448276, 1.1724137931034482, 4.333333333333333, 1.0740740740740742]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 1.04, 4.5, 1.0]","[0, 0, 4.042780748663101, 1.2352941176470589, 5.454545454545454, 5.194444444444445]"
61,2019-06-07,20190607LGHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.75, 1.75, 0.7272727272727273]","[0, 0, 6.75, 1.3295454545454546, 4.0, 1.3968253968253967]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.8333333333333333, 0.8333333333333334, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8620689655172413, 1.4482758620689655, 1.0, 0.7435897435897435]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 2.571428571428571, 2.0, 1.1666666666666667]","[0, 0, 5.4, 1.7999999999999998, 1.5, 0.5555555555555556]","[0, 1, 0.0, 0.0, 1, 0.3333333333333333]","[0, 0, 6.171428571428571, 1.6928571428571428, 1.4444444444444444, 5.185185185185185]","[0, 0, 4.186046511627907, 1.6046511627906976, 1.6521739130434783, 2.8666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.2837837837837838, 1.5405405405405406, 1.0, 0.9866666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4615384615384612, 1.3076923076923077, 1.75, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.274193548387096, 1.8387096774193548, 1.2857142857142858, 1.3777777777777778]","[1, 0, 4.263157894736842, 1.4078947368421053, 2.076923076923077, 5.846153846153846]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.703539823008849, 1.5265486725663717, 1.6875, 6.277777777777778]","[0, 0, 5.4, 4.2, 0.6, 0.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2272727272727273, 1.2272727272727273, 4.333333333333333, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.04, 4.5, 1.0]","[0, 0, 4.042780748663101, 1.2352941176470589, 5.454545454545454, 5.194444444444445]"
