,date,game_key,이승현,김대우,임현준,이수민,정광운,홍정우,최충연,김승현,임대한,문용익,최지광,장지훈,김시현,김윤수,양창섭,최채흥,김용하,김태우,맥과이어,오상민,헤일리,라이블리,원태인,우규민,윤성환,오승환,한기주,백정현,장필준,정인욱,권오준
40,2019-05-12,20190512LTSS0,"[0, 1, 2.417910447761194, 1.0746268656716418, 4.6, 1.1166666666666667]","[0, 1, 5.142857142857142, 1.1904761904761905, 3.2, 1.75]","[0, 1, 2.25, 0.9166666666666666, 7.0, 0.631578947368421]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4923076923076923, 1.0615384615384615, 2.0, 1.2745098039215688]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.105263157894736, 1.6842105263157894, 2.25, 4.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.984615384615385, 1.6153846153846152, 1.6071428571428572, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.194174757281553, 1.0194174757281553, 4.333333333333333, 4.904761904761905]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1774193548387095, 0.7258064516129031, 4.75, 2.5833333333333335]","[0, 1, 3.552631578947368, 1.2631578947368423, 3.5, 0.9743589743589743]","[0, 0, 3.535714285714286, 1.5357142857142858, 1.4545454545454546, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.3076923076923075, 1.6666666666666667, 0.9444444444444444, 5.571428571428571]","[0, 1, 2.3684210526315788, 1.1578947368421053, 1.8, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.2, 4.0, 1.0606060606060606]"
41,2019-05-14,20190514SSOB0,"[0, 0, 2.417910447761194, 1.0746268656716418, 4.6, 1.1166666666666667]","[0, 0, 5.142857142857142, 1.1904761904761905, 3.2, 1.75]","[0, 0, 2.25, 0.9166666666666666, 7.0, 0.631578947368421]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4923076923076923, 1.0615384615384615, 2.0, 1.2745098039215688]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.875000000000001, 1.7916666666666667, 1.6363636363636365, 4.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.323943661971831, 1.6901408450704225, 1.5625, 5.2592592592592595]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.194174757281553, 1.0194174757281553, 4.333333333333333, 4.904761904761905]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1774193548387095, 0.7258064516129031, 4.75, 2.5833333333333335]","[0, 0, 3.552631578947368, 1.2631578947368423, 3.5, 0.9743589743589743]","[0, 0, 3.535714285714286, 1.5357142857142858, 1.4545454545454546, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.3076923076923075, 1.6666666666666667, 0.9444444444444444, 5.571428571428571]","[0, 1, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.2, 4.0, 1.0606060606060606]"
42,2019-05-15,20190515SSOB0,"[0, 0, 2.417910447761194, 1.0746268656716418, 4.6, 1.1166666666666667]","[0, 0, 5.142857142857142, 1.1904761904761905, 3.2, 1.75]","[0, 1, 2.1891891891891895, 0.8918918918918919, 7.0, 0.6166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.176470588235294, 1.1911764705882353, 1.7272727272727273, 1.2592592592592593]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.7916666666666667, 1.6363636363636365, 4.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.323943661971831, 1.6901408450704225, 1.5625, 5.2592592592592595]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.194174757281553, 1.0194174757281553, 4.333333333333333, 4.904761904761905]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.1774193548387095, 0.7258064516129031, 4.75, 2.5833333333333335]","[0, 0, 3.552631578947368, 1.2631578947368423, 3.5, 0.9743589743589743]","[1, 0, 2.675675675675676, 1.2162162162162162, 1.8181818181818181, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.3076923076923075, 1.6666666666666667, 0.9444444444444444, 5.571428571428571]","[0, 0, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.2, 4.0, 1.0606060606060606]"
43,2019-05-16,20190516SSOB0,"[0, 1, 2.219178082191781, 1.1095890410958904, 4.333333333333333, 1.1587301587301586]","[0, 0, 5.142857142857142, 1.1904761904761905, 3.2, 1.75]","[0, 1, 2.076923076923077, 0.9230769230769231, 4.0, 0.6190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.1911764705882353, 1.7272727272727273, 1.2592592592592593]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.7916666666666667, 1.6363636363636365, 4.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.323943661971831, 1.6901408450704225, 1.5625, 5.2592592592592595]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.194174757281553, 1.0194174757281553, 4.333333333333333, 4.904761904761905]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.068493150684931, 1.0684931506849316, 3.1666666666666665, 2.7037037037037037]","[0, 0, 3.552631578947368, 1.2631578947368423, 3.5, 0.9743589743589743]","[0, 0, 2.675675675675676, 1.2162162162162162, 1.8181818181818181, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.3076923076923075, 1.6666666666666667, 0.9444444444444444, 5.571428571428571]","[0, 0, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.2, 4.0, 1.0606060606060606]"
44,2019-05-17,20190517SSKT0,"[0, 0, 2.219178082191781, 1.1095890410958904, 4.333333333333333, 1.1587301587301586]","[0, 1, 5.4, 1.2461538461538462, 2.6666666666666665, 1.6666666666666667]","[0, 1, 1.9285714285714284, 0.8571428571428571, 4.0, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.1911764705882353, 1.7272727272727273, 1.2592592592592593]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.2439024390243905, 1.7195121951219512, 2.0, 4.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.323943661971831, 1.6901408450704225, 1.5625, 5.2592592592592595]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.672, 0.9840000000000001, 4.8, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.0684931506849316, 3.1666666666666665, 2.7037037037037037]","[0, 1, 3.068181818181818, 1.1590909090909092, 3.6666666666666665, 1.0476190476190477]","[0, 0, 2.675675675675676, 1.2162162162162162, 1.8181818181818181, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.3076923076923075, 1.6666666666666667, 0.9444444444444444, 5.571428571428571]","[0, 0, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.108108108108109, 1.3783783783783783, 4.0, 1.027777777777778]"
45,2019-05-18,20190518SSKT0,"[0, 1, 2.131578947368421, 1.105263157894737, 4.5, 1.1515151515151514]","[0, 0, 5.4, 1.2461538461538462, 2.6666666666666665, 1.6666666666666667]","[0, 0, 1.9285714285714284, 0.8571428571428571, 4.0, 0.6363636363636364]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.1911764705882353, 1.7272727272727273, 1.2592592592592593]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2439024390243905, 1.7195121951219512, 2.0, 4.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.323943661971831, 1.6901408450704225, 1.5625, 5.2592592592592595]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.672, 0.9840000000000001, 4.8, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.0684931506849316, 3.1666666666666665, 2.7037037037037037]","[0, 0, 3.068181818181818, 1.1590909090909092, 3.6666666666666665, 1.0476190476190477]","[0, 0, 2.675675675675676, 1.2162162162162162, 1.8181818181818181, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.707317073170732, 1.7073170731707317, 0.9473684210526315, 5.125]","[0, 0, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.108108108108109, 1.3783783783783783, 4.0, 1.027777777777778]"
46,2019-05-21,20190521HHSS0,"[0, 1, 2.0506329113924053, 1.0632911392405064, 4.666666666666667, 1.144927536231884]","[0, 0, 5.4, 1.2461538461538462, 2.6666666666666665, 1.6666666666666667]","[0, 1, 1.8837209302325582, 0.9767441860465116, 3.0, 0.6231884057971014]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.1666666666666667, 1.9090909090909092, 1.263157894736842]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.2439024390243905, 1.7195121951219512, 2.0, 4.555555555555555]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.09433962264151, 1.7358490566037736, 1.5, 5.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.672, 0.9840000000000001, 4.8, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.0684931506849316, 3.1666666666666665, 2.7037037037037037]","[0, 0, 3.068181818181818, 1.1590909090909092, 3.6666666666666665, 1.0476190476190477]","[0, 0, 2.675675675675676, 1.2162162162162162, 1.8181818181818181, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.707317073170732, 1.7073170731707317, 0.9473684210526315, 5.125]","[0, 0, 3.098360655737705, 1.3278688524590165, 1.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.108108108108109, 1.3783783783783783, 4.0, 1.027777777777778]"
47,2019-05-22,20190522HHSS0,"[0, 1, 1.975609756097561, 1.0609756097560976, 4.833333333333333, 1.1388888888888888]","[0, 0, 5.4, 1.2461538461538462, 2.6666666666666665, 1.6666666666666667]","[0, 1, 1.8409090909090908, 0.9545454545454546, 3.0, 0.611111111111111]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.9189189189189193, 1.1756756756756757, 1.9166666666666667, 1.2333333333333334]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.824175824175824, 1.6483516483516485, 2.4166666666666665, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.09433962264151, 1.7358490566037736, 1.5, 5.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.672, 0.9840000000000001, 4.8, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.0684931506849316, 3.1666666666666665, 2.7037037037037037]","[0, 1, 3.2399999999999998, 1.14, 4.0, 1.1111111111111112]","[1, 0, 2.9302325581395348, 1.255813953488372, 1.5714285714285714, 6.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.707317073170732, 1.7073170731707317, 0.9473684210526315, 5.125]","[0, 1, 2.953125, 1.265625, 1.5833333333333333, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.2142857142857142, 5.0, 1.0769230769230769]"
48,2019-05-23,20190523HHSS0,"[0, 0, 1.975609756097561, 1.0609756097560976, 4.833333333333333, 1.1388888888888888]","[0, 0, 5.4, 1.2461538461538462, 2.6666666666666665, 1.6666666666666667]","[0, 1, 1.7608695652173914, 0.9130434782608695, 3.3333333333333335, 0.6133333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8051948051948052, 1.2467532467532467, 1.8461538461538463, 1.2222222222222223]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.824175824175824, 1.6483516483516485, 2.4166666666666665, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.09433962264151, 1.7358490566037736, 1.5, 5.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.672, 0.9840000000000001, 4.8, 5.208333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.5604395604395607, 1.054945054945055, 3.142857142857143, 3.033333333333333]","[0, 1, 3.056603773584906, 1.1320754716981132, 3.0, 1.1041666666666667]","[0, 0, 2.9302325581395348, 1.255813953488372, 1.5714285714285714, 6.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.707317073170732, 1.7073170731707317, 0.9473684210526315, 5.125]","[0, 0, 2.953125, 1.265625, 1.5833333333333333, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.2142857142857142, 5.0, 1.0769230769230769]"
49,2019-05-24,20190524WOSS0,"[0, 0, 1.975609756097561, 1.0609756097560976, 4.833333333333333, 1.1388888888888888]","[0, 1, 5.161764705882352, 1.1911764705882353, 2.6666666666666665, 1.619047619047619]","[0, 0, 1.7608695652173914, 0.9130434782608695, 3.3333333333333335, 0.6133333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8051948051948052, 1.2467532467532467, 1.8461538461538463, 1.2222222222222223]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.680412371134021, 1.6391752577319587, 2.6666666666666665, 4.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.09433962264151, 1.7358490566037736, 1.5, 5.3]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.796875, 1.03125, 4.545454545454546, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5604395604395607, 1.054945054945055, 3.142857142857143, 3.033333333333333]","[0, 0, 3.056603773584906, 1.1320754716981132, 3.0, 1.1041666666666667]","[0, 0, 2.9302325581395348, 1.255813953488372, 1.5714285714285714, 6.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.707317073170732, 1.7073170731707317, 0.9473684210526315, 5.125]","[0, 0, 2.953125, 1.265625, 1.5833333333333333, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.2142857142857142, 5.0, 1.0769230769230769]"
50,2019-05-25,20190525WOSS0,"[0, 1, 1.9058823529411764, 1.0941176470588236, 3.625, 1.1333333333333333]","[0, 0, 5.161764705882352, 1.1911764705882353, 2.6666666666666665, 1.619047619047619]","[0, 1, 1.7234042553191489, 0.8936170212765958, 3.3333333333333335, 0.6025641025641025]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8051948051948052, 1.2467532467532467, 1.8461538461538463, 1.2222222222222223]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.680412371134021, 1.6391752577319587, 2.6666666666666665, 4.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.09433962264151, 1.7358490566037736, 1.5, 5.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.796875, 1.03125, 4.545454545454546, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5604395604395607, 1.054945054945055, 3.142857142857143, 3.033333333333333]","[0, 1, 3.0, 1.1666666666666667, 3.0, 1.0588235294117647]","[0, 0, 2.9302325581395348, 1.255813953488372, 1.5714285714285714, 6.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.0625, 1.5416666666666667, 1.0526315789473684, 5.333333333333333]","[0, 1, 2.8208955223880596, 1.2985074626865671, 1.4615384615384615, 1.0634920634920635]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.2142857142857142, 5.0, 1.0769230769230769]"
51,2019-05-26,20190526WOSS0,"[0, 1, 1.8202247191011236, 1.0786516853932584, 3.625, 1.141025641025641]","[0, 0, 5.161764705882352, 1.1911764705882353, 2.6666666666666665, 1.619047619047619]","[0, 0, 1.7234042553191489, 0.8936170212765958, 3.3333333333333335, 0.6025641025641025]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6341463414634148, 1.2073170731707317, 2.0, 1.2424242424242424]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.680412371134021, 1.6391752577319587, 2.6666666666666665, 4.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.949999999999999, 1.6, 1.6944444444444444, 5.454545454545454]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.796875, 1.03125, 4.545454545454546, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5604395604395607, 1.054945054945055, 3.142857142857143, 3.033333333333333]","[0, 0, 3.0, 1.1666666666666667, 3.0, 1.0588235294117647]","[0, 0, 2.9302325581395348, 1.255813953488372, 1.5714285714285714, 6.142857142857143]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.5416666666666667, 1.0526315789473684, 5.333333333333333]","[0, 0, 2.8208955223880596, 1.2985074626865671, 1.4615384615384615, 1.0634920634920635]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.395348837209303, 1.1860465116279069, 5.5, 1.023809523809524]"
52,2019-05-28,20190528SSOB0,"[0, 0, 1.8202247191011236, 1.0786516853932584, 3.625, 1.141025641025641]","[0, 1, 5.472972972972974, 1.2972972972972971, 2.7142857142857144, 1.6444444444444446]","[0, 1, 1.6875, 0.875, 3.3333333333333335, 0.5925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6341463414634148, 1.2073170731707317, 2.0, 1.2424242424242424]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.680412371134021, 1.6391752577319587, 2.6666666666666665, 4.041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.949999999999999, 1.6, 1.6944444444444444, 5.454545454545454]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.796875, 1.03125, 4.545454545454546, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5604395604395607, 1.054945054945055, 3.142857142857143, 3.033333333333333]","[0, 0, 3.0, 1.1666666666666667, 3.0, 1.0588235294117647]","[1, 0, 3.375, 1.2708333333333333, 1.6666666666666667, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.5416666666666667, 1.0526315789473684, 5.333333333333333]","[0, 0, 2.8208955223880596, 1.2985074626865671, 1.4615384615384615, 1.0634920634920635]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.108695652173913, 1.1739130434782608, 3.6666666666666665, 1.0222222222222224]"
53,2019-05-29,20190529SSOB0,"[0, 0, 1.8202247191011236, 1.0786516853932584, 3.625, 1.141025641025641]","[0, 0, 5.472972972972974, 1.2972972972972971, 2.7142857142857144, 1.6444444444444446]","[0, 1, 1.5576923076923077, 0.8076923076923077, 3.6666666666666665, 0.619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 20.25, 3.0, 1.0, 0.6666666666666666]","[0, 0, 9.45, 2.6999999999999997, 0.5625, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.541176470588235, 1.2, 1.9285714285714286, 1.2318840579710144]","[0, 0, 9.0, 2.75, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.2, 1.6285714285714286, 2.5384615384615383, 3.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.949999999999999, 1.6, 1.6944444444444444, 5.454545454545454]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.796875, 1.03125, 4.545454545454546, 4.7407407407407405]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.1621621621621623, 1.027027027027027, 3.25, 3.3636363636363638]","[0, 1, 3.15, 1.2, 3.0, 1.1111111111111112]","[0, 0, 3.375, 1.2708333333333333, 1.6666666666666667, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.5416666666666667, 1.0526315789473684, 5.333333333333333]","[0, 1, 3.0, 1.375, 1.4285714285714286, 1.0909090909090908]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.108695652173913, 1.1739130434782608, 3.6666666666666665, 1.0222222222222224]"
