,date,game_key,김정훈,정회찬,박정준,밴헤켄,박종윤,한현희,신재영,조상우,신명수,하영민,김윤환,최원태,김택형,김해수,박주현,정용준,김정인,코엘로,맥그레거,안현석,유재훈,안정훈,이찬석,김성택,황덕균,마정길,오주원,금민철,이보근,양훈,김세현,김상수,강윤구,이정훈
48,2016-05-31,20160531SSWO0,"[0, 1, 6.230769230769231, 1.7692307692307692, 1.0, 1.625]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.2, 10.666666666666666, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.6, 3, 3.3333333333333335]","[0, 0, 5.926829268292683, 1.902439024390244, 2.1666666666666665, 0.8039215686274509]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.640625, 1.21875, 3.7142857142857144, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.335766423357664, 1.5328467153284673, 1.4074074074074074, 5.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.973684210526316, 1.5, 1.8571428571428572, 0.8444444444444444]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.661290322580645, 1.596774193548387, 1.7777777777777777, 0.9393939393939394]","[0, 0, 4.204918032786885, 1.6967213114754098, 0.8666666666666667, 5.083333333333333]","[0, 0, 2.7, 1.15, 19, 0.9523809523809523]","[0, 0, 3.6666666666666665, 1.1851851851851851, 3.75, 1.4210526315789473]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
49,2016-06-01,20160601SSWO0,"[0, 0, 6.230769230769231, 1.7692307692307692, 1.0, 1.625]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.2, 10.666666666666666, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6, 3, 3.3333333333333335]","[0, 0, 5.926829268292683, 1.902439024390244, 2.1666666666666665, 0.8039215686274509]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.335766423357664, 1.5328467153284673, 1.4074074074074074, 5.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.973684210526316, 1.5, 1.8571428571428572, 0.8444444444444444]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.2388059701492535, 1.5223880597014927, 1.8888888888888888, 0.9710144927536232]","[0, 0, 4.204918032786885, 1.6967213114754098, 0.8666666666666667, 5.083333333333333]","[0, 1, 3.0, 1.2380952380952381, 19, 0.9545454545454546]","[0, 1, 3.8571428571428568, 1.25, 3.3333333333333335, 1.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
50,2016-06-02,20160602SSWO0,"[0, 1, 6.27906976744186, 1.8837209302325582, 0.7142857142857143, 1.5925925925925926]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.2, 10.666666666666666, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.46153846153846156, 3, 2.1666666666666665]","[0, 0, 5.926829268292683, 1.902439024390244, 2.1666666666666665, 0.8039215686274509]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.335766423357664, 1.5328467153284673, 1.4074074074074074, 5.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.395348837209303, 1.3953488372093024, 1.625, 0.8958333333333334]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.5223880597014927, 1.8888888888888888, 0.9710144927536232]","[1, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 3.0, 1.2380952380952381, 19, 0.9545454545454546]","[0, 0, 3.8571428571428568, 1.25, 3.3333333333333335, 1.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
51,2016-06-03,20160603WOHT0,"[0, 0, 6.27906976744186, 1.8837209302325582, 0.7142857142857143, 1.5925925925925926]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.983425414364641, 1.1436464088397789, 11.333333333333334, 6.033333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.46153846153846156, 3, 2.1666666666666665]","[0, 1, 6.136363636363636, 1.840909090909091, 2.5, 0.8148148148148148]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.335766423357664, 1.5328467153284673, 1.4074074074074074, 5.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.3953488372093024, 1.625, 0.8958333333333334]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.5223880597014927, 1.8888888888888888, 0.9710144927536232]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 3.0, 1.2380952380952381, 19, 0.9545454545454546]","[0, 0, 3.8571428571428568, 1.25, 3.3333333333333335, 1.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
52,2016-06-05,20160605WOHT0,"[0, 0, 6.27906976744186, 1.8837209302325582, 0.7142857142857143, 1.5925925925925926]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.1436464088397789, 11.333333333333334, 6.033333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.46153846153846156, 3, 2.1666666666666665]","[0, 1, 5.74468085106383, 1.723404255319149, 2.6666666666666665, 0.8245614035087719]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.335766423357664, 1.5328467153284673, 1.4074074074074074, 5.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.3953488372093024, 1.625, 0.8958333333333334]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.5223880597014927, 1.8888888888888888, 0.9710144927536232]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 1, 2.8636363636363638, 1.2272727272727273, 19, 0.9565217391304348]","[0, 1, 3.7241379310344827, 1.2413793103448276, 3.1, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
53,2016-06-07,20160607WONC0,"[0, 1, 5.869565217391304, 1.826086956521739, 0.8571428571428571, 1.5333333333333334]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.1436464088397789, 11.333333333333334, 6.033333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.46153846153846156, 3, 2.1666666666666665]","[0, 0, 5.74468085106383, 1.723404255319149, 2.6666666666666665, 0.8245614035087719]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9078947368421053, 1.5394736842105263, 1.1515151515151516, 5.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.695652173913043, 1.5, 1.625, 0.9019607843137255]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.5223880597014927, 1.8888888888888888, 0.9710144927536232]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 2.8636363636363638, 1.2272727272727273, 19, 0.9565217391304348]","[0, 0, 3.7241379310344827, 1.2413793103448276, 3.1, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
54,2016-06-08,20160608WONC0,"[0, 0, 5.869565217391304, 1.826086956521739, 0.8571428571428571, 1.5333333333333334]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.1436464088397789, 11.333333333333334, 6.033333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.125, 1.0, 3.0, 2.6666666666666665]","[0, 0, 5.74468085106383, 1.723404255319149, 2.6666666666666665, 0.8245614035087719]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2827586206896555, 1.2206896551724138, 3.625, 5.37037037037037]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9078947368421053, 1.5394736842105263, 1.1515151515151516, 5.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.5, 1.625, 0.9019607843137255]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[1, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.542857142857143, 1.8888888888888888, 0.9722222222222222]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 2.8636363636363638, 1.2272727272727273, 19, 0.9565217391304348]","[0, 0, 3.7241379310344827, 1.2413793103448276, 3.1, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
55,2016-06-09,20160609WONC0,"[0, 1, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 0.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.983425414364641, 1.1436464088397789, 11.333333333333334, 6.033333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.0, 3.0, 2.6666666666666665]","[0, 1, 5.4, 1.6199999999999999, 2.8333333333333335, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.306748466257669, 1.1779141104294477, 4.125, 5.433333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9078947368421053, 1.5394736842105263, 1.1515151515151516, 5.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.408163265306122, 1.469387755102041, 1.4444444444444444, 0.9074074074074073]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.542857142857143, 1.8888888888888888, 0.9722222222222222]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 2.8636363636363638, 1.2272727272727273, 19, 0.9565217391304348]","[0, 0, 3.7241379310344827, 1.2413793103448276, 3.1, 1.380952380952381]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
56,2016-06-10,20160610KTWO0,"[0, 0, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 1, 10.8, 1.7999999999999998, 0.6666666666666666, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.8069306930693068, 1.1287128712871288, 8.0, 6.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.0, 3.0, 2.6666666666666665]","[0, 1, 5.09433962264151, 1.5849056603773584, 3.0, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.306748466257669, 1.1779141104294477, 4.125, 5.433333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9078947368421053, 1.5394736842105263, 1.1515151515151516, 5.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.469387755102041, 1.4444444444444444, 0.9074074074074073]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.178082191780821, 1.5205479452054795, 1.8, 0.9733333333333333]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 1, 2.739130434782609, 1.2173913043478262, 20, 0.9583333333333334]","[0, 1, 3.6, 1.2666666666666666, 3.0, 1.3636363636363635]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
57,2016-06-11,20160611KTWO0,"[0, 0, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 10.8, 1.7999999999999998, 0.6666666666666666, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8069306930693068, 1.1287128712871288, 8.0, 6.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.0, 3.0, 2.6666666666666665]","[0, 0, 5.09433962264151, 1.5849056603773584, 3.0, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.306748466257669, 1.1779141104294477, 4.125, 5.433333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9078947368421053, 1.5394736842105263, 1.1515151515151516, 5.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.469387755102041, 1.4444444444444444, 0.9074074074074073]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.973684210526316, 1.4605263157894737, 2.0, 0.9743589743589743]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 1, 3.0, 1.25, 21, 0.96]","[0, 1, 3.4838709677419355, 1.2580645161290323, 3.1818181818181817, 1.3478260869565217]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
58,2016-06-12,20160612KTWO0,"[0, 0, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 10.8, 1.7999999999999998, 0.6666666666666666, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8069306930693068, 1.1287128712871288, 8.0, 6.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.125, 1.0, 3.0, 2.6666666666666665]","[0, 0, 5.09433962264151, 1.5849056603773584, 3.0, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.306748466257669, 1.1779141104294477, 4.125, 5.433333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.017857142857143, 1.5357142857142858, 1.1081081081081081, 5.090909090909091]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.9272727272727272, 1.3636363636363638, 1.7, 0.9649122807017543]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 1, 19.285714285714285, 2.571428571428571, 0.0, 2.3333333333333335]","[0, 0, 4.973684210526316, 1.4605263157894737, 2.0, 0.9743589743589743]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 3.0, 1.25, 21, 0.96]","[0, 1, 3.375, 1.28125, 2.9166666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
59,2016-06-14,20160614LTWO0,"[0, 0, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 0, 10.8, 1.7999999999999998, 0.6666666666666666, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8069306930693068, 1.1287128712871288, 8.0, 6.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.131578947368421, 0.9473684210526316, 3.6666666666666665, 3.1666666666666665]","[0, 0, 5.09433962264151, 1.5849056603773584, 3.0, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.306748466257669, 1.1779141104294477, 4.125, 5.433333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.017857142857143, 1.5357142857142858, 1.1081081081081081, 5.090909090909091]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7241379310344827, 1.3448275862068966, 1.8, 0.9666666666666666]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 1, 13.5, 1.7999999999999998, 2.0, 1.6666666666666667]","[0, 0, 4.973684210526316, 1.4605263157894737, 2.0, 0.9743589743589743]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 1, 2.8800000000000003, 1.2, 23, 0.9615384615384616]","[0, 0, 3.375, 1.28125, 2.9166666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
60,2016-06-15,20160615LTWO0,"[0, 0, 6.352941176470588, 1.8235294117647058, 1.0, 1.5454545454545454]","[0, 0, 3.6818181818181817, 1.7727272727272727, 0.2857142857142857, 0.9166666666666666]","[0, 1, 8.307692307692308, 1.6153846153846154, 1.0, 0.8666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8069306930693068, 1.1287128712871288, 8.0, 6.121212121212121]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.927710843373494, 1.4096385542168675, 1.875, 2.7666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.131578947368421, 0.9473684210526316, 3.6666666666666665, 3.1666666666666665]","[0, 0, 5.09433962264151, 1.5849056603773584, 3.0, 0.8412698412698413]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.762195121951219, 1.3719512195121952, 3.090909090909091, 4.96969696969697]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.017857142857143, 1.5357142857142858, 1.1081081081081081, 5.090909090909091]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7241379310344827, 1.3448275862068966, 1.8, 0.9666666666666666]","[0, 0, 4.5, 1.125, 2.0, 0.8]","[0, 1, 10.125, 1.5, 3.0, 1.7777777777777777]","[0, 0, 4.973684210526316, 1.4605263157894737, 2.0, 0.9743589743589743]","[0, 0, 5.360294117647059, 1.8088235294117647, 0.7368421052631579, 5.037037037037037]","[0, 0, 2.8800000000000003, 1.2, 23, 0.9615384615384616]","[0, 0, 3.375, 1.28125, 2.9166666666666665, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
