,date,game_key,임기준,심동섭,홍건희,한승혁,유창식,김병현,김윤동,박준표,박동민,이준영,김명찬,전상현,지크,신윤철,김현준,헥터,정동현,남재현,서덕원,김광수,배힘찬,고효준,김진우,윤석민,곽정철,신창호,한기주,손영민,양현종,정용운,임창용,최영필
42,2016-05-26,20160526HTSS0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.5, 1.3333333333333333, 2.2, 0.75]","[0, 0, 3.7384615384615385, 1.5692307692307692, 2.0, 1.3541666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 4.846153846153846, 1.5384615384615385, 0.7142857142857143, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9337748344370858, 1.390728476821192, 2.5, 5.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.430939226519337, 1.3591160220994474, 2.1052631578947367, 6.703703703703704]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.5714285714285714, 2.6, 1.0]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 1, 7.105263157894736, 1.2631578947368423, 2.5, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.1, 2.1, 0.5625, 3.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.292817679558011, 1.9523809523809523, 6.703703703703704]","[0, 0, 7.838709677419355, 2.032258064516129, 1.1428571428571428, 2.066666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.068181818181818, 1.7045454545454546, 3.25, 1.0476190476190477]"
43,2016-05-27,20160527NCHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 1, 4.5, 1.4285714285714286, 1.7142857142857142, 0.8235294117647058]","[0, 1, 3.573529411764706, 1.5, 2.090909090909091, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 4.846153846153846, 1.5384615384615385, 0.7142857142857143, 1.3]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9337748344370858, 1.390728476821192, 2.5, 5.592592592592593]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.430939226519337, 1.3591160220994474, 2.1052631578947367, 6.703703703703704]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.5714285714285714, 2.6, 1.0]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 1, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.292817679558011, 1.9523809523809523, 6.703703703703704]","[0, 0, 7.838709677419355, 2.032258064516129, 1.1428571428571428, 2.066666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.068181818181818, 1.7045454545454546, 3.25, 1.0476190476190477]"
44,2016-05-28,20160528NCHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.5, 1.4285714285714286, 1.7142857142857142, 0.8235294117647058]","[0, 0, 3.573529411764706, 1.5, 2.090909090909091, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 4.5, 1.5714285714285714, 0.75, 1.2727272727272727]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6104651162790695, 1.377906976744186, 2.65, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.430939226519337, 1.3591160220994474, 2.1052631578947367, 6.703703703703704]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.5714285714285714, 2.6, 1.0]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.292817679558011, 1.9523809523809523, 6.703703703703704]","[0, 0, 7.838709677419355, 2.032258064516129, 1.1428571428571428, 2.066666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.068181818181818, 1.7045454545454546, 3.25, 1.0476190476190477]"
45,2016-05-29,20160529NCHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 1, 4.8, 1.4666666666666666, 1.8571428571428572, 0.8333333333333334]","[0, 1, 3.802816901408451, 1.5211267605633803, 2.1818181818181817, 1.3148148148148149]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 4.5, 1.5714285714285714, 0.75, 1.2727272727272727]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6104651162790695, 1.377906976744186, 2.65, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.430939226519337, 1.3591160220994474, 2.1052631578947367, 6.703703703703704]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4, 1.5333333333333334, 2.6, 1.0]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.292817679558011, 1.9523809523809523, 6.703703703703704]","[1, 0, 6.75, 2.1, 0.6153846153846154, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8125, 1.5625, 3.25, 1.0666666666666667]"
46,2016-05-31,20160531HTLG0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 1, 4.32, 1.38, 2.142857142857143, 0.8771929824561404]","[0, 1, 5.178082191780821, 1.726027397260274, 1.9230769230769231, 1.280701754385965]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 5.785714285714286, 1.6607142857142856, 1.0, 1.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6104651162790695, 1.377906976744186, 2.65, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.430939226519337, 1.3591160220994474, 2.1052631578947367, 6.703703703703704]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.204081632653061, 1.5306122448979593, 2.8, 1.0208333333333333]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.206030150753769, 1.3115577889447236, 1.8333333333333333, 6.633333333333333]","[0, 0, 6.75, 2.1, 0.6153846153846154, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.6346153846153846, 1.6153846153846154, 3.25, 1.0833333333333333]"
47,2016-06-01,20160601HTLG0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 1, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 5.178082191780821, 1.726027397260274, 1.9230769230769231, 1.280701754385965]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 5.785714285714286, 1.6607142857142856, 1.0, 1.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6104651162790695, 1.377906976744186, 2.65, 5.733333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.2562814070351758, 1.3115577889447236, 2.25, 6.633333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.5306122448979593, 2.8, 1.0208333333333333]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.206030150753769, 1.3115577889447236, 1.8333333333333333, 6.633333333333333]","[0, 0, 6.75, 2.1, 0.6153846153846154, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.5660377358490565, 1.5849056603773584, 3.5, 1.0392156862745099]"
48,2016-06-02,20160602HTLG0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 5.178082191780821, 1.726027397260274, 1.9230769230769231, 1.280701754385965]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 5.785714285714286, 1.6607142857142856, 1.0, 1.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.75, 2.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.878453038674033, 1.4917127071823204, 2.25, 5.484848484848485]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2562814070351758, 1.3115577889447236, 2.25, 6.633333333333333]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.5306122448979593, 2.8, 1.0208333333333333]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0869565217391304, 0.6875, 3.2857142857142856]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.206030150753769, 1.3115577889447236, 1.8333333333333333, 6.633333333333333]","[0, 0, 6.75, 2.1, 0.6153846153846154, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5660377358490565, 1.5849056603773584, 3.5, 1.0392156862745099]"
49,2016-06-03,20160603WOHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 5.178082191780821, 1.726027397260274, 1.9230769230769231, 1.280701754385965]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 5.586206896551724, 1.6551724137931036, 0.9090909090909091, 1.487179487179487]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.0, 1.6666666666666667, 0.6666666666666666, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.4917127071823204, 2.25, 5.484848484848485]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2562814070351758, 1.3115577889447236, 2.25, 6.633333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.5306122448979593, 2.8, 1.0208333333333333]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.219512195121952, 2.1951219512195124, 0.55, 3.4166666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.206030150753769, 1.3115577889447236, 1.8333333333333333, 6.633333333333333]","[0, 0, 6.75, 2.1, 0.6153846153846154, 2.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5660377358490565, 1.5849056603773584, 3.5, 1.0392156862745099]"
50,2016-06-05,20160605WOHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 1, 4.784810126582278, 1.5949367088607596, 2.076923076923077, 1.3166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 5.586206896551724, 1.6551724137931036, 0.9090909090909091, 1.487179487179487]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.6666666666666667, 0.6666666666666666, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.4917127071823204, 2.25, 5.484848484848485]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.2562814070351758, 1.3115577889447236, 2.25, 6.633333333333333]","[0, 1, 0.0, 0.6666666666666666, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.9285714285714284, 1.3928571428571428, 2.8333333333333335, 1.0980392156862746]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.219512195121952, 2.1951219512195124, 0.55, 3.4166666666666665]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9815668202764978, 1.3548387096774195, 1.96, 6.575757575757575]","[0, 1, 6.75, 2.076923076923077, 0.5882352941176471, 2.476190476190476]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5660377358490565, 1.5849056603773584, 3.5, 1.0392156862745099]"
51,2016-06-07,20160607HTHH0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 4.784810126582278, 1.5949367088607596, 2.076923076923077, 1.3166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 6.954545454545454, 1.7727272727272727, 1.0909090909090908, 1.5714285714285714]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.869565217391304, 1.6956521739130435, 0.3333333333333333, 2.555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.878453038674033, 1.4917127071823204, 2.25, 5.484848484848485]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.9454545454545453, 1.3227272727272728, 2.217391304347826, 6.666666666666666]","[0, 0, 0.0, 0.6666666666666666, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.9285714285714284, 1.3928571428571428, 2.8333333333333335, 1.0980392156862746]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.219512195121952, 2.1951219512195124, 0.55, 3.4166666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9815668202764978, 1.3548387096774195, 1.96, 6.575757575757575]","[0, 1, 6.622641509433962, 2.0377358490566038, 0.5882352941176471, 2.2083333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.5660377358490565, 1.5849056603773584, 3.5, 1.0392156862745099]"
52,2016-06-08,20160608HTHH0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 1, 4.725, 1.6124999999999998, 1.9285714285714286, 1.26984126984127]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 1, 6.75, 1.7647058823529411, 1.0833333333333333, 1.5111111111111113]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.6153846153846154, 0.5, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.545918367346939, 1.5918367346938778, 2.0, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9454545454545453, 1.3227272727272728, 2.217391304347826, 6.666666666666666]","[0, 0, 0.0, 0.6666666666666666, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.4, 2.8333333333333335, 1.1111111111111112]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.219512195121952, 2.1951219512195124, 0.55, 3.4166666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9815668202764978, 1.3548387096774195, 1.96, 6.575757575757575]","[0, 0, 6.622641509433962, 2.0377358490566038, 0.5882352941176471, 2.2083333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.607142857142857, 3.75, 1.0370370370370372]"
53,2016-06-09,20160609HTHH0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 4.725, 1.6124999999999998, 1.9285714285714286, 1.26984126984127]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 6.75, 1.7647058823529411, 1.0833333333333333, 1.5111111111111113]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 1.5555555555555556, 0.5, 1.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.545918367346939, 1.5918367346938778, 2.0, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9454545454545453, 1.3227272727272728, 2.217391304347826, 6.666666666666666]","[0, 0, 0.0, 0.6666666666666666, 2, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.4, 2.8333333333333335, 1.1111111111111112]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.1724137931034484, 0.5238095238095238, 3.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9815668202764978, 1.3548387096774195, 1.96, 6.575757575757575]","[0, 0, 6.622641509433962, 2.0377358490566038, 0.5882352941176471, 2.2083333333333335]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7241379310344827, 1.6551724137931036, 3.75, 1.0175438596491226]"
54,2016-06-10,20160610SSHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 1, 4.939024390243902, 1.6463414634146343, 1.9285714285714286, 1.2424242424242424]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 6.75, 1.7647058823529411, 1.0833333333333333, 1.5111111111111113]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.5555555555555556, 0.5, 1.8]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.75, 0.5, 4.0]","[0, 0, 4.545918367346939, 1.5918367346938778, 2.0, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9454545454545453, 1.3227272727272728, 2.217391304347826, 6.666666666666666]","[1, 0, 0.0, 0.5, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.4, 2.8333333333333335, 1.1111111111111112]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.1724137931034484, 0.5238095238095238, 3.2222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9815668202764978, 1.3548387096774195, 1.96, 6.575757575757575]","[0, 0, 6.622641509433962, 2.0377358490566038, 0.5882352941176471, 2.2083333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7241379310344827, 1.6551724137931036, 3.75, 1.0175438596491226]"
55,2016-06-11,20160611SSHT0,"[0, 0, 5.282608695652174, 1.891304347826087, 0.7272727272727273, 1.393939393939394]","[0, 0, 4.153846153846154, 1.3846153846153848, 1.875, 0.8666666666666666]","[0, 0, 4.939024390243902, 1.6463414634146343, 1.9285714285714286, 1.2424242424242424]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 2.0869565217391304, 1.5, 0.9583333333333334]","[0, 0, 6.75, 1.7647058823529411, 1.0833333333333333, 1.5111111111111113]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.0, 1.5555555555555556, 0.5, 1.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.75, 0.5, 4.0]","[0, 0, 4.545918367346939, 1.5918367346938778, 2.0, 5.444444444444444]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9454545454545453, 1.3227272727272728, 2.217391304347826, 6.666666666666666]","[0, 0, 0.0, 0.5, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.4, 2.8333333333333335, 1.1111111111111112]","[0, 0, 0.0, 0.0, 1, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.6, 2.75, 5.0]","[0, 0, 7.7142857142857135, 1.7142857142857142, 1.5, 0.875]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.1724137931034484, 0.5238095238095238, 3.2222222222222223]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.7914893617021277, 1.3404255319148937, 2.0, 6.527777777777778]","[0, 0, 6.622641509433962, 2.0377358490566038, 0.5882352941176471, 2.2083333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.7241379310344827, 1.6551724137931036, 3.75, 1.0175438596491226]"
